Year,Value,Units,Series,GeoCode
2010,59.13,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2023,100.0,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2018,88.89,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2021,100.0,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2014,67.46,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2013,67.46,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2016,67.46,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2020,88.89,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2011,59.13,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2017,88.89,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2024,100.0,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2022,100.0,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2015,67.46,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2019,88.89,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2012,67.46,%,Lurralde-antolamenduko plan batek (LPP) estalitako udalerrien proportzioa,
2022,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2020,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2021,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2019,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2013,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2016,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2010,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2015,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2014,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2017,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2023,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2024,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2012,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2011,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
2018,100.0,%,Hirigintzako udal-plan bat duten udalerrien proportzioa (HAPO edo Arau Subsidiarioak),
