Year,Value,Units,Series,GeoCode
2019,102.16,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2020,100.05,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2017,97.87,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2022,104.68,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2021,102.22,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2018,98.53,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2023,101.1,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2016,94.8,%,"Administrazio autonomikoaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2023,103.31,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2010,110.23,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2016,97.37,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2021,99.22,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2017,96.78,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2011,100.45,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2020,93.84,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2014,98.47,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2022,100.26,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2019,100.27,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2015,98.05,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2013,100.2,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2012,93.03,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
2018,97.17,%,"Toki administrazioaren gastu likidatua, hasieran onartutako aurrekontuaren proportzioan",
