Year,Value,Units,Series
2014,6.71,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2015,5.61,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2016,7.37,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2017,6.58,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2018,3.69,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2019,2.72,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2020,3.49,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2021,5.28,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2022,5.56,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2023,5.94,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
2024,5.39,Milioi euroak,Nekazaritzara bideratutako Garapenerako Laguntza Ofiziala (guztizko ordainketa gordina)
