Year,Value,Units,Series
2022,2.6,Indizea,Elikagaien prezioen anomalien adierazlea
2009,-1.0,Indizea,Elikagaien prezioen anomalien adierazlea
2008,0.6,Indizea,Elikagaien prezioen anomalien adierazlea
2021,-0.3,Indizea,Elikagaien prezioen anomalien adierazlea
2004,0.3,Indizea,Elikagaien prezioen anomalien adierazlea
2014,-0.9,Indizea,Elikagaien prezioen anomalien adierazlea
2019,-0.5,Indizea,Elikagaien prezioen anomalien adierazlea
2017,-0.4,Indizea,Elikagaien prezioen anomalien adierazlea
2006,0.2,Indizea,Elikagaien prezioen anomalien adierazlea
2011,-0.3,Indizea,Elikagaien prezioen anomalien adierazlea
2023,1.9,Indizea,Elikagaien prezioen anomalien adierazlea
2003,0.4,Indizea,Elikagaien prezioen anomalien adierazlea
2010,-0.9,Indizea,Elikagaien prezioen anomalien adierazlea
2020,-0.2,Indizea,Elikagaien prezioen anomalien adierazlea
2012,0.0,Indizea,Elikagaien prezioen anomalien adierazlea
2016,-0.5,Indizea,Elikagaien prezioen anomalien adierazlea
2005,0.1,Indizea,Elikagaien prezioen anomalien adierazlea
2007,0.5,Indizea,Elikagaien prezioen anomalien adierazlea
2015,-0.4,Indizea,Elikagaien prezioen anomalien adierazlea
2018,-0.5,Indizea,Elikagaien prezioen anomalien adierazlea
2024,0.2,Indizea,Elikagaien prezioen anomalien adierazlea
2013,-0.2,Indizea,Elikagaien prezioen anomalien adierazlea
2024,129.1,Indizea,Elikagaien prezioaren indizea
2019,95.6,Indizea,Elikagaien prezioaren indizea
2009,83.9,Indizea,Elikagaien prezioaren indizea
2012,87.3,Indizea,Elikagaien prezioaren indizea
2021,100.0,Indizea,Elikagaien prezioaren indizea
2016,92.1,Indizea,Elikagaien prezioaren indizea
2002,64.9,Indizea,Elikagaien prezioaren indizea
2004,70.6,Indizea,Elikagaien prezioaren indizea
2003,67.7,Indizea,Elikagaien prezioaren indizea
2018,94.7,Indizea,Elikagaien prezioaren indizea
2011,85.0,Indizea,Elikagaien prezioaren indizea
2020,98.2,Indizea,Elikagaien prezioaren indizea
2008,84.1,Indizea,Elikagaien prezioaren indizea
2023,123.7,Indizea,Elikagaien prezioaren indizea
2005,73.2,Indizea,Elikagaien prezioaren indizea
2010,83.3,Indizea,Elikagaien prezioaren indizea
2015,90.6,Indizea,Elikagaien prezioaren indizea
2017,93.3,Indizea,Elikagaien prezioaren indizea
2007,79.1,Indizea,Elikagaien prezioaren indizea
2013,89.9,Indizea,Elikagaien prezioaren indizea
2006,76.2,Indizea,Elikagaien prezioaren indizea
2022,111.4,Indizea,Elikagaien prezioaren indizea
2014,89.3,Indizea,Elikagaien prezioaren indizea
