Year,Value,Units
2007,2.9,MJ_PER_GDP_CON_PPP_USD
2008,2.9,MJ_PER_GDP_CON_PPP_USD
2009,2.8,MJ_PER_GDP_CON_PPP_USD
2010,2.7,MJ_PER_GDP_CON_PPP_USD
2011,2.5,MJ_PER_GDP_CON_PPP_USD
2012,2.6,MJ_PER_GDP_CON_PPP_USD
2013,2.5,MJ_PER_GDP_CON_PPP_USD
2014,2.4,MJ_PER_GDP_CON_PPP_USD
2015,2.4,MJ_PER_GDP_CON_PPP_USD
2016,2.3,MJ_PER_GDP_CON_PPP_USD
2017,2.3,MJ_PER_GDP_CON_PPP_USD
2018,2.2,MJ_PER_GDP_CON_PPP_USD
2019,2.2,MJ_PER_GDP_CON_PPP_USD
2020,2.2,MJ_PER_GDP_CON_PPP_USD
2021,2.2,MJ_PER_GDP_CON_PPP_USD
2022,2.2,MJ_PER_GDP_CON_PPP_USD
2023,1.9,MJ_PER_GDP_CON_PPP_USD
