Year,Value,Units,Series
2017,363.0,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2020,424.0,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2016,333.6,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2014,319.8,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2012,527.1,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2021,405.3,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2018,358.1,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2010,94.6,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2013,321.7,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2011,399.9,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2019,408.7,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2015,341.3,Milioi eurotan,Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua
2010,0.9,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2011,4.0,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2012,5.2,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2013,3.4,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2015,3.4,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2016,3.2,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2020,3.6,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2014,3.2,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2017,3.4,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2018,3.1,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2019,3.4,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
2021,3.2,%,"Administrazio publiko autonomikoek enplegua sustatzeko egiten duten gastua, gastu guztiarekiko"
