Year,Value,Units,Series
2010,27.8,Aurkibidea,_L_ES_090401_05
2011,14.36,Aurkibidea,_L_ES_090401_05
2012,20.94,Aurkibidea,_L_ES_090401_05
2013,10.21,Aurkibidea,_L_ES_090401_05
2014,9.1,Aurkibidea,_L_ES_090401_05
2015,11.36,Aurkibidea,_L_ES_090401_05
2016,11.09,Aurkibidea,_L_ES_090401_05
2017,16.19,Aurkibidea,_L_ES_090401_05
2018,12.84,Aurkibidea,_L_ES_090401_05
2019,18.75,Aurkibidea,_L_ES_090401_05
2020,4.52,Aurkibidea,_L_ES_090401_05
2021,13.46,Aurkibidea,_L_ES_090401_05
2022,22.47,Aurkibidea,_L_ES_090401_05
