Year,Pobreza,Sexo,Units,Value
2014,,,PT,22.7
2020,,,PT,19.9
2008,,,PT,17.9
2018,,,PT,20.7
2004,,,PT,19.6
2022,,,PT,19.5
2012,,,PT,19.9
2016,,,PT,20.6
2004,NAHC,,PT,16.5
2022,NAHC,,PT,16.5
2014,NAHC,,PT,18.5
2008,NAHC,,PT,14.8
2016,NAHC,,PT,16.4
2018,NAHC,,PT,17.7
2012,NAHC,,PT,15.4
2020,NAHC,,PT,17.8
2008,SMSD,,PT,2.7
2018,SMSD,,PT,5.6
2014,SMSD,,PT,5.2
2012,SMSD,,PT,5.8
2004,SMSD,,PT,3.6
2022,SMSD,,PT,4.7
2020,SMSD,,PT,4.1
2016,SMSD,,PT,6.4
2012,VLWI,,PT,9.9
2020,VLWI,,PT,7.6
2018,VLWI,,PT,9.1
2014,VLWI,,PT,12.0
2004,VLWI,,PT,6.4
2008,VLWI,,PT,5.6
2022,VLWI,,PT,7.8
2016,VLWI,,PT,10.2
2012,,F,PT,21.0
2020,,F,PT,21.0
2018,,F,PT,21.7
2004,,F,PT,22.0
2014,,F,PT,23.3
2008,,F,PT,20.3
2016,,F,PT,21.5
2022,,F,PT,20.5
2016,NAHC,F,PT,17.6
2004,NAHC,F,PT,18.6
2012,NAHC,F,PT,16.7
2018,NAHC,F,PT,18.8
2014,NAHC,F,PT,19.4
2022,NAHC,F,PT,17.7
2020,NAHC,F,PT,18.9
2008,NAHC,F,PT,16.6
2022,SMSD,F,PT,4.7
2020,SMSD,F,PT,4.3
2018,SMSD,F,PT,5.7
2016,SMSD,F,PT,6.5
2014,SMSD,F,PT,5.2
2012,SMSD,F,PT,5.6
2008,SMSD,F,PT,3.0
2004,SMSD,F,PT,3.8
2022,VLWI,F,PT,8.1
2014,VLWI,F,PT,11.9
2008,VLWI,F,PT,6.4
2004,VLWI,F,PT,7.3
2012,VLWI,F,PT,9.9
2016,VLWI,F,PT,10.3
2020,VLWI,F,PT,7.6
2018,VLWI,F,PT,9.6
2018,,M,PT,19.6
2008,,M,PT,15.4
2020,,M,PT,18.8
2004,,M,PT,17.0
2016,,M,PT,19.6
2012,,M,PT,18.8
2014,,M,PT,22.0
2022,,M,PT,18.3
2018,NAHC,M,PT,16.5
2022,NAHC,M,PT,15.2
2020,NAHC,M,PT,16.6
2014,NAHC,M,PT,17.6
2008,NAHC,M,PT,12.9
2012,NAHC,M,PT,14.0
2016,NAHC,M,PT,15.1
2004,NAHC,M,PT,14.3
2008,SMSD,M,PT,2.5
2004,SMSD,M,PT,3.3
2022,SMSD,M,PT,4.7
2020,SMSD,M,PT,4.0
2018,SMSD,M,PT,5.4
2016,SMSD,M,PT,6.3
2014,SMSD,M,PT,5.3
2012,SMSD,M,PT,6.0
2022,VLWI,M,PT,7.4
2020,VLWI,M,PT,7.7
2018,VLWI,M,PT,8.5
2016,VLWI,M,PT,10.1
2014,VLWI,M,PT,12.1
2012,VLWI,M,PT,9.9
2008,VLWI,M,PT,4.8
2004,VLWI,M,PT,5.6
