Year,Series,Units,Value
2022,EU_INDQTHSNG_HUMID,PT,12.4
2012,EU_INDQTHSNG_HUMID,PT,8.8
2018,EU_INDQTHSNG_HUMID,PT,14.2
2008,EU_INDQTHSNG_HUMID,PT,7.7
2016,EU_INDQTHSNG_HUMID,PT,12.3
2020,EU_INDQTHSNG_HUMID,PT,10.5
2014,EU_INDQTHSNG_HUMID,PT,11.8
2024,EU_INDQTHSNG_HUMID,PT,9.8
2022,EU_INDQTHSNG_TOILET,PT,0.0
2016,EU_INDQTHSNG_TOILET,PT,0.0
2018,EU_INDQTHSNG_TOILET,PT,0.0
2014,EU_INDQTHSNG_TOILET,PT,0.0
2020,EU_INDQTHSNG_TOILET,PT,0.0
2008,EU_INDQTHSNG_TOILET,PT,0.4
2012,EU_INDQTHSNG_TOILET,PT,0.0
2024,EU_INDQTHSNG_TOILET,PT,0.0
2008,EU_INDQTHSNG_NOISE,PT,11.0
2014,EU_INDQTHSNG_NOISE,PT,8.5
2012,EU_INDQTHSNG_NOISE,PT,13.9
2016,EU_INDQTHSNG_NOISE,PT,9.2
2018,EU_INDQTHSNG_NOISE,PT,9.2
2022,EU_INDQTHSNG_NOISE,PT,8.0
2020,EU_INDQTHSNG_NOISE,PT,8.9
2024,EU_INDQTHSNG_NOISE,PT,7.4
2008,EU_INDQTHSNG_LIGHT,PT,5.7
2012,EU_INDQTHSNG_LIGHT,PT,12.2
2014,EU_INDQTHSNG_LIGHT,PT,3.3
2016,EU_INDQTHSNG_LIGHT,PT,5.4
2022,EU_INDQTHSNG_LIGHT,PT,3.1
2018,EU_INDQTHSNG_LIGHT,PT,4.0
2020,EU_INDQTHSNG_LIGHT,PT,3.3
2024,EU_INDQTHSNG_LIGHT,PT,4.3
