Year,Series,Tratamiento,Territorio,Units,Value
2018,EN_HAZ_PCAP,,,KG_PER_CAPITA,149.3
2014,EN_HAZ_PCAP,,,KG_PER_CAPITA,148.8
2010,EN_HAZ_PCAP,,,KG_PER_CAPITA,162.9
2012,EN_HAZ_PCAP,,,KG_PER_CAPITA,137.2
2016,EN_HAZ_PCAP,,,KG_PER_CAPITA,148.0
2011,EN_HAZ_PCAP,,,KG_PER_CAPITA,150.9
2019,EN_HAZ_PCAP,,,KG_PER_CAPITA,150.1
2017,EN_HAZ_PCAP,,,KG_PER_CAPITA,145.3
2021,EN_HAZ_PCAP,,,KG_PER_CAPITA,150.7
2022,EN_HAZ_PCAP,,,KG_PER_CAPITA,157.5
2020,EN_HAZ_PCAP,,,KG_PER_CAPITA,144.9
2013,EN_HAZ_PCAP,,,KG_PER_CAPITA,130.7
2015,EN_HAZ_PCAP,,,KG_PER_CAPITA,150.9
2017,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,159.4
2015,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,160.7
2010,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,141.1
2013,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,129.3
2018,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,196.3
2012,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,137.0
2022,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,200.8
2019,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,203.5
2014,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,164.3
2021,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,177.9
2016,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,160.9
2011,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,164.5
2020,EN_HAZ_PCAP,,ES211,KG_PER_CAPITA,187.3
2021,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,165.1
2017,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,176.8
2019,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,168.3
2016,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,180.3
2018,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,171.0
2022,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,173.8
2010,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,201.2
2012,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,166.6
2013,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,160.0
2011,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,178.5
2015,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,184.4
2020,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,157.3
2014,EN_HAZ_PCAP,,ES213,KG_PER_CAPITA,183.2
2020,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,105.6
2022,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,111.6
2014,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,86.4
2018,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,93.2
2011,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,99.7
2012,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,89.3
2016,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,90.3
2015,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,92.6
2021,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,115.2
2013,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,83.9
2017,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,88.6
2010,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,109.7
2019,EN_HAZ_PCAP,,ES212,KG_PER_CAPITA,96.7
2015,EN_HAZ_TREAT,WT_RECYC,,PT,67.7
2011,EN_HAZ_TREAT,WT_RECYC,,PT,66.7
2014,EN_HAZ_TREAT,WT_RECYC,,PT,66.6
2019,EN_HAZ_TREAT,WT_RECYC,,PT,65.0
2013,EN_HAZ_TREAT,WT_RECYC,,PT,68.7
2018,EN_HAZ_TREAT,WT_RECYC,,PT,64.7
2017,EN_HAZ_TREAT,WT_RECYC,,PT,64.4
2010,EN_HAZ_TREAT,WT_RECYC,,PT,62.2
2016,EN_HAZ_TREAT,WT_RECYC,,PT,66.1
2022,EN_HAZ_TREAT,WT_RECYC,,PT,60.4
2021,EN_HAZ_TREAT,WT_RECYC,,PT,65.7
2012,EN_HAZ_TREAT,WT_RECYC,,PT,61.5
2020,EN_HAZ_TREAT,WT_RECYC,,PT,59.1
2019,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,1.1
2022,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.0
2015,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,1.8
2014,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,1.0
2021,EN_HAZ_TREAT,WT_INCINRT_EGY,,PT,0.0
