Year,Series,SectorEmisor,Units,Value
2010,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,7710563.12
2018,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,441397.99
2022,EN_ATM_GHGT_AIP,,TCO2E,18257908.89
2022,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6352811.46
2018,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,705609.85
2018,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,912744.58
2021,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,5375563.35
2014,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,447981.35
2015,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5839117.52
2010,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,890544.04
2017,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,881603.52
2023,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3017839.88
2012,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,814790.05
2015,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,836730.99
2019,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,841921.51
2013,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,465257.0
2020,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,772217.44
2014,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6491899.67
2022,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,587652.02
2019,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6354869.76
2021,EN_ATM_GHGT_AIP,,TCO2E,17607243.41
2011,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5112741.02
2021,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,713636.88
2013,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,1022212.49
2016,EN_ATM_GHGT_AIP,,TCO2E,18745087.37
2021,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,746430.27
2018,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3476428.15
2021,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3464322.87
2013,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3604364.38
2020,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,2878943.22
2012,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,802660.0
2016,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,659969.21
2022,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,358609.96
2018,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,835547.82
2012,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,488692.35
2022,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,803982.93
2013,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6623455.82
2012,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,4024916.89
2018,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6295263.29
2019,EN_ATM_GHGT_AIP,,TCO2E,18599385.12
2015,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6950651.82
2014,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,1023914.38
2023,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,4932524.68
2011,EN_ATM_GHGT_AIP,,TCO2E,20245191.39
2016,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6113744.75
2014,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,716637.45
2010,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5194492.31
2015,EN_ATM_GHGT_AIP,,TCO2E,19467497.86
2018,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6414405.77
2017,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3720919.41
2011,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,1049247.43
2018,EN_ATM_GHGT_AIP,,TCO2E,19081397.43
2015,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,972405.99
2017,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,779933.68
2019,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,816233.61
2023,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,275062.34
2023,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,658884.77
2019,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3368056.2
2010,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,496838.12
2016,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3578212.72
2017,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,811932.88
2010,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,5532918.18
2014,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3665899.58
2020,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,703898.51
2020,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,789534.5
2014,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,848247.83
2011,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,4405219.42
2010,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,835271.5
2014,EN_ATM_GHGT_AIP,,TCO2E,18844234.63
2023,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,614685.59
2013,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,789279.23
