Year,Sexo,Territorio,Units,COL2,COL3,Value
2024,,,PT,,,69.1
2017,,,PT,,,76.0
2022,,,PT,,,69.2
2014,,,PT,,,76.4
2018,,,PT,,,64.0
2020,,,PT,,,71.8
2019,,,PT,,,69.5
2023,,,PT,,,69.7
2019,,ES211,PT,,,69.6
2018,,ES211,PT,,,64.3
2022,,ES211,PT,,,67.9
2023,,ES211,PT,,,72.5
2020,,ES211,PT,,,73.7
2024,,ES211,PT,,,68.6
2014,,ES211,PT,,,76.3
2017,,ES211,PT,,,75.2
2024,,ES213,PT,,,68.0
2022,,ES213,PT,,,66.6
2014,,ES213,PT,,,75.3
2020,,ES213,PT,,,69.8
2018,,ES213,PT,,,61.8
2017,,ES213,PT,,,73.9
2019,,ES213,PT,,,67.8
2023,,ES213,PT,,,68.0
2017,,ES212,PT,,,79.8
2019,,ES212,PT,,,72.0
2018,,ES212,PT,,,67.4
2023,,ES212,PT,,,71.2
2024,,ES212,PT,,,71.0
2020,,ES212,PT,,,74.3
2014,,ES212,PT,,,78.3
2022,,ES212,PT,,,73.9
2024,F,,PT,,,57.5
2017,F,,PT,,,63.8
2018,F,,PT,,,50.6
2022,F,,PT,,,55.4
2019,F,,PT,,,55.4
2023,F,,PT,,,57.0
2020,F,,PT,,,60.1
2014,F,,PT,,,65.6
2024,F,ES211,PT,,,52.9
2023,F,ES211,PT,,,58.6
2022,F,ES211,PT,,,54.2
2020,F,ES211,PT,,,62.0
2017,F,ES211,PT,,,62.5
2019,F,ES211,PT,,,56.8
2018,F,ES211,PT,,,53.7
2014,F,ES211,PT,,,66.1
2024,F,ES213,PT,,,57.4
2022,F,ES213,PT,,,53.0
2019,F,ES213,PT,,,53.6
2018,F,ES213,PT,,,48.4
2020,F,ES213,PT,,,58.0
2017,F,ES213,PT,,,60.6
2014,F,ES213,PT,,,65.1
2023,F,ES213,PT,,,56.1
2024,F,ES212,PT,,,59.7
2023,F,ES212,PT,,,57.7
2020,F,ES212,PT,,,62.9
2019,F,ES212,PT,,,57.6
2018,F,ES212,PT,,,52.7
2017,F,ES212,PT,,,69.5
2014,F,ES212,PT,,,66.3
2022,F,ES212,PT,,,59.9
2018,M,,PT,,,78.5
2022,M,,PT,,,84.1
2020,M,,PT,,,84.5
2014,M,,PT,,,87.9
2019,M,,PT,,,84.7
2024,M,,PT,,,81.7
2023,M,,PT,,,83.6
2017,M,,PT,,,89.2
2024,M,ES211,PT,,,85.3
2023,M,ES211,PT,,,87.2
2019,M,ES211,PT,,,83.2
2018,M,ES211,PT,,,75.5
2020,M,ES211,PT,,,86.0
2014,M,ES211,PT,,,86.8
2017,M,ES211,PT,,,88.5
2022,M,ES211,PT,,,82.4
2024,M,ES213,PT,,,79.7
2023,M,ES213,PT,,,81.2
2022,M,ES213,PT,,,81.5
2020,M,ES213,PT,,,82.7
2019,M,ES213,PT,,,83.5
2018,M,ES213,PT,,,76.5
2017,M,ES213,PT,,,88.5
2014,M,ES213,PT,,,86.4
2018,M,ES212,PT,,,83.0
2017,M,ES212,PT,,,90.7
2014,M,ES212,PT,,,90.9
2024,M,ES212,PT,,,83.1
2023,M,ES212,PT,,,85.6
2022,M,ES212,PT,,,88.9
2020,M,ES212,PT,,,86.5
2019,M,ES212,PT,,,87.3
