Year,Explotacion,Units,Value
2021,EU_HTF_DETVFL,PER_100000,0.0
2016,EU_HTF_DETVFL,PER_100000,0.0
2023,EU_HTF_DETVFL,PER_100000,0.8
2017,VC_HTF_DETVOGR,PER_100000,0.0
2022,EU_HTF_DETVFL,PER_100000,0.0
2020,EU_HTF_DETVFL,PER_100000,0.1
2020,VC_HTF_DETVOGR,PER_100000,0.0
2019,VC_HTF_DETVOGR,PER_100000,0.0
2017,EU_HTF_DETVFL,PER_100000,0.0
2015,EU_HTF_DETVFL,PER_100000,0.0
2019,EU_HTF_DETVFL,PER_100000,0.0
2018,EU_HTF_DETVFL,PER_100000,0.0
2018,VC_HTF_DETVOGR,PER_100000,0.0
2016,VC_HTF_DETVOGR,PER_100000,0.0
2021,VC_HTF_DETVOGR,PER_100000,0.0
2023,EU_HTF_DETVR,PER_100000,1.5
2019,EU_HTF_DETVR,PER_100000,0.8
2017,EU_HTF_DETVR,PER_100000,0.1
2018,EU_HTF_DETVR,PER_100000,0.0
2020,EU_HTF_DETVR,PER_100000,0.5
2021,EU_HTF_DETVR,PER_100000,0.0
2022,EU_HTF_DETVR,PER_100000,0.2
2016,EU_HTF_DETVR,PER_100000,0.0
2012,EU_HTF_DETVSXR,PER_100000,0.1
2015,EU_HTF_DETVSXR,PER_100000,0.1
2013,EU_HTF_DETVSXR,PER_100000,0.4
2014,EU_HTF_DETVSXR,PER_100000,0.0
2016,EU_HTF_DETVSXR,PER_100000,0.0
2017,EU_HTF_DETVSXR,PER_100000,0.1
2021,EU_HTF_DETVSXR,PER_100000,0.0
2018,EU_HTF_DETVSXR,PER_100000,0.0
2020,EU_HTF_DETVSXR,PER_100000,0.4
2022,EU_HTF_DETVSXR,PER_100000,0.2
2019,EU_HTF_DETVSXR,PER_100000,0.8
2023,EU_HTF_DETVSXR,PER_100000,0.7
2017,VC_HTF_DETVOP,PER_100000,0.0
2018,VC_HTF_DETVOP,PER_100000,0.0
2019,VC_HTF_DETVOP,PER_100000,0.0
2016,VC_HTF_DETVOP,PER_100000,0.0
2023,VC_HTF_DETVOP,PER_100000,0.0
2020,VC_HTF_DETVOP,PER_100000,0.0
2021,VC_HTF_DETVOP,PER_100000,0.0
2022,VC_HTF_DETVOP,PER_100000,0.0
