Year,Sexo,Territorio,Units,Value
2014,,,PT,7.8
2015,,,PT,9.4
2019,,,PT,12.7
2016,,,PT,10.2
2023,,,PT,12.9
2020,,,PT,12.1
2021,,,PT,10.4
2022,,,PT,11.2
2012,,,PT,12.8
2013,,,PT,9.3
2024,,,PT,12.3
2017,,,PT,10.2
2018,,,PT,13.0
2014,,ES211,PT,5.5
2012,,ES211,PT,9.4
2021,,ES211,PT,7.9
2020,,ES211,PT,8.1
2013,,ES211,PT,6.6
2022,,ES211,PT,7.7
2016,,ES211,PT,6.1
2017,,ES211,PT,6.0
2019,,ES211,PT,9.1
2024,,ES211,PT,9.4
2023,,ES211,PT,9.5
2015,,ES211,PT,5.5
2018,,ES211,PT,8.6
2024,,ES213,PT,15.0
2021,,ES213,PT,13.2
2013,,ES213,PT,13.6
2015,,ES213,PT,14.5
2016,,ES213,PT,15.0
2014,,ES213,PT,11.4
2023,,ES213,PT,15.8
2012,,ES213,PT,17.4
2019,,ES213,PT,18.1
2020,,ES213,PT,13.3
2022,,ES213,PT,15.5
2018,,ES213,PT,16.2
2017,,ES213,PT,12.7
2012,,ES212,PT,15.4
2023,,ES212,PT,17.7
2017,,ES212,PT,17.7
2019,,ES212,PT,16.5
2016,,ES212,PT,16.7
2021,,ES212,PT,13.9
2018,,ES212,PT,20.2
2020,,ES212,PT,21.3
2024,,ES212,PT,16.2
2015,,ES212,PT,13.9
2014,,ES212,PT,9.2
2013,,ES212,PT,10.5
2022,,ES212,PT,15.4
2017,F,,PT,7.5
2014,F,,PT,4.4
2013,F,,PT,9.8
2018,F,,PT,8.9
2024,F,,PT,7.2
2021,F,,PT,7.0
2022,F,,PT,8.1
2016,F,,PT,6.5
2023,F,,PT,6.7
2015,F,,PT,3.0
2019,F,,PT,9.3
2020,F,,PT,6.0
2012,F,,PT,7.6
2024,F,ES211,PT,7.0
2012,F,ES211,PT,6.7
2015,F,ES211,PT,4.2
2022,F,ES211,PT,6.3
2019,F,ES211,PT,10.2
2023,F,ES211,PT,6.5
2021,F,ES211,PT,5.4
2020,F,ES211,PT,6.9
2018,F,ES211,PT,9.5
2017,F,ES211,PT,5.4
2016,F,ES211,PT,6.6
2013,F,ES211,PT,9.7
2014,F,ES211,PT,6.3
2016,F,ES213,PT,0.0
2015,F,ES213,PT,0.0
2023,F,ES213,PT,0.0
2019,F,ES213,PT,0.0
2022,F,ES213,PT,0.0
2021,F,ES213,PT,0.0
2018,F,ES213,PT,0.0
2017,F,ES213,PT,0.0
2014,F,ES213,PT,0.0
2013,F,ES213,PT,0.0
2020,F,ES213,PT,0.0
2024,F,ES213,PT,0.0
2012,F,ES213,PT,0.0
2024,F,ES212,PT,20.0
2023,F,ES212,PT,12.5
2022,F,ES212,PT,16.7
2021,F,ES212,PT,13.8
2020,F,ES212,PT,9.5
2019,F,ES212,PT,12.5
2018,F,ES212,PT,11.1
2017,F,ES212,PT,17.2
2016,F,ES212,PT,10.5
2015,F,ES212,PT,0.0
2014,F,ES212,PT,0.0
2013,F,ES212,PT,13.9
2012,F,ES212,PT,13.8
2018,M,,PT,13.4
2023,M,,PT,13.5
2019,M,,PT,13.1
2024,M,,PT,12.8
2016,M,,PT,10.6
2015,M,,PT,10.1
2022,M,,PT,11.5
2013,M,,PT,9.2
2014,M,,PT,8.3
2012,M,,PT,13.3
2017,M,,PT,10.5
2020,M,,PT,12.8
2021,M,,PT,10.7
2021,M,ES211,PT,8.1
2014,M,ES211,PT,5.3
2023,M,ES211,PT,9.8
2022,M,ES211,PT,7.8
2016,M,ES211,PT,6.1
2012,M,ES211,PT,9.8
2018,M,ES211,PT,8.4
2020,M,ES211,PT,8.2
2024,M,ES211,PT,9.7
2019,M,ES211,PT,9.0
2017,M,ES211,PT,6.1
2013,M,ES211,PT,6.0
2015,M,ES211,PT,5.7
2016,M,ES213,PT,15.7
2015,M,ES213,PT,15.4
2014,M,ES213,PT,11.9
2013,M,ES213,PT,14.2
2012,M,ES213,PT,18.1
2024,M,ES213,PT,16.3
2023,M,ES213,PT,16.8
2022,M,ES213,PT,16.1
2021,M,ES213,PT,13.7
2020,M,ES213,PT,14.3
2019,M,ES213,PT,19.3
2018,M,ES213,PT,16.8
2017,M,ES213,PT,13.4
2020,M,ES212,PT,22.2
2019,M,ES212,PT,16.9
2018,M,ES212,PT,21.1
2017,M,ES212,PT,17.7
2016,M,ES212,PT,17.2
2015,M,ES212,PT,15.0
2014,M,ES212,PT,10.2
2013,M,ES212,PT,10.0
2012,M,ES212,PT,15.6
2024,M,ES212,PT,15.9
2023,M,ES212,PT,18.3
2022,M,ES212,PT,15.3
2021,M,ES212,PT,13.9
