Year,ServPub,Units,Value
2023,,PT,56.9
2021,,PT,55.1
2018,,PT,57.4
2013,,PT,40.2
2020,,PT,54.1
2016,,PT,50.4
2014,,PT,41.2
2022,,PT,51.0
2025,,PT,52.8
2015,,PT,46.3
2011,,PT,47.7
2024,,PT,47.9
2019,,PT,57.3
2017,,PT,57.4
2012,,PT,50.3
2025,EU_PSR_SATIS_EDU,PT,60.2
2023,EU_PSR_SATIS_EDU,PT,65.3
2012,EU_PSR_SATIS_EDU,PT,66.0
2014,EU_PSR_SATIS_EDU,PT,54.0
2021,EU_PSR_SATIS_EDU,PT,54.4
2013,EU_PSR_SATIS_EDU,PT,45.5
2020,EU_PSR_SATIS_EDU,PT,56.5
2011,EU_PSR_SATIS_EDU,PT,66.7
2018,EU_PSR_SATIS_EDU,PT,70.9
2017,EU_PSR_SATIS_EDU,PT,69.5
2022,EU_PSR_SATIS_EDU,PT,60.9
2016,EU_PSR_SATIS_EDU,PT,60.0
2019,EU_PSR_SATIS_EDU,PT,72.2
2015,EU_PSR_SATIS_EDU,PT,59.4
2024,EU_PSR_SATIS_EDU,PT,54.1
2012,SP_PSR_SATIS_HLTH,PT,70.1
2025,SP_PSR_SATIS_HLTH,PT,56.0
2021,SP_PSR_SATIS_HLTH,PT,75.0
2019,SP_PSR_SATIS_HLTH,PT,81.5
2018,SP_PSR_SATIS_HLTH,PT,84.3
2022,SP_PSR_SATIS_HLTH,PT,59.5
2020,SP_PSR_SATIS_HLTH,PT,77.2
2023,SP_PSR_SATIS_HLTH,PT,62.7
2024,SP_PSR_SATIS_HLTH,PT,45.9
2013,SP_PSR_SATIS_HLTH,PT,50.9
2015,SP_PSR_SATIS_HLTH,PT,67.5
2017,SP_PSR_SATIS_HLTH,PT,79.0
2011,SP_PSR_SATIS_HLTH,PT,73.1
2014,SP_PSR_SATIS_HLTH,PT,69.5
2016,SP_PSR_SATIS_HLTH,PT,67.2
2025,EU_PSR_SATIS_PENSN,PT,50.7
