Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2021,,,,PT,CAE,0.8
2011,,,,PT,CAE,0.7
2017,,,,PT,CAE,0.9
2019,,,,PT,CAE,0.8
2014,,,,PT,CAE,0.7
2010,,,,PT,CAE,0.7
2018,,,,PT,CAE,0.8
2012,,,,PT,CAE,0.8
2016,,,,PT,CAE,0.7
2022,,,,PT,CAE,0.8
2020,,,,PT,CAE,0.7
2013,,,,PT,CAE,0.8
2015,,,,PT,CAE,0.7
2023,,,,PT,CAE,0.8
2015,,,ES48001,PT,ES48001,0.2
2016,,,ES48001,PT,ES48001,0.2
2019,,,ES48001,PT,ES48001,0.2
2018,,,ES48001,PT,ES48001,0.2
2017,,,ES48001,PT,ES48001,0.2
2021,,,ES48001,PT,ES48001,0.2
2014,,,ES48001,PT,ES48001,0.2
2020,,,ES48001,PT,ES48001,0.3
2019,,,ES20001,PT,ES20001,5.8
2016,,,ES20001,PT,ES20001,6.9
2015,,,ES20001,PT,ES20001,8.8
2018,,,ES20001,PT,ES20001,5.1
2020,,,ES20001,PT,ES20001,5.9
2017,,,ES20001,PT,ES20001,6.3
2014,,,ES20001,PT,ES20001,6.0
2021,,,ES20001,PT,ES20001,7.1
2016,,,ES48002,PT,ES48002,0.3
2018,,,ES48002,PT,ES48002,0.2
2014,,,ES48002,PT,ES48002,0.4
2020,,,ES48002,PT,ES48002,0.2
2021,,,ES48002,PT,ES48002,0.2
2017,,,ES48002,PT,ES48002,0.2
2019,,,ES48002,PT,ES48002,0.2
2015,,,ES48002,PT,ES48002,0.3
2015,,,ES20002,PT,ES20002,0.7
2021,,,ES20002,PT,ES20002,0.4
2019,,,ES20002,PT,ES20002,0.5
2016,,,ES20002,PT,ES20002,0.6
2020,,,ES20002,PT,ES20002,0.3
2018,,,ES20002,PT,ES20002,0.4
2017,,,ES20002,PT,ES20002,0.6
2014,,,ES20002,PT,ES20002,0.5
2021,,,ES01051,PT,ES01051,1.4
2014,,,ES01051,PT,ES01051,2.6
2018,,,ES01051,PT,ES01051,1.4
2017,,,ES01051,PT,ES01051,1.6
2019,,,ES01051,PT,ES01051,1.4
2015,,,ES01051,PT,ES01051,2.4
2016,,,ES01051,PT,ES01051,2.0
2020,,,ES01051,PT,ES01051,1.3
2016,,,ES20016,PT,ES20016,4.2
2017,,,ES20016,PT,ES20016,4.7
2021,,,ES20016,PT,ES20016,4.2
2015,,,ES20016,PT,ES20016,4.7
2020,,,ES20016,PT,ES20016,4.4
2014,,,ES20016,PT,ES20016,4.8
2019,,,ES20016,PT,ES20016,4.5
2018,,,ES20016,PT,ES20016,3.8
2021,,,ES20003,PT,ES20003,0.8
2014,,,ES20003,PT,ES20003,0.8
2018,,,ES20003,PT,ES20003,0.9
2019,,,ES20003,PT,ES20003,0.9
2015,,,ES20003,PT,ES20003,1.0
2020,,,ES20003,PT,ES20003,1.1
2017,,,ES20003,PT,ES20003,0.9
2016,,,ES20003,PT,ES20003,0.9
2019,,,ES48911,PT,ES48911,0.9
2021,,,ES48911,PT,ES48911,0.9
2018,,,ES48911,PT,ES48911,0.7
2014,,,ES48911,PT,ES48911,0.8
2020,,,ES48911,PT,ES48911,0.9
2017,,,ES48911,PT,ES48911,0.9
2016,,,ES48911,PT,ES48911,0.9
2015,,,ES48911,PT,ES48911,0.8
2014,,,ES20004,PT,ES20004,4.4
2019,,,ES20004,PT,ES20004,3.7
2017,,,ES20004,PT,ES20004,4.2
2015,,,ES20004,PT,ES20004,3.6
2020,,,ES20004,PT,ES20004,3.2
2021,,,ES20004,PT,ES20004,3.3
2016,,,ES20004,PT,ES20004,3.8
2018,,,ES20004,PT,ES20004,2.9
2021,,,ES20005,PT,ES20005,0.6
2019,,,ES20005,PT,ES20005,0.8
2020,,,ES20005,PT,ES20005,0.6
2015,,,ES20005,PT,ES20005,0.6
2014,,,ES20005,PT,ES20005,0.7
2018,,,ES20005,PT,ES20005,0.6
2016,,,ES20005,PT,ES20005,0.7
2017,,,ES20005,PT,ES20005,0.8
2015,,,ES01001,PT,ES01001,3.3
2017,,,ES01001,PT,ES01001,3.7
2014,,,ES01001,PT,ES01001,2.3
2018,,,ES01001,PT,ES01001,3.6
2016,,,ES01001,PT,ES01001,3.0
2019,,,ES01001,PT,ES01001,3.1
2021,,,ES01001,PT,ES01001,3.3
2020,,,ES01001,PT,ES01001,2.8
2015,,,ES20006,PT,ES20006,9.5
2014,,,ES20006,PT,ES20006,7.9
2020,,,ES20006,PT,ES20006,10.4
2016,,,ES20006,PT,ES20006,8.5
2017,,,ES20006,PT,ES20006,10.2
2018,,,ES20006,PT,ES20006,8.5
2019,,,ES20006,PT,ES20006,10.2
2021,,,ES20006,PT,ES20006,11.0
2015,,,ES48912,PT,ES48912,0.5
2021,,,ES48912,PT,ES48912,1.0
2014,,,ES48912,PT,ES48912,0.6
2018,,,ES48912,PT,ES48912,0.6
2017,,,ES48912,PT,ES48912,0.7
2019,,,ES48912,PT,ES48912,0.7
2016,,,ES48912,PT,ES48912,0.7
2020,,,ES48912,PT,ES48912,0.7
2019,,,ES20906,PT,ES20906,4.5
2016,,,ES20906,PT,ES20906,4.9
2020,,,ES20906,PT,ES20906,4.3
2017,,,ES20906,PT,ES20906,5.4
2021,,,ES20906,PT,ES20906,5.8
2015,,,ES20906,PT,ES20906,5.0
2014,,,ES20906,PT,ES20906,4.3
2018,,,ES20906,PT,ES20906,4.2
2015,,,ES20007,PT,ES20007,1.1
2018,,,ES20007,PT,ES20007,1.1
2014,,,ES20007,PT,ES20007,1.2
2016,,,ES20007,PT,ES20007,1.1
2020,,,ES20007,PT,ES20007,0.9
2021,,,ES20007,PT,ES20007,1.1
2017,,,ES20007,PT,ES20007,1.7
2019,,,ES20007,PT,ES20007,1.1
2014,,,ES20008,PT,ES20008,1.7
2017,,,ES20008,PT,ES20008,1.9
2020,,,ES20008,PT,ES20008,1.4
2021,,,ES20008,PT,ES20008,1.2
2019,,,ES20008,PT,ES20008,1.4
2016,,,ES20008,PT,ES20008,1.7
2015,,,ES20008,PT,ES20008,1.5
2018,,,ES20008,PT,ES20008,1.4
2019,,,ES48003,PT,ES48003,0.3
2018,,,ES48003,PT,ES48003,0.2
2017,,,ES48003,PT,ES48003,0.3
2016,,,ES48003,PT,ES48003,0.3
2020,,,ES48003,PT,ES48003,0.3
2021,,,ES48003,PT,ES48003,0.3
2015,,,ES48003,PT,ES48003,0.4
2014,,,ES48003,PT,ES48003,0.3
2019,,,ES48004,PT,ES48004,3.6
2015,,,ES48004,PT,ES48004,5.2
2018,,,ES48004,PT,ES48004,3.6
2017,,,ES48004,PT,ES48004,4.3
2014,,,ES48004,PT,ES48004,4.2
2020,,,ES48004,PT,ES48004,3.6
2021,,,ES48004,PT,ES48004,5.1
