Year,Territorio,Sexo,Units,Value
2023,,,PER_1000_LIVE_BIRTHS,1.8
2017,,,PER_1000_LIVE_BIRTHS,1.4
2020,,,PER_1000_LIVE_BIRTHS,1.8
2024,,,PER_1000_LIVE_BIRTHS,1.2
2019,,,PER_1000_LIVE_BIRTHS,2.1
2014,,,PER_1000_LIVE_BIRTHS,1.5
2013,,,PER_1000_LIVE_BIRTHS,1.5
2011,,,PER_1000_LIVE_BIRTHS,1.7
2010,,,PER_1000_LIVE_BIRTHS,1.7
2022,,,PER_1000_LIVE_BIRTHS,2.2
2016,,,PER_1000_LIVE_BIRTHS,1.4
2021,,,PER_1000_LIVE_BIRTHS,1.5
2018,,,PER_1000_LIVE_BIRTHS,2.2
2012,,,PER_1000_LIVE_BIRTHS,1.7
2015,,,PER_1000_LIVE_BIRTHS,1.7
2010,ES211,,PER_1000_LIVE_BIRTHS,1.5
2019,ES211,,PER_1000_LIVE_BIRTHS,1.6
2017,ES211,,PER_1000_LIVE_BIRTHS,1.0
2022,ES211,,PER_1000_LIVE_BIRTHS,3.1
2023,ES211,,PER_1000_LIVE_BIRTHS,3.6
2015,ES211,,PER_1000_LIVE_BIRTHS,0.9
2011,ES211,,PER_1000_LIVE_BIRTHS,2.0
2021,ES211,,PER_1000_LIVE_BIRTHS,3.0
2018,ES211,,PER_1000_LIVE_BIRTHS,1.5
2020,ES211,,PER_1000_LIVE_BIRTHS,1.3
2024,ES211,,PER_1000_LIVE_BIRTHS,2.9
2016,ES211,,PER_1000_LIVE_BIRTHS,1.6
2012,ES211,,PER_1000_LIVE_BIRTHS,2.4
2013,ES211,,PER_1000_LIVE_BIRTHS,1.3
2014,ES211,,PER_1000_LIVE_BIRTHS,1.8
2019,ES213,,PER_1000_LIVE_BIRTHS,2.6
2020,ES213,,PER_1000_LIVE_BIRTHS,1.8
2015,ES213,,PER_1000_LIVE_BIRTHS,2.1
2011,ES213,,PER_1000_LIVE_BIRTHS,2.1
2012,ES213,,PER_1000_LIVE_BIRTHS,1.7
2016,ES213,,PER_1000_LIVE_BIRTHS,1.6
2018,ES213,,PER_1000_LIVE_BIRTHS,2.6
2010,ES213,,PER_1000_LIVE_BIRTHS,2.4
2014,ES213,,PER_1000_LIVE_BIRTHS,1.3
2021,ES213,,PER_1000_LIVE_BIRTHS,1.1
2013,ES213,,PER_1000_LIVE_BIRTHS,1.0
2023,ES213,,PER_1000_LIVE_BIRTHS,1.6
2022,ES213,,PER_1000_LIVE_BIRTHS,2.2
2017,ES213,,PER_1000_LIVE_BIRTHS,1.9
2024,ES213,,PER_1000_LIVE_BIRTHS,0.8
2018,ES212,,PER_1000_LIVE_BIRTHS,1.8
2015,ES212,,PER_1000_LIVE_BIRTHS,1.4
2013,ES212,,PER_1000_LIVE_BIRTHS,2.2
2021,ES212,,PER_1000_LIVE_BIRTHS,1.4
2017,ES212,,PER_1000_LIVE_BIRTHS,0.9
2016,ES212,,PER_1000_LIVE_BIRTHS,1.0
2024,ES212,,PER_1000_LIVE_BIRTHS,1.1
2012,ES212,,PER_1000_LIVE_BIRTHS,1.3
2023,ES212,,PER_1000_LIVE_BIRTHS,1.1
2011,ES212,,PER_1000_LIVE_BIRTHS,1.0
2020,ES212,,PER_1000_LIVE_BIRTHS,2.0
2010,ES212,,PER_1000_LIVE_BIRTHS,1.0
2019,ES212,,PER_1000_LIVE_BIRTHS,1.6
2014,ES212,,PER_1000_LIVE_BIRTHS,1.6
2022,ES212,,PER_1000_LIVE_BIRTHS,1.8
2010,,F,PER_1000_LIVE_BIRTHS,1.7
2023,,F,PER_1000_LIVE_BIRTHS,1.7
2012,,F,PER_1000_LIVE_BIRTHS,1.8
2021,,F,PER_1000_LIVE_BIRTHS,1.3
2014,,F,PER_1000_LIVE_BIRTHS,1.3
2016,,F,PER_1000_LIVE_BIRTHS,1.2
2018,,F,PER_1000_LIVE_BIRTHS,2.3
2024,,F,PER_1000_LIVE_BIRTHS,0.9
2015,,F,PER_1000_LIVE_BIRTHS,1.8
2011,,F,PER_1000_LIVE_BIRTHS,2.6
2020,,F,PER_1000_LIVE_BIRTHS,2.1
2019,,F,PER_1000_LIVE_BIRTHS,2.0
2017,,F,PER_1000_LIVE_BIRTHS,1.3
2013,,F,PER_1000_LIVE_BIRTHS,1.0
2022,,F,PER_1000_LIVE_BIRTHS,1.7
2015,ES211,F,PER_1000_LIVE_BIRTHS,0.7
2023,ES211,F,PER_1000_LIVE_BIRTHS,2.9
2014,ES211,F,PER_1000_LIVE_BIRTHS,1.9
2013,ES211,F,PER_1000_LIVE_BIRTHS,0.0
2022,ES211,F,PER_1000_LIVE_BIRTHS,0.9
2012,ES211,F,PER_1000_LIVE_BIRTHS,2.6
2011,ES211,F,PER_1000_LIVE_BIRTHS,2.4
2017,ES211,F,PER_1000_LIVE_BIRTHS,1.4
2021,ES211,F,PER_1000_LIVE_BIRTHS,2.7
2019,ES211,F,PER_1000_LIVE_BIRTHS,2.4
2020,ES211,F,PER_1000_LIVE_BIRTHS,0.9
2018,ES211,F,PER_1000_LIVE_BIRTHS,0.0
2010,ES211,F,PER_1000_LIVE_BIRTHS,0.6
2024,ES211,F,PER_1000_LIVE_BIRTHS,2.9
2016,ES211,F,PER_1000_LIVE_BIRTHS,1.3
2017,ES213,F,PER_1000_LIVE_BIRTHS,2.0
2020,ES213,F,PER_1000_LIVE_BIRTHS,2.6
2024,ES213,F,PER_1000_LIVE_BIRTHS,0.3
2022,ES213,F,PER_1000_LIVE_BIRTHS,2.1
2011,ES213,F,PER_1000_LIVE_BIRTHS,3.2
2010,ES213,F,PER_1000_LIVE_BIRTHS,2.3
2018,ES213,F,PER_1000_LIVE_BIRTHS,3.1
2014,ES213,F,PER_1000_LIVE_BIRTHS,1.3
2012,ES213,F,PER_1000_LIVE_BIRTHS,2.0
2016,ES213,F,PER_1000_LIVE_BIRTHS,1.6
2013,ES213,F,PER_1000_LIVE_BIRTHS,1.1
2015,ES213,F,PER_1000_LIVE_BIRTHS,2.9
2019,ES213,F,PER_1000_LIVE_BIRTHS,2.4
2021,ES213,F,PER_1000_LIVE_BIRTHS,0.9
2023,ES213,F,PER_1000_LIVE_BIRTHS,1.5
2010,ES212,F,PER_1000_LIVE_BIRTHS,1.4
2024,ES212,F,PER_1000_LIVE_BIRTHS,0.9
2023,ES212,F,PER_1000_LIVE_BIRTHS,1.3
2022,ES212,F,PER_1000_LIVE_BIRTHS,1.4
2021,ES212,F,PER_1000_LIVE_BIRTHS,1.3
2020,ES212,F,PER_1000_LIVE_BIRTHS,2.1
2019,ES212,F,PER_1000_LIVE_BIRTHS,1.2
2018,ES212,F,PER_1000_LIVE_BIRTHS,2.3
2017,ES212,F,PER_1000_LIVE_BIRTHS,0.4
2016,ES212,F,PER_1000_LIVE_BIRTHS,0.7
2015,ES212,F,PER_1000_LIVE_BIRTHS,0.6
2014,ES212,F,PER_1000_LIVE_BIRTHS,1.0
2013,ES212,F,PER_1000_LIVE_BIRTHS,1.3
2012,ES212,F,PER_1000_LIVE_BIRTHS,1.2
2011,ES212,F,PER_1000_LIVE_BIRTHS,1.7
2018,,M,PER_1000_LIVE_BIRTHS,2.1
2013,,M,PER_1000_LIVE_BIRTHS,1.9
2016,,M,PER_1000_LIVE_BIRTHS,1.6
2023,,M,PER_1000_LIVE_BIRTHS,1.9
2024,,M,PER_1000_LIVE_BIRTHS,1.5
2014,,M,PER_1000_LIVE_BIRTHS,1.7
2010,,M,PER_1000_LIVE_BIRTHS,1.8
2017,,M,PER_1000_LIVE_BIRTHS,1.5
2020,,M,PER_1000_LIVE_BIRTHS,1.4
2011,,M,PER_1000_LIVE_BIRTHS,0.8
2012,,M,PER_1000_LIVE_BIRTHS,1.6
2015,,M,PER_1000_LIVE_BIRTHS,1.6
2019,,M,PER_1000_LIVE_BIRTHS,2.2
2021,,M,PER_1000_LIVE_BIRTHS,1.8
2022,,M,PER_1000_LIVE_BIRTHS,2.7
2010,ES211,M,PER_1000_LIVE_BIRTHS,2.3
2017,ES211,M,PER_1000_LIVE_BIRTHS,0.7
2021,ES211,M,PER_1000_LIVE_BIRTHS,3.2
2023,ES211,M,PER_1000_LIVE_BIRTHS,4.3
2013,ES211,M,PER_1000_LIVE_BIRTHS,2.5
2012,ES211,M,PER_1000_LIVE_BIRTHS,2.3
2015,ES211,M,PER_1000_LIVE_BIRTHS,1.2
2022,ES211,M,PER_1000_LIVE_BIRTHS,5.1
2016,ES211,M,PER_1000_LIVE_BIRTHS,1.9
2011,ES211,M,PER_1000_LIVE_BIRTHS,1.7
2024,ES211,M,PER_1000_LIVE_BIRTHS,2.8
2014,ES211,M,PER_1000_LIVE_BIRTHS,1.8
2020,ES211,M,PER_1000_LIVE_BIRTHS,1.6
2019,ES211,M,PER_1000_LIVE_BIRTHS,0.8
2018,ES211,M,PER_1000_LIVE_BIRTHS,2.9
2024,ES213,M,PER_1000_LIVE_BIRTHS,1.2
2022,ES213,M,PER_1000_LIVE_BIRTHS,2.3
2021,ES213,M,PER_1000_LIVE_BIRTHS,1.4
2020,ES213,M,PER_1000_LIVE_BIRTHS,1.0
2019,ES213,M,PER_1000_LIVE_BIRTHS,2.8
2018,ES213,M,PER_1000_LIVE_BIRTHS,2.2
2017,ES213,M,PER_1000_LIVE_BIRTHS,1.8
2023,ES213,M,PER_1000_LIVE_BIRTHS,1.8
2016,ES213,M,PER_1000_LIVE_BIRTHS,1.7
2015,ES213,M,PER_1000_LIVE_BIRTHS,1.4
2014,ES213,M,PER_1000_LIVE_BIRTHS,1.4
2013,ES213,M,PER_1000_LIVE_BIRTHS,1.0
2012,ES213,M,PER_1000_LIVE_BIRTHS,1.5
2011,ES213,M,PER_1000_LIVE_BIRTHS,0.9
2010,ES213,M,PER_1000_LIVE_BIRTHS,2.4
2015,ES212,M,PER_1000_LIVE_BIRTHS,2.2
2014,ES212,M,PER_1000_LIVE_BIRTHS,2.2
2013,ES212,M,PER_1000_LIVE_BIRTHS,3.1
2012,ES212,M,PER_1000_LIVE_BIRTHS,1.4
2011,ES212,M,PER_1000_LIVE_BIRTHS,0.3
2010,ES212,M,PER_1000_LIVE_BIRTHS,0.5
2023,ES212,M,PER_1000_LIVE_BIRTHS,0.9
2024,ES212,M,PER_1000_LIVE_BIRTHS,1.3
2022,ES212,M,PER_1000_LIVE_BIRTHS,2.1
2021,ES212,M,PER_1000_LIVE_BIRTHS,1.6
2020,ES212,M,PER_1000_LIVE_BIRTHS,1.9
2019,ES212,M,PER_1000_LIVE_BIRTHS,1.9
2018,ES212,M,PER_1000_LIVE_BIRTHS,1.4
2017,ES212,M,PER_1000_LIVE_BIRTHS,1.4
2016,ES212,M,PER_1000_LIVE_BIRTHS,1.3
