Year,Series,Sexo,Units,Value
2015,SH_HIV_INCD,,PER_1000,0.07
2019,SH_HIV_INCD,,PER_1000,0.07
2012,SH_HIV_INCD,,PER_1000,0.07
2023,SH_HIV_INCD,,PER_1000,0.06
2013,SH_HIV_INCD,,PER_1000,0.07
2020,SH_HIV_INCD,,PER_1000,0.05
2014,SH_HIV_INCD,,PER_1000,0.07
2016,SH_HIV_INCD,,PER_1000,0.07
2022,SH_HIV_INCD,,PER_1000,0.06
2011,SH_HIV_INCD,,PER_1000,0.08
2018,SH_HIV_INCD,,PER_1000,0.08
2024,SH_HIV_INCD,,PER_1000,0.06
2010,SH_HIV_INCD,,PER_1000,0.09
2021,SH_HIV_INCD,,PER_1000,0.05
2017,SH_HIV_INCD,,PER_1000,0.06
2013,SH_HIV_INCD,F,PER_1000,0.02
2016,SH_HIV_INCD,F,PER_1000,0.03
2022,SH_HIV_INCD,F,PER_1000,0.03
2015,SH_HIV_INCD,F,PER_1000,0.03
2017,SH_HIV_INCD,F,PER_1000,0.03
2020,SH_HIV_INCD,F,PER_1000,0.02
2019,SH_HIV_INCD,F,PER_1000,0.02
2024,SH_HIV_INCD,F,PER_1000,0.02
2021,SH_HIV_INCD,F,PER_1000,0.02
2023,SH_HIV_INCD,F,PER_1000,0.02
2010,SH_HIV_INCD,F,PER_1000,0.04
2014,SH_HIV_INCD,F,PER_1000,0.03
2018,SH_HIV_INCD,F,PER_1000,0.03
2012,SH_HIV_INCD,F,PER_1000,0.03
2011,SH_HIV_INCD,F,PER_1000,0.04
2019,SH_HIV_INCD,M,PER_1000,0.11
2014,SH_HIV_INCD,M,PER_1000,0.11
2015,SH_HIV_INCD,M,PER_1000,0.11
2012,SH_HIV_INCD,M,PER_1000,0.13
2010,SH_HIV_INCD,M,PER_1000,0.14
2011,SH_HIV_INCD,M,PER_1000,0.13
2020,SH_HIV_INCD,M,PER_1000,0.08
2023,SH_HIV_INCD,M,PER_1000,0.1
2017,SH_HIV_INCD,M,PER_1000,0.1
2022,SH_HIV_INCD,M,PER_1000,0.09
2013,SH_HIV_INCD,M,PER_1000,0.12
2016,SH_HIV_INCD,M,PER_1000,0.12
2024,SH_HIV_INCD,M,PER_1000,0.1
2021,SH_HIV_INCD,M,PER_1000,0.09
2018,SH_HIV_INCD,M,PER_1000,0.13
