Year,Sexo,Units,Value
2016,,PER_100000,0.5
2023,,PER_100000,0.1
2022,,PER_100000,0.5
2010,,PER_100000,1.6
2020,,PER_100000,0.4
2017,,PER_100000,0.9
2015,,PER_100000,0.7
2013,,PER_100000,1.1
2014,,PER_100000,1.1
2024,,PER_100000,0.5
2021,,PER_100000,0.6
2019,,PER_100000,0.2
2012,,PER_100000,0.9
2011,,PER_100000,1.1
2018,,PER_100000,0.6
2010,F,PER_100000,0.5
2011,F,PER_100000,0.2
2012,F,PER_100000,0.4
2014,F,PER_100000,0.4
2015,F,PER_100000,0.3
2016,F,PER_100000,0.3
2017,F,PER_100000,0.2
2019,F,PER_100000,0.2
2013,F,PER_100000,0.4
2020,F,PER_100000,0.2
2021,F,PER_100000,0.1
2022,F,PER_100000,0.2
2018,F,PER_100000,0.3
2023,F,PER_100000,0.0
2024,F,PER_100000,0.1
2024,M,PER_100000,0.8
2017,M,PER_100000,1.7
2013,M,PER_100000,1.7
2010,M,PER_100000,2.8
2018,M,PER_100000,1.0
2019,M,PER_100000,0.3
2011,M,PER_100000,2.0
2014,M,PER_100000,1.9
2020,M,PER_100000,0.7
2021,M,PER_100000,1.1
2015,M,PER_100000,1.1
2012,M,PER_100000,1.4
2022,M,PER_100000,0.9
2023,M,PER_100000,0.2
2016,M,PER_100000,0.7
