Year,Edad,Territorio,Units,Value
2025,,,PER_1000_POP,1.53
2010,,,PER_1000_POP,3.2
2011,,,PER_1000_POP,2.91
2020,,,PER_1000_POP,1.64
2013,,,PER_1000_POP,2.76
2016,,,PER_1000_POP,2.29
2017,,,PER_1000_POP,2.14
2023,,,PER_1000_POP,1.58
2014,,,PER_1000_POP,2.73
2012,,,PER_1000_POP,2.94
2024,,,PER_1000_POP,1.32
2018,,,PER_1000_POP,1.79
2022,,,PER_1000_POP,1.58
2021,,,PER_1000_POP,1.55
2019,,,PER_1000_POP,1.94
2015,,,PER_1000_POP,2.39
2010,,ES211,PER_1000_POP,4.23
2013,,ES211,PER_1000_POP,3.07
2018,,ES211,PER_1000_POP,2.5
2024,,ES211,PER_1000_POP,1.6
2012,,ES211,PER_1000_POP,3.65
2011,,ES211,PER_1000_POP,4.24
2020,,ES211,PER_1000_POP,1.73
2021,,ES211,PER_1000_POP,1.32
2022,,ES211,PER_1000_POP,1.84
2017,,ES211,PER_1000_POP,3.2
2025,,ES211,PER_1000_POP,1.59
2019,,ES211,PER_1000_POP,2.5
2016,,ES211,PER_1000_POP,3.21
2023,,ES211,PER_1000_POP,1.62
2014,,ES211,PER_1000_POP,3.16
2015,,ES211,PER_1000_POP,3.44
2025,,ES213,PER_1000_POP,1.78
2011,,ES213,PER_1000_POP,3.07
2016,,ES213,PER_1000_POP,2.29
2015,,ES213,PER_1000_POP,2.6
2018,,ES213,PER_1000_POP,1.78
2022,,ES213,PER_1000_POP,1.74
2024,,ES213,PER_1000_POP,1.35
2012,,ES213,PER_1000_POP,3.45
2019,,ES213,PER_1000_POP,2.21
2020,,ES213,PER_1000_POP,1.98
2013,,ES213,PER_1000_POP,3.18
2014,,ES213,PER_1000_POP,3.22
2023,,ES213,PER_1000_POP,1.81
2010,,ES213,PER_1000_POP,3.42
2017,,ES213,PER_1000_POP,2.2
2021,,ES213,PER_1000_POP,1.94
2023,,ES212,PER_1000_POP,1.22
2024,,ES212,PER_1000_POP,1.14
2015,,ES212,PER_1000_POP,1.64
2016,,ES212,PER_1000_POP,1.91
2012,,ES212,PER_1000_POP,1.87
2019,,ES212,PER_1000_POP,1.32
2011,,ES212,PER_1000_POP,2.09
2017,,ES212,PER_1000_POP,1.59
2014,,ES212,PER_1000_POP,1.85
2013,,ES212,PER_1000_POP,2.0
2010,,ES212,PER_1000_POP,2.41
2025,,ES212,PER_1000_POP,1.14
2018,,ES212,PER_1000_POP,1.49
2020,,ES212,PER_1000_POP,1.1
2021,,ES212,PER_1000_POP,1.08
2022,,ES212,PER_1000_POP,1.24
2016,Y10T14,,PER_1000_POP,0.04
2014,Y10T14,,PER_1000_POP,0.04
2015,Y10T14,,PER_1000_POP,0.04
2018,Y10T14,,PER_1000_POP,0.06
2022,Y10T14,,PER_1000_POP,0.06
2011,Y10T14,,PER_1000_POP,0.05
2017,Y10T14,,PER_1000_POP,0.06
2025,Y10T14,,PER_1000_POP,0.04
2013,Y10T14,,PER_1000_POP,0.09
2020,Y10T14,,PER_1000_POP,0.04
2023,Y10T14,,PER_1000_POP,0.02
2021,Y10T14,,PER_1000_POP,0.09
2012,Y10T14,,PER_1000_POP,0.13
2024,Y10T14,,PER_1000_POP,0.04
2019,Y10T14,,PER_1000_POP,0.04
2010,Y10T14,,PER_1000_POP,0.07
2020,Y10T14,ES211,PER_1000_POP,0.0
2015,Y10T14,ES211,PER_1000_POP,0.0
2014,Y10T14,ES211,PER_1000_POP,0.0
2019,Y10T14,ES211,PER_1000_POP,0.0
2016,Y10T14,ES211,PER_1000_POP,0.0
2011,Y10T14,ES211,PER_1000_POP,0.15
2018,Y10T14,ES211,PER_1000_POP,0.0
2013,Y10T14,ES211,PER_1000_POP,0.0
2025,Y10T14,ES211,PER_1000_POP,0.0
2010,Y10T14,ES211,PER_1000_POP,0.0
2022,Y10T14,ES211,PER_1000_POP,0.0
2017,Y10T14,ES211,PER_1000_POP,0.0
2023,Y10T14,ES211,PER_1000_POP,0.0
2024,Y10T14,ES211,PER_1000_POP,0.0
2021,Y10T14,ES211,PER_1000_POP,0.12
2012,Y10T14,ES211,PER_1000_POP,0.15
2018,Y10T14,ES213,PER_1000_POP,0.12
2025,Y10T14,ES213,PER_1000_POP,0.04
2024,Y10T14,ES213,PER_1000_POP,0.04
2023,Y10T14,ES213,PER_1000_POP,0.04
2022,Y10T14,ES213,PER_1000_POP,0.11
2020,Y10T14,ES213,PER_1000_POP,0.08
2019,Y10T14,ES213,PER_1000_POP,0.08
2017,Y10T14,ES213,PER_1000_POP,0.04
2016,Y10T14,ES213,PER_1000_POP,0.0
2015,Y10T14,ES213,PER_1000_POP,0.08
2014,Y10T14,ES213,PER_1000_POP,0.08
2013,Y10T14,ES213,PER_1000_POP,0.13
2012,Y10T14,ES213,PER_1000_POP,0.22
