Year,Series,Sexo,Territorio,Units,Value
2019,EU_SDG_11_52_PER_100000,,,PER_100000,31.3
2017,EU_SDG_11_52_PER_100000,,,PER_100000,29.0
2016,EU_SDG_11_52_PER_100000,,,PER_100000,27.2
2015,EU_SDG_11_52_PER_100000,,,PER_100000,39.5
2020,EU_SDG_11_52_PER_100000,,,PER_100000,29.9
2021,EU_SDG_11_52_PER_100000,,,PER_100000,30.0
2023,EU_SDG_11_52_PER_100000,,,PER_100000,27.8
2018,EU_SDG_11_52_PER_100000,,,PER_100000,41.1
2022,EU_SDG_11_52_PER_100000,,,PER_100000,37.1
2020,EU_SDG_11_52_PER_100000,,ES211,PER_100000,26.3
2015,EU_SDG_11_52_PER_100000,,ES211,PER_100000,34.8
2019,EU_SDG_11_52_PER_100000,,ES211,PER_100000,26.9
2021,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23.0
2023,EU_SDG_11_52_PER_100000,,ES211,PER_100000,21.0
2018,EU_SDG_11_52_PER_100000,,ES211,PER_100000,35.5
2022,EU_SDG_11_52_PER_100000,,ES211,PER_100000,31.4
2017,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23.7
2016,EU_SDG_11_52_PER_100000,,ES211,PER_100000,23.9
2019,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.2
2017,EU_SDG_11_52_PER_100000,,ES213,PER_100000,35.4
2018,EU_SDG_11_52_PER_100000,,ES213,PER_100000,46.1
2015,EU_SDG_11_52_PER_100000,,ES213,PER_100000,45.5
2016,EU_SDG_11_52_PER_100000,,ES213,PER_100000,33.2
2022,EU_SDG_11_52_PER_100000,,ES213,PER_100000,43.5
2021,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.7
2020,EU_SDG_11_52_PER_100000,,ES213,PER_100000,36.2
2023,EU_SDG_11_52_PER_100000,,ES213,PER_100000,34.6
2019,EU_SDG_11_52_PER_100000,,ES212,PER_100000,25.6
2015,EU_SDG_11_52_PER_100000,,ES212,PER_100000,31.9
2022,EU_SDG_11_52_PER_100000,,ES212,PER_100000,29.3
2017,EU_SDG_11_52_PER_100000,,ES212,PER_100000,21.0
2018,EU_SDG_11_52_PER_100000,,ES212,PER_100000,35.5
2021,EU_SDG_11_52_PER_100000,,ES212,PER_100000,22.5
2023,EU_SDG_11_52_PER_100000,,ES212,PER_100000,20.2
2020,EU_SDG_11_52_PER_100000,,ES212,PER_100000,21.1
2016,EU_SDG_11_52_PER_100000,,ES212,PER_100000,18.7
2016,EU_SDG_11_52_PER_100000,F,,PER_100000,26.5
2021,EU_SDG_11_52_PER_100000,F,,PER_100000,29.0
2020,EU_SDG_11_52_PER_100000,F,,PER_100000,29.3
2017,EU_SDG_11_52_PER_100000,F,,PER_100000,28.6
2018,EU_SDG_11_52_PER_100000,F,,PER_100000,40.3
2015,EU_SDG_11_52_PER_100000,F,,PER_100000,38.9
2023,EU_SDG_11_52_PER_100000,F,,PER_100000,27.3
2019,EU_SDG_11_52_PER_100000,F,,PER_100000,30.7
2022,EU_SDG_11_52_PER_100000,F,,PER_100000,36.5
2018,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,34.6
2020,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,25.8
2022,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,30.8
2017,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,23.6
2016,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,23.2
2023,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,20.3
2015,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,34.0
2019,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,26.1
2021,EU_SDG_11_52_PER_100000,F,ES211,PER_100000,22.3
2017,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,34.8
2020,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.5
2015,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,44.7
2019,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.4
2022,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,42.7
2018,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,45.3
2021,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,35.5
2016,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,32.4
2023,EU_SDG_11_52_PER_100000,F,ES213,PER_100000,33.8
2023,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,19.6
2020,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,20.7
2019,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,24.9
2018,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,34.9
2022,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,28.9
2015,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,31.5
2016,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,18.3
2017,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,20.6
2021,EU_SDG_11_52_PER_100000,F,ES212,PER_100000,21.8
2018,EU_SDG_11_52_PER_100000,M,,PER_100000,41.8
2016,EU_SDG_11_52_PER_100000,M,,PER_100000,27.8
2015,EU_SDG_11_52_PER_100000,M,,PER_100000,40.1
2019,EU_SDG_11_52_PER_100000,M,,PER_100000,32.0
2021,EU_SDG_11_52_PER_100000,M,,PER_100000,31.1
2023,EU_SDG_11_52_PER_100000,M,,PER_100000,28.3
2022,EU_SDG_11_52_PER_100000,M,,PER_100000,37.6
2017,EU_SDG_11_52_PER_100000,M,,PER_100000,29.5
2020,EU_SDG_11_52_PER_100000,M,,PER_100000,30.4
