Year,Sexo,Territorio,Units,Value
2018,,,PT,16.7
2013,,,PT,21.3
2008,,,PT,25.0
2023,,,PT,15.4
2023,,ES211,PT,16.3
2008,,ES211,PT,22.9
2018,,ES211,PT,12.9
2013,,ES211,PT,21.0
2013,,ES213,PT,21.7
2018,,ES213,PT,17.6
2023,,ES213,PT,17.3
2008,,ES213,PT,25.9
2008,,ES212,PT,24.4
2013,,ES212,PT,20.7
2023,,ES212,PT,11.9
2018,,ES212,PT,16.9
2018,F,,PT,13.5
2013,F,,PT,18.1
2008,F,,PT,21.1
2023,F,,PT,13.4
2008,F,ES211,PT,19.9
2023,F,ES211,PT,15.8
2013,F,ES211,PT,19.2
2018,F,ES211,PT,11.0
2023,F,ES213,PT,14.4
2018,F,ES213,PT,14.1
2013,F,ES213,PT,17.7
2008,F,ES213,PT,21.9
2013,F,ES212,PT,18.2
2008,F,ES212,PT,20.3
2023,F,ES212,PT,10.8
2018,F,ES212,PT,13.7
2008,M,,PT,29.1
2023,M,,PT,17.5
2013,M,,PT,24.7
2018,M,,PT,20.1
2008,M,ES211,PT,26.1
2013,M,ES211,PT,22.8
2018,M,ES211,PT,14.8
2023,M,ES211,PT,16.8
2023,M,ES213,PT,20.5
2018,M,ES213,PT,21.5
2013,M,ES213,PT,26.0
2008,M,ES213,PT,30.1
2008,M,ES212,PT,28.7
2013,M,ES212,PT,23.4
2023,M,ES212,PT,13.1
2018,M,ES212,PT,20.2
