Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2021,,,,,PER_10000_POP,173.7
2022,,EU_SIT_JUB,,,PER_10000_POP,14.8
2016,,EU_SIT_JUB,,,PER_10000_POP,8.2
2013,,EU_SIT_JUB,,,PER_10000_POP,6.2
2017,,EU_SIT_NOJUB,,,PER_10000_POP,151.9
2025,,EU_SIT_NOJUB,,,PER_10000_POP,165.5
2021,,EU_SIT_NOJUB,,,PER_10000_POP,159.5
2011,,EU_SIT_JUB,,,PER_10000_POP,5.4
2011,,,,,PER_10000_POP,146.7
2012,,EU_SIT_NOJUB,,,PER_10000_POP,142.9
2015,,,,,PER_10000_POP,156.8
2019,,EU_SIT_JUB,,,PER_10000_POP,11.7
2010,,EU_SIT_JUB,,,PER_10000_POP,4.9
2021,,EU_SIT_JUB,,,PER_10000_POP,14.0
2019,,EU_SIT_NOJUB,,,PER_10000_POP,154.2
2022,,,,,PER_10000_POP,175.6
2011,,EU_SIT_NOJUB,,,PER_10000_POP,133.7
2010,,,,,PER_10000_POP,143.1
2022,,EU_SIT_NOJUB,,,PER_10000_POP,160.7
2020,,EU_SIT_JUB,,,PER_10000_POP,12.8
2020,,,,,PER_10000_POP,170.8
2023,,,,,PER_10000_POP,186.6
2016,,EU_SIT_NOJUB,,,PER_10000_POP,150.8
2010,,EU_SIT_NOJUB,,,PER_10000_POP,138.0
2025,,EU_SIT_JUB,,,PER_10000_POP,26.2
2014,,EU_SIT_JUB,,,PER_10000_POP,6.6
2014,,,,,PER_10000_POP,154.0
2012,,,,,PER_10000_POP,149.2
2012,,EU_SIT_JUB,,,PER_10000_POP,6.0
2020,,EU_SIT_NOJUB,,,PER_10000_POP,157.8
2013,,,,,PER_10000_POP,151.2
2023,,EU_SIT_NOJUB,,,PER_10000_POP,161.7
2019,,,,,PER_10000_POP,166.1
2024,,EU_SIT_JUB,,,PER_10000_POP,24.3
2013,,EU_SIT_NOJUB,,,PER_10000_POP,144.7
2015,,EU_SIT_NOJUB,,,PER_10000_POP,149.1
2015,,EU_SIT_JUB,,,PER_10000_POP,7.4
2017,,,,,PER_10000_POP,161.3
2024,,EU_SIT_NOJUB,,,PER_10000_POP,163.1
2017,,EU_SIT_JUB,,,PER_10000_POP,9.2
2018,,EU_SIT_NOJUB,,,PER_10000_POP,153.4
2024,,,,,PER_10000_POP,187.4
2023,,EU_SIT_JUB,,,PER_10000_POP,24.9
2018,,,,,PER_10000_POP,163.7
2014,,EU_SIT_NOJUB,,,PER_10000_POP,147.2
2016,,,,,PER_10000_POP,159.2
2025,,,,,PER_10000_POP,191.7
2018,,EU_SIT_JUB,,,PER_10000_POP,10.1
2015,,EU_SIT_JUB,,ES211,PER_10000_POP,7.4
2020,,EU_SIT_NOJUB,,ES211,PER_10000_POP,160.1
2024,,EU_SIT_JUB,,ES211,PER_10000_POP,16.0
2017,,EU_SIT_NOJUB,,ES211,PER_10000_POP,157.0
2017,,EU_SIT_JUB,,ES211,PER_10000_POP,9.5
2021,,EU_SIT_NOJUB,,ES211,PER_10000_POP,161.5
2023,,EU_SIT_JUB,,ES211,PER_10000_POP,15.1
2019,,EU_SIT_JUB,,ES211,PER_10000_POP,11.2
2013,,EU_SIT_NOJUB,,ES211,PER_10000_POP,150.2
2014,,EU_SIT_NOJUB,,ES211,PER_10000_POP,153.5
2020,,,,ES211,PER_10000_POP,172.1
2016,,EU_SIT_JUB,,ES211,PER_10000_POP,8.6
2013,,EU_SIT_JUB,,ES211,PER_10000_POP,5.5
2022,,EU_SIT_NOJUB,,ES211,PER_10000_POP,161.4
2019,,,,ES211,PER_10000_POP,168.9
2014,,,,ES211,PER_10000_POP,159.4
2025,,EU_SIT_JUB,,ES211,PER_10000_POP,17.3
2021,,EU_SIT_JUB,,ES211,PER_10000_POP,12.6
2020,,EU_SIT_JUB,,ES211,PER_10000_POP,12.0
2025,,,,ES211,PER_10000_POP,182.2
2010,,EU_SIT_NOJUB,,ES211,PER_10000_POP,141.0
2016,,EU_SIT_NOJUB,,ES211,PER_10000_POP,156.0
2015,,EU_SIT_NOJUB,,ES211,PER_10000_POP,154.7
2019,,EU_SIT_NOJUB,,ES211,PER_10000_POP,157.7
2017,,,,ES211,PER_10000_POP,166.5
2021,,,,ES211,PER_10000_POP,174.2
2024,,EU_SIT_NOJUB,,ES211,PER_10000_POP,162.7
2011,,EU_SIT_JUB,,ES211,PER_10000_POP,5.5
2010,,EU_SIT_JUB,,ES211,PER_10000_POP,4.7
2016,,,,ES211,PER_10000_POP,164.6
2012,,EU_SIT_JUB,,ES211,PER_10000_POP,5.1
2014,,EU_SIT_JUB,,ES211,PER_10000_POP,5.9
2013,,,,ES211,PER_10000_POP,155.7
2025,,EU_SIT_NOJUB,,ES211,PER_10000_POP,165.0
2024,,,,ES211,PER_10000_POP,178.7
2022,,EU_SIT_JUB,,ES211,PER_10000_POP,14.1
2010,,,,ES211,PER_10000_POP,145.9
2023,,,,ES211,PER_10000_POP,176.9
2018,,EU_SIT_NOJUB,,ES211,PER_10000_POP,158.2
2011,,,,ES211,PER_10000_POP,149.6
2023,,EU_SIT_NOJUB,,ES211,PER_10000_POP,161.8
2012,,EU_SIT_NOJUB,,ES211,PER_10000_POP,148.5
2011,,EU_SIT_NOJUB,,ES211,PER_10000_POP,138.2
2018,,,,ES211,PER_10000_POP,168.3
2015,,,,ES211,PER_10000_POP,162.1
2022,,,,ES211,PER_10000_POP,175.5
2012,,,,ES211,PER_10000_POP,153.7
2018,,EU_SIT_JUB,,ES211,PER_10000_POP,10.1
2010,,EU_SIT_NOJUB,,ES213,PER_10000_POP,138.6
2022,,,,ES213,PER_10000_POP,181.0
2010,,EU_SIT_JUB,,ES213,PER_10000_POP,5.4
2017,,EU_SIT_NOJUB,,ES213,PER_10000_POP,155.6
2017,,EU_SIT_JUB,,ES213,PER_10000_POP,9.0
2013,,,,ES213,PER_10000_POP,153.3
2025,,,,ES213,PER_10000_POP,191.4
2016,,,,ES213,PER_10000_POP,162.3
2022,,EU_SIT_NOJUB,,ES213,PER_10000_POP,166.4
2023,,EU_SIT_NOJUB,,ES213,PER_10000_POP,167.5
2024,,,,ES213,PER_10000_POP,187.2
2020,,EU_SIT_NOJUB,,ES213,PER_10000_POP,162.5
2024,,EU_SIT_JUB,,ES213,PER_10000_POP,18.0
2018,,,,ES213,PER_10000_POP,168.2
2011,,EU_SIT_NOJUB,,ES213,PER_10000_POP,134.2
2018,,EU_SIT_JUB,,ES213,PER_10000_POP,9.9
2025,,EU_SIT_NOJUB,,ES213,PER_10000_POP,171.9
2022,,EU_SIT_JUB,,ES213,PER_10000_POP,14.6
2014,,EU_SIT_JUB,,ES213,PER_10000_POP,6.6
