Year,Units,Value
2007,MJ_PER_GDP_CON_PPP_USD,2.59
2008,MJ_PER_GDP_CON_PPP_USD,2.59
2009,MJ_PER_GDP_CON_PPP_USD,2.51
2010,MJ_PER_GDP_CON_PPP_USD,2.43
2011,MJ_PER_GDP_CON_PPP_USD,2.24
2012,MJ_PER_GDP_CON_PPP_USD,2.31
2013,MJ_PER_GDP_CON_PPP_USD,2.25
2014,MJ_PER_GDP_CON_PPP_USD,2.16
2015,MJ_PER_GDP_CON_PPP_USD,2.13
2016,MJ_PER_GDP_CON_PPP_USD,2.05
2017,MJ_PER_GDP_CON_PPP_USD,2.05
2018,MJ_PER_GDP_CON_PPP_USD,1.99
2019,MJ_PER_GDP_CON_PPP_USD,1.97
2020,MJ_PER_GDP_CON_PPP_USD,1.96
2021,MJ_PER_GDP_CON_PPP_USD,1.99
2022,MJ_PER_GDP_CON_PPP_USD,1.95
2023,MJ_PER_GDP_CON_PPP_USD,1.7
