Year,Series,Territorio,Units,Value
2010,NV_IND_MANF,ES211,PT,24.9
2011,NV_IND_MANF,ES211,PT,25.9
2012,NV_IND_MANF,ES211,PT,25.1
2013,NV_IND_MANF,ES211,PT,25.7
2014,NV_IND_MANF,ES211,PT,26.1
2015,NV_IND_MANF,ES211,PT,26.2
2016,NV_IND_MANF,ES211,PT,26.2
2017,NV_IND_MANF,ES211,PT,26.4
2018,NV_IND_MANF,ES211,PT,25.8
2019,NV_IND_MANF,ES211,PT,25.0
2020,NV_IND_MANF,ES211,PT,23.9
2021,NV_IND_MANF,ES211,PT,24.3
2022,NV_IND_MANF,ES211,PT,24.1
2023,NV_IND_MANF,ES211,PT,24.3
2024,NV_IND_MANF,ES211,PT,24.3
2010,NV_IND_MANF,ES212,PT,22.6
2011,NV_IND_MANF,ES212,PT,23.3
2012,NV_IND_MANF,ES212,PT,22.8
2013,NV_IND_MANF,ES212,PT,22.2
2014,NV_IND_MANF,ES212,PT,22.2
2015,NV_IND_MANF,ES212,PT,22.6
2016,NV_IND_MANF,ES212,PT,22.7
2017,NV_IND_MANF,ES212,PT,22.4
2018,NV_IND_MANF,ES212,PT,22.4
2019,NV_IND_MANF,ES212,PT,22.2
2020,NV_IND_MANF,ES212,PT,21.9
2021,NV_IND_MANF,ES212,PT,22.8
2022,NV_IND_MANF,ES212,PT,22.9
2023,NV_IND_MANF,ES212,PT,23.0
2024,NV_IND_MANF,ES212,PT,22.9
2010,NV_IND_MANF,ES213,PT,17.1
2011,NV_IND_MANF,ES213,PT,17.2
2012,NV_IND_MANF,ES213,PT,16.2
2013,NV_IND_MANF,ES213,PT,16.2
2014,NV_IND_MANF,ES213,PT,16.5
2015,NV_IND_MANF,ES213,PT,16.5
2016,NV_IND_MANF,ES213,PT,16.8
2017,NV_IND_MANF,ES213,PT,16.9
2018,NV_IND_MANF,ES213,PT,16.5
2019,NV_IND_MANF,ES213,PT,16.5
2020,NV_IND_MANF,ES213,PT,15.6
2021,NV_IND_MANF,ES213,PT,15.8
2022,NV_IND_MANF,ES213,PT,15.5
2023,NV_IND_MANF,ES213,PT,16.2
2024,NV_IND_MANF,ES213,PT,17.3
2010,NV_IND_MANF,,PT,20.2
2011,NV_IND_MANF,,PT,20.6
2012,NV_IND_MANF,,PT,19.9
2013,NV_IND_MANF,,PT,19.8
2014,NV_IND_MANF,,PT,19.9
2015,NV_IND_MANF,,PT,20.1
2016,NV_IND_MANF,,PT,20.3
2017,NV_IND_MANF,,PT,20.3
2018,NV_IND_MANF,,PT,20.0
2019,NV_IND_MANF,,PT,19.8
2020,NV_IND_MANF,,PT,19.0
2021,NV_IND_MANF,,PT,19.5
2022,NV_IND_MANF,,PT,19.3
2023,NV_IND_MANF,,PT,19.1
2024,NV_IND_MANF,,PT,18.9
2010,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9735.7
2011,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10121.6
2012,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9536.6
2013,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9608.3
2014,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9938.6
2015,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10224.2
2016,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10505.2
2017,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10744.1
2018,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10671.7
2019,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10481.8
2020,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,8926.7
2021,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9745.2
2022,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10030.6
2023,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10404.4
2024,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10584.1
2010,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8118.4
2011,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8344.2
2012,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8012.3
2013,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7629.4
2014,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7743.6
2015,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8123.6
2016,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8435.5
2017,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8527.6
2018,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8832.1
2019,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8940.6
2020,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7912.1
2021,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8769.1
2022,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,9195.3
2023,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,9492.5
2024,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,9647.8
2010,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5660.0
2011,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5693.5
2012,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5246.0
2013,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5178.0
2014,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5354.3
2015,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5527.2
2016,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5834.6
2017,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6020.7
2018,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6031.7
2019,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6136.2
2020,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5305.3
2021,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5714.5
