Year,PM,Units,COL2,Value
2017,PM25,G_PER_GDP_EUR,,0.06
2018,PM25,G_PER_GDP_EUR,,0.06
2019,PM25,G_PER_GDP_EUR,,0.05
2012,PM25,G_PER_GDP_EUR,,0.08
2020,PM25,G_PER_GDP_EUR,,0.05
2014,PM25,G_PER_GDP_EUR,,0.08
2016,PM25,G_PER_GDP_EUR,,0.07
2022,PM25,G_PER_GDP_EUR,,0.05
2015,PM25,G_PER_GDP_EUR,,0.07
2021,PM25,G_PER_GDP_EUR,,0.05
2010,PM25,G_PER_GDP_EUR,,0.1
2013,PM25,G_PER_GDP_EUR,,0.08
2011,PM25,G_PER_GDP_EUR,,0.08
2023,PM25,G_PER_GDP_EUR,,0.05
2020,PM10,G_PER_GDP_EUR,,0.11
2017,PM10,G_PER_GDP_EUR,,0.13
2011,PM10,G_PER_GDP_EUR,,0.18
2010,PM10,G_PER_GDP_EUR,,0.2
2015,PM10,G_PER_GDP_EUR,,0.15
2022,PM10,G_PER_GDP_EUR,,0.12
2016,PM10,G_PER_GDP_EUR,,0.14
2018,PM10,G_PER_GDP_EUR,,0.16
2013,PM10,G_PER_GDP_EUR,,0.18
2012,PM10,G_PER_GDP_EUR,,0.16
2021,PM10,G_PER_GDP_EUR,,0.11
2019,PM10,G_PER_GDP_EUR,,0.14
2023,PM10,G_PER_GDP_EUR,,0.11
2014,PM10,G_PER_GDP_EUR,,0.18
