Year,Series,Territorio,Units,Value
2015,IT_MOB_3GNTWK,,PT,99.89
2014,IT_MOB_3GNTWK,,PT,99.4
2012,IT_MOB_3GNTWK,,PT,96.6
2019,IT_MOB_3GNTWK,,PT,99.97
2020,IT_MOB_3GNTWK,,PT,99.99
2016,IT_MOB_3GNTWK,,PT,99.85
2017,IT_MOB_3GNTWK,,PT,99.96
2018,IT_MOB_3GNTWK,,PT,99.97
2013,IT_MOB_3GNTWK,,PT,99.5
2016,IT_MOB_3GNTWK,ES211,PT,99.83
2019,IT_MOB_3GNTWK,ES211,PT,99.93
2018,IT_MOB_3GNTWK,ES211,PT,99.93
2015,IT_MOB_3GNTWK,ES211,PT,99.81
2017,IT_MOB_3GNTWK,ES211,PT,99.94
2020,IT_MOB_3GNTWK,ES211,PT,100.0
2014,IT_MOB_3GNTWK,ES211,PT,98.7
2019,IT_MOB_3GNTWK,ES213,PT,100.0
2020,IT_MOB_3GNTWK,ES213,PT,99.99
2014,IT_MOB_3GNTWK,ES213,PT,99.8
2016,IT_MOB_3GNTWK,ES213,PT,99.94
2015,IT_MOB_3GNTWK,ES213,PT,99.98
2017,IT_MOB_3GNTWK,ES213,PT,100.0
2018,IT_MOB_3GNTWK,ES213,PT,100.0
2015,IT_MOB_3GNTWK,ES212,PT,99.79
2017,IT_MOB_3GNTWK,ES212,PT,99.92
2018,IT_MOB_3GNTWK,ES212,PT,99.95
2020,IT_MOB_3GNTWK,ES212,PT,99.99
2019,IT_MOB_3GNTWK,ES212,PT,99.95
2014,IT_MOB_3GNTWK,ES212,PT,99.0
2016,IT_MOB_3GNTWK,ES212,PT,99.78
2017,IT_MOB_4GNTWK,,PT,99.01
2025,IT_MOB_4GNTWK,,PT,99.96
2020,IT_MOB_4GNTWK,,PT,99.98
2015,IT_MOB_4GNTWK,,PT,79.64
2021,IT_MOB_4GNTWK,,PT,99.99
2018,IT_MOB_4GNTWK,,PT,99.89
2024,IT_MOB_4GNTWK,,PT,99.96
2022,IT_MOB_4GNTWK,,PT,99.97
2014,IT_MOB_4GNTWK,,PT,55.1
2023,IT_MOB_4GNTWK,,PT,99.96
2016,IT_MOB_4GNTWK,,PT,93.46
2019,IT_MOB_4GNTWK,,PT,99.95
2019,IT_MOB_4GNTWK,ES211,PT,99.7
2018,IT_MOB_4GNTWK,ES211,PT,99.7
2017,IT_MOB_4GNTWK,ES211,PT,97.92
2022,IT_MOB_4GNTWK,ES211,PT,99.97
2020,IT_MOB_4GNTWK,ES211,PT,99.99
2025,IT_MOB_4GNTWK,ES211,PT,99.95
2016,IT_MOB_4GNTWK,ES211,PT,90.02
2023,IT_MOB_4GNTWK,ES211,PT,99.92
2024,IT_MOB_4GNTWK,ES211,PT,99.95
2015,IT_MOB_4GNTWK,ES211,PT,79.54
2021,IT_MOB_4GNTWK,ES211,PT,99.98
2014,IT_MOB_4GNTWK,ES211,PT,76.0
2019,IT_MOB_4GNTWK,ES213,PT,99.97
2020,IT_MOB_4GNTWK,ES213,PT,99.99
2017,IT_MOB_4GNTWK,ES213,PT,99.52
2016,IT_MOB_4GNTWK,ES213,PT,95.37
2015,IT_MOB_4GNTWK,ES213,PT,85.25
2025,IT_MOB_4GNTWK,ES213,PT,99.99
2024,IT_MOB_4GNTWK,ES213,PT,99.99
2023,IT_MOB_4GNTWK,ES213,PT,99.98
2014,IT_MOB_4GNTWK,ES213,PT,68.5
2018,IT_MOB_4GNTWK,ES213,PT,99.97
2022,IT_MOB_4GNTWK,ES213,PT,99.98
2021,IT_MOB_4GNTWK,ES213,PT,100.0
2023,IT_MOB_4GNTWK,ES212,PT,99.93
2022,IT_MOB_4GNTWK,ES212,PT,99.96
2021,IT_MOB_4GNTWK,ES212,PT,99.98
2020,IT_MOB_4GNTWK,ES212,PT,99.95
2019,IT_MOB_4GNTWK,ES212,PT,99.94
2018,IT_MOB_4GNTWK,ES212,PT,99.94
2017,IT_MOB_4GNTWK,ES212,PT,98.71
2015,IT_MOB_4GNTWK,ES212,PT,70.63
2014,IT_MOB_4GNTWK,ES212,PT,23.7
2016,IT_MOB_4GNTWK,ES212,PT,92.01
2025,IT_MOB_4GNTWK,ES212,PT,99.92
2024,IT_MOB_4GNTWK,ES212,PT,99.92
2022,IT_MOB_5GNTWK,,PT,84.6
2025,IT_MOB_5GNTWK,,PT,99.62
2021,IT_MOB_5GNTWK,,PT,66.8
2023,IT_MOB_5GNTWK,,PT,95.8
2024,IT_MOB_5GNTWK,,PT,97.2
2024,IT_MOB_5GNTWK,ES211,PT,94.14
2025,IT_MOB_5GNTWK,ES211,PT,99.19
2023,IT_MOB_5GNTWK,ES211,PT,92.67
2025,IT_MOB_5GNTWK,ES213,PT,99.82
2024,IT_MOB_5GNTWK,ES213,PT,98.1
2023,IT_MOB_5GNTWK,ES213,PT,97.58
2024,IT_MOB_5GNTWK,ES212,PT,97.18
2023,IT_MOB_5GNTWK,ES212,PT,94.44
2025,IT_MOB_5GNTWK,ES212,PT,99.5
