Year,Series,Units,Value
2016,_L_ES_080901_3A,OVERNIGHT_STAY,12.2
2017,_L_ES_080901_3A,OVERNIGHT_STAY,10.8
2018,_L_ES_080901_3A,OVERNIGHT_STAY,10.4
2019,_L_ES_080901_3A,OVERNIGHT_STAY,10.0
2020,_L_ES_080901_3A,OVERNIGHT_STAY,6.0
2021,_L_ES_080901_3A,OVERNIGHT_STAY,7.3
2022,_L_ES_080901_3A,OVERNIGHT_STAY,9.3
2023,_L_ES_080901_3A,OVERNIGHT_STAY,10.5
2024,_L_ES_080901_3A,OVERNIGHT_STAY,11.0
2016,_L_ES_080901_3B,OVERNIGHT_STAY,9.3
2017,_L_ES_080901_3B,OVERNIGHT_STAY,8.5
2018,_L_ES_080901_3B,OVERNIGHT_STAY,8.0
2019,_L_ES_080901_3B,OVERNIGHT_STAY,7.4
2020,_L_ES_080901_3B,OVERNIGHT_STAY,3.6
2021,_L_ES_080901_3B,OVERNIGHT_STAY,4.7
2022,_L_ES_080901_3B,OVERNIGHT_STAY,7.6
2023,_L_ES_080901_3B,OVERNIGHT_STAY,8.7
2024,_L_ES_080901_3B,OVERNIGHT_STAY,8.9
2016,_L_ES_080901_4A,PT,33.7
2017,_L_ES_080901_4A,PT,30.7
2018,_L_ES_080901_4A,PT,31.2
2019,_L_ES_080901_4A,PT,27.8
2020,_L_ES_080901_4A,PT,36.8
2021,_L_ES_080901_4A,PT,40.6
2022,_L_ES_080901_4A,PT,27.9
2023,_L_ES_080901_4A,PT,28.6
2024,_L_ES_080901_4A,PT,28.0
2016,_L_ES_080901_4B,PT,32.1
2017,_L_ES_080901_4B,PT,30.5
2018,_L_ES_080901_4B,PT,30.6
2019,_L_ES_080901_4B,PT,27.4
2020,_L_ES_080901_4B,PT,40.0
2021,_L_ES_080901_4B,PT,40.9
2022,_L_ES_080901_4B,PT,29.8
2023,_L_ES_080901_4B,PT,26.6
2024,_L_ES_080901_4B,PT,27.1
