Year,Series,Ingreso_cuantil,Territorio,Units,Value
2020,UE_HEI_HE,,,PT,-1.1
2012,UE_HEI_HE,,,PT,0.5
2020,UE_HEI_HI,,,PT,4.5
2017,UE_HEI_HE,,,PT,0.8
2014,UE_HEI_HI,,,PT,-0.9
2015,UE_HEI_HE,,,PT,0.6
2019,UE_HEI_HE,,,PT,1.7
2016,UE_HEI_HE,,,PT,0.5
2012,UE_HEI_HI,,,PT,-1.0
2008,UE_HEI_HI,,,PT,4.2
2018,UE_HEI_HE,,,PT,1.2
2011,UE_HEI_HE,,,PT,1.7
2014,UE_HEI_HE,,,PT,0.1
2022,UE_HEI_HE,,,PT,1.3
2021,UE_HEI_HE,,,PT,-0.3
2022,UE_HEI_HI,,,PT,3.2
2018,UE_HEI_HI,,,PT,1.6
2013,UE_HEI_HE,,,PT,0.0
2016,UE_HEI_HI,,,PT,1.0
2021,UE_HEI_HE,,ES211,PT,0.9
2018,UE_HEI_HE,,ES211,PT,0.9
2017,UE_HEI_HE,,ES211,PT,-0.1
2022,UE_HEI_HE,,ES211,PT,2.5
2013,UE_HEI_HE,,ES211,PT,-1.3
2015,UE_HEI_HE,,ES211,PT,1.1
2011,UE_HEI_HE,,ES211,PT,0.3
2014,UE_HEI_HE,,ES211,PT,-2.4
2019,UE_HEI_HE,,ES211,PT,1.0
2012,UE_HEI_HE,,ES211,PT,0.2
2020,UE_HEI_HE,,ES211,PT,-1.9
2016,UE_HEI_HE,,ES211,PT,1.0
2022,UE_HEI_HE,,ES213,PT,1.0
2016,UE_HEI_HE,,ES213,PT,0.1
2020,UE_HEI_HE,,ES213,PT,-1.5
2021,UE_HEI_HE,,ES213,PT,-0.5
2011,UE_HEI_HE,,ES213,PT,1.9
2017,UE_HEI_HE,,ES213,PT,0.3
2014,UE_HEI_HE,,ES213,PT,1.0
2012,UE_HEI_HE,,ES213,PT,0.5
2015,UE_HEI_HE,,ES213,PT,0.3
2018,UE_HEI_HE,,ES213,PT,1.0
2013,UE_HEI_HE,,ES213,PT,-0.2
2019,UE_HEI_HE,,ES213,PT,1.5
2019,UE_HEI_HE,,ES212,PT,2.5
2016,UE_HEI_HE,,ES212,PT,1.2
2015,UE_HEI_HE,,ES212,PT,1.0
2022,UE_HEI_HE,,ES212,PT,1.2
