Year,Administracion,Units,Value
2021,ADM_MUN_AUT,EUR_PER_CAPITA,30.2
2016,ADM_MUN_AUT,EUR_PER_CAPITA,24.7
2017,ADM_MUN_AUT,EUR_PER_CAPITA,25.7
2019,ADM_MUN_AUT,EUR_PER_CAPITA,29.2
2023,ADM_MUN_AUT,EUR_PER_CAPITA,37.4
2018,ADM_MUN_AUT,EUR_PER_CAPITA,27.6
2022,ADM_MUN_AUT,EUR_PER_CAPITA,37.7
2020,ADM_MUN_AUT,EUR_PER_CAPITA,29.2
2015,ADM_MUN_AUT,EUR_PER_CAPITA,25.7
2017,ADM_AUT,EUR_PER_CAPITA,7.9
2012,ADM_AUT,EUR_PER_CAPITA,8.2
2015,ADM_AUT,EUR_PER_CAPITA,7.3
2013,ADM_AUT,EUR_PER_CAPITA,6.4
2020,ADM_AUT,EUR_PER_CAPITA,9.6
2014,ADM_AUT,EUR_PER_CAPITA,15.2
2010,ADM_AUT,EUR_PER_CAPITA,14.1
2018,ADM_AUT,EUR_PER_CAPITA,8.4
2016,ADM_AUT,EUR_PER_CAPITA,7.1
2021,ADM_AUT,EUR_PER_CAPITA,9.1
2022,ADM_AUT,EUR_PER_CAPITA,12.7
2023,ADM_AUT,EUR_PER_CAPITA,10.5
2019,ADM_AUT,EUR_PER_CAPITA,8.6
2011,ADM_AUT,EUR_PER_CAPITA,10.6
2015,ADM_MUN,EUR_PER_CAPITA,18.4
2016,ADM_MUN,EUR_PER_CAPITA,17.6
2017,ADM_MUN,EUR_PER_CAPITA,17.9
2018,ADM_MUN,EUR_PER_CAPITA,19.2
2019,ADM_MUN,EUR_PER_CAPITA,20.5
2023,ADM_MUN,EUR_PER_CAPITA,26.9
2020,ADM_MUN,EUR_PER_CAPITA,19.6
2021,ADM_MUN,EUR_PER_CAPITA,21.1
2022,ADM_MUN,EUR_PER_CAPITA,25.1
