Year,Series,Tratamiento,Territorio,Units,Value
2011,EU_W_GENPCAP,,,KG_PER_CAPITA,434.5
2012,EU_W_GENPCAP,,,KG_PER_CAPITA,457.8
2014,EU_W_GENPCAP,,,KG_PER_CAPITA,469.5
2015,EU_W_GENPCAP,,,KG_PER_CAPITA,462.3
2022,EU_W_GENPCAP,,,KG_PER_CAPITA,446.2
2013,EU_W_GENPCAP,,,KG_PER_CAPITA,463.0
2020,EU_W_GENPCAP,,,KG_PER_CAPITA,449.7
2017,EU_W_GENPCAP,,,KG_PER_CAPITA,472.3
2019,EU_W_GENPCAP,,,KG_PER_CAPITA,469.8
2021,EU_W_GENPCAP,,,KG_PER_CAPITA,458.4
2016,EU_W_GENPCAP,,,KG_PER_CAPITA,474.7
2018,EU_W_GENPCAP,,,KG_PER_CAPITA,485.3
2010,EU_W_GENPCAP,,,KG_PER_CAPITA,445.9
2016,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,405.5
2010,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,444.9
2018,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,436.3
2021,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,403.8
2013,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,387.0
2012,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,405.3
2011,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,421.7
2020,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,411.1
2019,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,425.4
2017,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,422.3
2015,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,408.7
2014,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,392.3
2022,EU_W_GENPCAP,,ES211,KG_PER_CAPITA,390.6
2022,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,470.8
2020,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,475.2
2013,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,467.6
2011,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,428.2
2018,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,485.1
2017,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,476.6
2015,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,447.2
2014,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,457.8
2019,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,492.7
2021,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,480.3
2010,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,437.1
2016,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,462.7
2012,EU_W_GENPCAP,,ES213,KG_PER_CAPITA,466.3
2015,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,510.7
2010,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,460.2
2018,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,508.0
2011,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,449.9
2022,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,432.9
2017,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,488.1
2013,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,490.0
2012,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,460.5
2019,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,453.7
2020,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,426.7
2014,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,523.3
2021,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,448.6
2016,EU_W_GENPCAP,,ES212,KG_PER_CAPITA,525.3
2017,EN_REF_WASCOL,,,PT,100.0
2021,EN_REF_WASCOL,,,PT,100.0
2010,EN_REF_WASCOL,,,PT,100.0
2012,EN_REF_WASCOL,,,PT,100.0
2015,EN_REF_WASCOL,,,PT,100.0
2011,EN_REF_WASCOL,,,PT,100.0
2022,EN_REF_WASCOL,,,PT,100.0
2019,EN_REF_WASCOL,,,PT,100.0
2013,EN_REF_WASCOL,,,PT,100.0
2016,EN_REF_WASCOL,,,PT,100.0
2020,EN_REF_WASCOL,,,PT,100.0
2014,EN_REF_WASCOL,,,PT,100.0
2018,EN_REF_WASCOL,,,PT,100.0
2015,EN_REF_WASCOL,,ES211,PT,100.0
2019,EN_REF_WASCOL,,ES211,PT,100.0
2013,EN_REF_WASCOL,,ES211,PT,100.0
2021,EN_REF_WASCOL,,ES211,PT,100.0
2016,EN_REF_WASCOL,,ES211,PT,100.0
2014,EN_REF_WASCOL,,ES211,PT,100.0
2020,EN_REF_WASCOL,,ES211,PT,100.0
2018,EN_REF_WASCOL,,ES211,PT,100.0
2010,EN_REF_WASCOL,,ES211,PT,100.0
2012,EN_REF_WASCOL,,ES211,PT,100.0
2011,EN_REF_WASCOL,,ES211,PT,100.0
2022,EN_REF_WASCOL,,ES211,PT,100.0
2017,EN_REF_WASCOL,,ES211,PT,100.0
2013,EN_REF_WASCOL,,ES213,PT,100.0
2016,EN_REF_WASCOL,,ES213,PT,100.0
2015,EN_REF_WASCOL,,ES213,PT,100.0
2018,EN_REF_WASCOL,,ES213,PT,100.0
2010,EN_REF_WASCOL,,ES213,PT,100.0
2019,EN_REF_WASCOL,,ES213,PT,100.0
2020,EN_REF_WASCOL,,ES213,PT,100.0
2017,EN_REF_WASCOL,,ES213,PT,100.0
2014,EN_REF_WASCOL,,ES213,PT,100.0
2022,EN_REF_WASCOL,,ES213,PT,100.0
2011,EN_REF_WASCOL,,ES213,PT,100.0
2021,EN_REF_WASCOL,,ES213,PT,100.0
2012,EN_REF_WASCOL,,ES213,PT,100.0
2016,EN_REF_WASCOL,,ES212,PT,100.0
2011,EN_REF_WASCOL,,ES212,PT,100.0
2021,EN_REF_WASCOL,,ES212,PT,100.0
2018,EN_REF_WASCOL,,ES212,PT,100.0
2010,EN_REF_WASCOL,,ES212,PT,100.0
2015,EN_REF_WASCOL,,ES212,PT,100.0
2019,EN_REF_WASCOL,,ES212,PT,100.0
2014,EN_REF_WASCOL,,ES212,PT,100.0
2012,EN_REF_WASCOL,,ES212,PT,100.0
2017,EN_REF_WASCOL,,ES212,PT,100.0
2013,EN_REF_WASCOL,,ES212,PT,100.0
2020,EN_REF_WASCOL,,ES212,PT,100.0
2022,EN_REF_WASCOL,,ES212,PT,100.0
2014,EN_MWT_TREATV,WT_RECYC,,PT,33.3
2010,EN_MWT_TREATV,WT_RECYC,,PT,24.7
2020,EN_MWT_TREATV,WT_RECYC,,PT,47.2
2013,EN_MWT_TREATV,WT_RECYC,,PT,28.2
2016,EN_MWT_TREATV,WT_RECYC,,PT,38.0
