Year,PM,Units,Value
2017,PM25,GPERM3,9.8
2018,PM25,GPERM3,9.9
2019,PM25,GPERM3,9.0
2012,PM25,GPERM3,10.1
2020,PM25,GPERM3,8.8
2014,PM25,GPERM3,9.2
2016,PM25,GPERM3,8.6
2022,PM25,GPERM3,10.4
2015,PM25,GPERM3,10.1
2021,PM25,GPERM3,10.0
2010,PM25,GPERM3,11.3
2013,PM25,GPERM3,10.5
2011,PM25,GPERM3,11.1
2023,PM25,GPERM3,9.5
2020,PM10,GPERM3,15.6
2017,PM10,GPERM3,17.9
2011,PM10,GPERM3,27.0
2010,PM10,GPERM3,24.2
2015,PM10,GPERM3,17.9
2022,PM10,GPERM3,17.7
2016,PM10,GPERM3,15.3
2018,PM10,GPERM3,16.7
2013,PM10,GPERM3,15.9
2012,PM10,GPERM3,26.7
2021,PM10,GPERM3,16.1
2019,PM10,GPERM3,16.3
2023,PM10,GPERM3,16.4
2014,PM10,GPERM3,17.4
