Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,EU_CPA_PTP,,,,PT,,59.13
2023,EU_CPA_PTP,,,,PT,,100.0
2018,EU_CPA_PTP,,,,PT,,88.89
2021,EU_CPA_PTP,,,,PT,,100.0
2014,EU_CPA_PTP,,,,PT,,67.46
2013,EU_CPA_PTP,,,,PT,,67.46
2016,EU_CPA_PTP,,,,PT,,67.46
2020,EU_CPA_PTP,,,,PT,,88.89
2011,EU_CPA_PTP,,,,PT,,59.13
2017,EU_CPA_PTP,,,,PT,,88.89
2024,EU_CPA_PTP,,,,PT,,100.0
2022,EU_CPA_PTP,,,,PT,,100.0
2015,EU_CPA_PTP,,,,PT,,67.46
2019,EU_CPA_PTP,,,,PT,,88.89
2012,EU_CPA_PTP,,,,PT,,67.46
2017,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2021,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2020,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2019,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2011,EU_CPA_PTP,,,ES48001,PT,ES48001,0.0
2018,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2023,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2022,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2016,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2024,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2015,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2010,EU_CPA_PTP,,,ES48001,PT,ES48001,0.0
2013,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2014,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2012,EU_CPA_PTP,,,ES48001,PT,ES48001,100.0
2017,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2013,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2019,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2016,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2024,EU_CPA_PTP,,,ES20001,PT,ES20001,100.0
2018,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2015,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2020,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2023,EU_CPA_PTP,,,ES20001,PT,ES20001,100.0
2012,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2010,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2011,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2022,EU_CPA_PTP,,,ES20001,PT,ES20001,100.0
2021,EU_CPA_PTP,,,ES20001,PT,ES20001,100.0
2014,EU_CPA_PTP,,,ES20001,PT,ES20001,0.0
2015,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2011,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2019,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2021,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2022,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2010,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2016,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2023,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2012,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2014,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2020,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2013,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2018,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2017,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2024,EU_CPA_PTP,,,ES48002,PT,ES48002,100.0
2019,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2020,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2011,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2014,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2022,EU_CPA_PTP,,,ES20002,PT,ES20002,100.0
2023,EU_CPA_PTP,,,ES20002,PT,ES20002,100.0
2021,EU_CPA_PTP,,,ES20002,PT,ES20002,100.0
2016,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2012,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2010,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2017,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2024,EU_CPA_PTP,,,ES20002,PT,ES20002,100.0
2018,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2015,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2013,EU_CPA_PTP,,,ES20002,PT,ES20002,0.0
2012,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2018,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2011,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2020,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2019,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2023,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2010,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2014,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2024,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2017,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2016,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
2013,EU_CPA_PTP,,,ES01051,PT,ES01051,100.0
