Year,Territorio,Units,Value
2013,,PT,38.4
2010,,PT,29.5
2017,,PT,34.5
2012,,PT,31.6
2022,,PT,37.9
2018,,PT,35.9
2014,,PT,32.0
2011,,PT,29.7
2019,,PT,38.2
2021,,PT,36.9
2016,,PT,33.8
2020,,PT,38.3
2015,,PT,32.5
2015,ES211,PT,23.9
2016,ES211,PT,26.3
2013,ES211,PT,29.3
2019,ES211,PT,27.0
2010,ES211,PT,20.8
2017,ES211,PT,25.1
2014,ES211,PT,23.5
2018,ES211,PT,27.8
2020,ES211,PT,30.0
2022,ES211,PT,31.4
2011,ES211,PT,20.8
2021,ES211,PT,31.2
2012,ES211,PT,20.4
2011,ES213,PT,30.1
2015,ES213,PT,33.1
2017,ES213,PT,38.3
2018,ES213,PT,38.6
2019,ES213,PT,40.4
2021,ES213,PT,37.3
2022,ES213,PT,39.0
2010,ES213,PT,30.1
2012,ES213,PT,37.9
2013,ES213,PT,38.4
2014,ES213,PT,34.5
2020,ES213,PT,39.8
2016,ES213,PT,35.5
2020,ES212,PT,39.0
2021,ES212,PT,38.2
2022,ES212,PT,38.4
2010,ES212,PT,32.0
2011,ES212,PT,32.6
2012,ES212,PT,24.8
2013,ES212,PT,41.9
2014,ES212,PT,30.8
2015,ES212,PT,34.6
2016,ES212,PT,33.7
2017,ES212,PT,31.7
2018,ES212,PT,34.6
2019,ES212,PT,38.5
