Year,Series,Units,Value
2011,EU_LND_REM,HA,573.0
2014,EU_LND_REM,HA,870.0
2017,EU_LND_REM,HA,1081.0
2020,EU_LND_REM,HA,1259.46
2010,EU_LND_REM,HA,422.54
2022,EU_LND_REM,HA,1464.9
2015,EU_LND_REM,HA,944.0
2016,EU_LND_REM,HA,993.0
2021,EU_LND_REM,HA,1406.46
2018,EU_LND_REM,HA,1157.0
2012,EU_LND_REM,HA,660.0
2019,EU_LND_REM,HA,1215.46
2013,EU_LND_REM,HA,783.0
2010,EU_LND_REM_PT,PT,5.01
2011,EU_LND_REM_PT,PT,6.47
2012,EU_LND_REM_PT,PT,7.15
2013,EU_LND_REM_PT,PT,8.35
2014,EU_LND_REM_PT,PT,9.24
2015,EU_LND_REM_PT,PT,10.0
2016,EU_LND_REM_PT,PT,10.91
2017,EU_LND_REM_PT,PT,11.37
2018,EU_LND_REM_PT,PT,12.61
2019,EU_LND_REM_PT,PT,13.19
2020,EU_LND_REM_PT,PT,13.99
2021,EU_LND_REM_PT,PT,14.58
2022,EU_LND_REM_PT,PT,16.07
