Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,GF_XPD_GBPC,,,,PT,,102.16
2020,GF_XPD_GBPC,,,,PT,,100.05
2017,GF_XPD_GBPC,,,,PT,,97.87
2022,GF_XPD_GBPC,,,,PT,,104.68
2021,GF_XPD_GBPC,,,,PT,,102.22
2018,GF_XPD_GBPC,,,,PT,,98.53
2023,GF_XPD_GBPC,,,,PT,,101.1
2016,GF_XPD_GBPC,,,,PT,,94.8
2023,EU_XPD_LOCALGBPC,,,,PT,,103.31
2010,EU_XPD_LOCALGBPC,,,,PT,,110.23
2016,EU_XPD_LOCALGBPC,,,,PT,,97.37
2021,EU_XPD_LOCALGBPC,,,,PT,,99.22
2017,EU_XPD_LOCALGBPC,,,,PT,,96.78
2011,EU_XPD_LOCALGBPC,,,,PT,,100.45
2020,EU_XPD_LOCALGBPC,,,,PT,,93.84
2014,EU_XPD_LOCALGBPC,,,,PT,,98.47
2022,EU_XPD_LOCALGBPC,,,,PT,,100.26
2019,EU_XPD_LOCALGBPC,,,,PT,,100.27
2015,EU_XPD_LOCALGBPC,,,,PT,,98.05
2013,EU_XPD_LOCALGBPC,,,,PT,,100.2
2012,EU_XPD_LOCALGBPC,,,,PT,,93.03
2018,EU_XPD_LOCALGBPC,,,,PT,,97.17
2015,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,95.83
2010,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,94.09
2013,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,93.98
2021,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,93.28
2018,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,97.77
2016,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,98.95
2014,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,112.36
2023,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,109.33
2019,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,107.01
2020,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,83.11
2011,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,103.15
2017,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,94.77
2022,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,120.7
2012,EU_XPD_LOCALGBPC,,,ES48001,PT,ES48001,92.13
2014,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,116.37
2022,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,100.95
2018,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,148.95
2023,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,99.12
2021,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,106.61
2012,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,72.94
2015,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,120.05
2019,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,102.68
2010,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,78.58
2013,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,168.2
2016,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,112.42
2020,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,145.46
2011,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,97.83
2017,EU_XPD_LOCALGBPC,,,ES20001,PT,ES20001,87.58
2021,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,92.53
2012,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,97.55
2015,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,110.54
2010,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,94.43
2022,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.44
2023,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,96.56
2014,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,95.33
2011,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,105.97
2019,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.5
2018,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,100.15
2013,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,95.39
2017,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.34
2016,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,101.47
2020,EU_XPD_LOCALGBPC,,,ES48002,PT,ES48002,90.53
2023,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,64.53
2011,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,68.46
2010,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,90.74
2016,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,125.19
2022,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,116.66
2017,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,88.4
2019,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,147.22
2015,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,108.92
2014,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,89.56
2013,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,61.42
2020,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,89.2
2018,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,118.4
2012,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,53.98
2021,EU_XPD_LOCALGBPC,,,ES20002,PT,ES20002,77.91
2021,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,76.75
2013,EU_XPD_LOCALGBPC,,,ES01051,PT,ES01051,92.23
