Year,Series,Territorio,Units,Value
2018,PD_AGR_SSFP,,EUR,12030.9
2020,PD_AGR_SSFP,,EUR,9818.3
2019,PD_AGR_SSFP,,EUR,10646.1
2016,PD_AGR_SSFP,,EUR,10978.5
2015,PD_AGR_SSFP,,EUR,10150.0
2017,PD_AGR_SSFP,,EUR,12294.5
2021,PD_AGR_SSFP,,EUR,10509.0
2016,PD_AGR_SSFP,ES211,EUR,4537.4
2021,PD_AGR_SSFP,ES211,EUR,5528.7
2017,PD_AGR_SSFP,ES211,EUR,5057.9
2019,PD_AGR_SSFP,ES211,EUR,6400.4
2020,PD_AGR_SSFP,ES211,EUR,5071.3
2018,PD_AGR_SSFP,ES211,EUR,5442.0
2015,PD_AGR_SSFP,ES211,EUR,4172.9
2018,PD_AGR_SSFP,ES213,EUR,10550.5
2015,PD_AGR_SSFP,ES213,EUR,10831.9
2017,PD_AGR_SSFP,ES213,EUR,11225.2
2019,PD_AGR_SSFP,ES213,EUR,9738.4
2016,PD_AGR_SSFP,ES213,EUR,10140.6
2021,PD_AGR_SSFP,ES213,EUR,9670.7
2020,PD_AGR_SSFP,ES213,EUR,9413.9
2015,PD_AGR_SSFP,ES212,EUR,11666.0
2021,PD_AGR_SSFP,ES212,EUR,12048.2
2018,PD_AGR_SSFP,ES212,EUR,13733.6
2020,PD_AGR_SSFP,ES212,EUR,11080.9
2017,PD_AGR_SSFP,ES212,EUR,13878.5
2019,PD_AGR_SSFP,ES212,EUR,11900.8
2016,PD_AGR_SSFP,ES212,EUR,12569.2
2018,PD_AGR_LSFP,,EUR,44914.3
2015,PD_AGR_LSFP,,EUR,43924.4
2019,PD_AGR_LSFP,,EUR,46168.5
2020,PD_AGR_LSFP,,EUR,45942.5
2021,PD_AGR_LSFP,,EUR,50293.1
2017,PD_AGR_LSFP,,EUR,42600.2
2016,PD_AGR_LSFP,,EUR,43308.1
2016,PD_AGR_LSFP,ES211,EUR,36918.9
2015,PD_AGR_LSFP,ES211,EUR,39222.8
2020,PD_AGR_LSFP,ES211,EUR,40460.4
2018,PD_AGR_LSFP,ES211,EUR,36631.3
2017,PD_AGR_LSFP,ES211,EUR,33711.7
2019,PD_AGR_LSFP,ES211,EUR,37348.9
2021,PD_AGR_LSFP,ES211,EUR,41426.0
2021,PD_AGR_LSFP,ES213,EUR,52025.6
2020,PD_AGR_LSFP,ES213,EUR,50356.7
2018,PD_AGR_LSFP,ES213,EUR,49326.0
2015,PD_AGR_LSFP,ES213,EUR,43917.9
2017,PD_AGR_LSFP,ES213,EUR,44660.2
2016,PD_AGR_LSFP,ES213,EUR,43852.2
2019,PD_AGR_LSFP,ES213,EUR,52252.4
2021,PD_AGR_LSFP,ES212,EUR,54538.2
2015,PD_AGR_LSFP,ES212,EUR,46579.9
2019,PD_AGR_LSFP,ES212,EUR,49106.7
2018,PD_AGR_LSFP,ES212,EUR,48274.0
2017,PD_AGR_LSFP,ES212,EUR,47269.8
2016,PD_AGR_LSFP,ES212,EUR,46975.4
2020,PD_AGR_LSFP,ES212,EUR,47324.6
