Year,Series,NCD,Sexo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,SH_DTH_NCOM,,,,,,PT,,9.6
2015,SH_DTH_NCOM,,,,,,PT,,10.3
2010,SH_DTH_NCOM,,,,,,PT,,11.0
2020,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,607.8
2021,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,622.4
2024,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,618.6
2012,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,628.5
2014,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,620.7
2022,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,626.3
2017,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,647.2
2015,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,651.4
2013,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,613.0
2016,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,641.2
2019,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,631.2
2018,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,648.9
2010,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,616.2
2011,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,626.3
2023,EU_SH_DTH_NCOM,,,,,,PER_100000_POP,,613.1
2011,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,419.1
2024,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,463.3
2017,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,458.7
2023,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,669.2
2013,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,465.5
2014,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,411.5
2010,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,434.8
2012,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,495.5
2022,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,479.4
2018,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,547.8
2020,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,611.3
2016,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,474.7
2019,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,491.9
2015,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,583.4
2021,EU_SH_DTH_NCOM,,,,,ES48001,PER_100000_POP,ES48001,391.0
2011,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,1582.3
2018,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,623.1
2021,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,654.7
2012,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,1253.9
2024,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,319.5
2019,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,1557.6
2010,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,1273.9
2020,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,966.2
2022,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,330.0
2017,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,630.9
2013,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,626.0
2015,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,631.9
2014,EU_SH_DTH_NCOM,,,,,ES20001,PER_100000_POP,ES20001,313.5
