Year,Series,Sexo,Territorio,Units,Value
2017,EU_LE_Y0,,,YR,83.41
2013,EU_LE_Y0,,,YR,82.99
2010,EU_LE_Y0,,,YR,82.27
2018,EU_LE_Y0,,,YR,83.53
2011,EU_LE_Y0,,,YR,82.38
2020,EU_LE_Y0,,,YR,83.57
2019,EU_LE_Y0,,,YR,83.77
2015,EU_LE_Y0,,,YR,83.11
2012,EU_LE_Y0,,,YR,82.48
2023,EU_LE_Y0,,,YR,83.98
2021,EU_LE_Y0,,,YR,83.57
2022,EU_LE_Y0,,,YR,83.35
2014,EU_LE_Y0,,,YR,83.09
2016,EU_LE_Y0,,,YR,83.33
2015,EU_LE_Y0,,ES211,YR,83.69
2012,EU_LE_Y0,,ES211,YR,83.37
2022,EU_LE_Y0,,ES211,YR,83.86
2021,EU_LE_Y0,,ES211,YR,84.24
2011,EU_LE_Y0,,ES211,YR,83.03
2014,EU_LE_Y0,,ES211,YR,83.57
2023,EU_LE_Y0,,ES211,YR,84.69
2016,EU_LE_Y0,,ES211,YR,83.97
2013,EU_LE_Y0,,ES211,YR,83.63
2018,EU_LE_Y0,,ES211,YR,84.01
2010,EU_LE_Y0,,ES211,YR,82.87
2020,EU_LE_Y0,,ES211,YR,84.13
2019,EU_LE_Y0,,ES211,YR,84.26
2017,EU_LE_Y0,,ES211,YR,84.13
2018,EU_LE_Y0,,ES213,YR,83.49
2010,EU_LE_Y0,,ES213,YR,81.96
2021,EU_LE_Y0,,ES213,YR,83.48
2012,EU_LE_Y0,,ES213,YR,82.2
2016,EU_LE_Y0,,ES213,YR,83.06
2019,EU_LE_Y0,,ES213,YR,83.48
2015,EU_LE_Y0,,ES213,YR,83.0
2017,EU_LE_Y0,,ES213,YR,83.27
2013,EU_LE_Y0,,ES213,YR,82.83
2014,EU_LE_Y0,,ES213,YR,82.95
2011,EU_LE_Y0,,ES213,YR,81.99
2022,EU_LE_Y0,,ES213,YR,83.42
2020,EU_LE_Y0,,ES213,YR,83.27
2023,EU_LE_Y0,,ES213,YR,83.9
2020,EU_LE_Y0,,ES212,YR,83.78
2019,EU_LE_Y0,,ES212,YR,84.03
2013,EU_LE_Y0,,ES212,YR,83.0
2010,EU_LE_Y0,,ES212,YR,82.54
2017,EU_LE_Y0,,ES212,YR,83.35
2021,EU_LE_Y0,,ES212,YR,83.4
2023,EU_LE_Y0,,ES212,YR,83.81
2018,EU_LE_Y0,,ES212,YR,83.4
2011,EU_LE_Y0,,ES212,YR,82.73
2014,EU_LE_Y0,,ES212,YR,83.1
2022,EU_LE_Y0,,ES212,YR,83.06
2015,EU_LE_Y0,,ES212,YR,83.06
2012,EU_LE_Y0,,ES212,YR,82.58
2016,EU_LE_Y0,,ES212,YR,83.51
2019,EU_LE_Y0,F,,YR,86.55
2015,EU_LE_Y0,F,,YR,85.99
2013,EU_LE_Y0,F,,YR,86.05
2023,EU_LE_Y0,F,,YR,86.64
2020,EU_LE_Y0,F,,YR,86.3
2021,EU_LE_Y0,F,,YR,86.38
2012,EU_LE_Y0,F,,YR,85.58
2016,EU_LE_Y0,F,,YR,86.16
2022,EU_LE_Y0,F,,YR,86.05
2014,EU_LE_Y0,F,,YR,86.1
2017,EU_LE_Y0,F,,YR,86.31
2018,EU_LE_Y0,F,,YR,86.35
2011,EU_LE_Y0,F,,YR,85.55
2010,EU_LE_Y0,F,,YR,85.55
2022,EU_LE_Y0,F,ES211,YR,86.26
2015,EU_LE_Y0,F,ES211,YR,86.5
2019,EU_LE_Y0,F,ES211,YR,87.6
2018,EU_LE_Y0,F,ES211,YR,86.76
2017,EU_LE_Y0,F,ES211,YR,86.94
2023,EU_LE_Y0,F,ES211,YR,87.27
2020,EU_LE_Y0,F,ES211,YR,86.86
2011,EU_LE_Y0,F,ES211,YR,85.93
2013,EU_LE_Y0,F,ES211,YR,86.65
2016,EU_LE_Y0,F,ES211,YR,86.45
2021,EU_LE_Y0,F,ES211,YR,87.2
2012,EU_LE_Y0,F,ES211,YR,86.18
2010,EU_LE_Y0,F,ES211,YR,86.12
2014,EU_LE_Y0,F,ES211,YR,86.59
2010,EU_LE_Y0,F,ES213,YR,85.45
2017,EU_LE_Y0,F,ES213,YR,86.11
2022,EU_LE_Y0,F,ES213,YR,86.16
2014,EU_LE_Y0,F,ES213,YR,85.83
2020,EU_LE_Y0,F,ES213,YR,86.1
2016,EU_LE_Y0,F,ES213,YR,85.97
2018,EU_LE_Y0,F,ES213,YR,86.32
2012,EU_LE_Y0,F,ES213,YR,85.3
2015,EU_LE_Y0,F,ES213,YR,85.95
2011,EU_LE_Y0,F,ES213,YR,85.29
2019,EU_LE_Y0,F,ES213,YR,86.27
2021,EU_LE_Y0,F,ES213,YR,86.32
2023,EU_LE_Y0,F,ES213,YR,86.39
2013,EU_LE_Y0,F,ES213,YR,85.79
2011,EU_LE_Y0,F,ES212,YR,85.82
2019,EU_LE_Y0,F,ES212,YR,86.59
2020,EU_LE_Y0,F,ES212,YR,86.37
2018,EU_LE_Y0,F,ES212,YR,86.25
2016,EU_LE_Y0,F,ES212,YR,86.3
2022,EU_LE_Y0,F,ES212,YR,85.84
2023,EU_LE_Y0,F,ES212,YR,86.77
2017,EU_LE_Y0,F,ES212,YR,86.39
2014,EU_LE_Y0,F,ES212,YR,86.33
2012,EU_LE_Y0,F,ES212,YR,85.81
2013,EU_LE_Y0,F,ES212,YR,86.25
2010,EU_LE_Y0,F,ES212,YR,85.49
2021,EU_LE_Y0,F,ES212,YR,86.13
2015,EU_LE_Y0,F,ES212,YR,85.85
2018,EU_LE_Y0,M,,YR,80.54
2012,EU_LE_Y0,M,,YR,79.27
2021,EU_LE_Y0,M,,YR,80.64
2014,EU_LE_Y0,M,,YR,79.91
2022,EU_LE_Y0,M,,YR,80.52
2010,EU_LE_Y0,M,,YR,78.88
2015,EU_LE_Y0,M,,YR,80.08
2023,EU_LE_Y0,M,,YR,81.17
2013,EU_LE_Y0,M,,YR,79.78
2011,EU_LE_Y0,M,,YR,79.08
2020,EU_LE_Y0,M,,YR,80.68
2019,EU_LE_Y0,M,,YR,80.82
2017,EU_LE_Y0,M,,YR,80.37
2016,EU_LE_Y0,M,,YR,80.34
2023,EU_LE_Y0,M,ES211,YR,82.05
2011,EU_LE_Y0,M,ES211,YR,80.14
2022,EU_LE_Y0,M,ES211,YR,81.37
2012,EU_LE_Y0,M,ES211,YR,80.54
2015,EU_LE_Y0,M,ES211,YR,80.84
2017,EU_LE_Y0,M,ES211,YR,81.28
2010,EU_LE_Y0,M,ES211,YR,79.68
2016,EU_LE_Y0,M,ES211,YR,81.38
2013,EU_LE_Y0,M,ES211,YR,80.58
2019,EU_LE_Y0,M,ES211,YR,80.97
2014,EU_LE_Y0,M,ES211,YR,80.51
2020,EU_LE_Y0,M,ES211,YR,81.34
2021,EU_LE_Y0,M,ES211,YR,81.3
2018,EU_LE_Y0,M,ES211,YR,81.22
2010,EU_LE_Y0,M,ES213,YR,78.34
2013,EU_LE_Y0,M,ES213,YR,79.65
2022,EU_LE_Y0,M,ES213,YR,80.49
2023,EU_LE_Y0,M,ES213,YR,81.17
2020,EU_LE_Y0,M,ES213,YR,80.27
2018,EU_LE_Y0,M,ES213,YR,80.44
2019,EU_LE_Y0,M,ES213,YR,80.49
2016,EU_LE_Y0,M,ES213,YR,79.94
2014,EU_LE_Y0,M,ES213,YR,79.84
2021,EU_LE_Y0,M,ES213,YR,80.47
2017,EU_LE_Y0,M,ES213,YR,80.22
2015,EU_LE_Y0,M,ES213,YR,79.84
2012,EU_LE_Y0,M,ES213,YR,78.93
2011,EU_LE_Y0,M,ES213,YR,78.53
2023,EU_LE_Y0,M,ES212,YR,80.79
2021,EU_LE_Y0,M,ES212,YR,80.59
2020,EU_LE_Y0,M,ES212,YR,81.07
2018,EU_LE_Y0,M,ES212,YR,80.42
2011,EU_LE_Y0,M,ES212,YR,79.5
2016,EU_LE_Y0,M,ES212,YR,80.54
2019,EU_LE_Y0,M,ES212,YR,81.29
2013,EU_LE_Y0,M,ES212,YR,79.66
2017,EU_LE_Y0,M,ES212,YR,80.2
2014,EU_LE_Y0,M,ES212,YR,79.77
2015,EU_LE_Y0,M,ES212,YR,80.12
2012,EU_LE_Y0,M,ES212,YR,79.26
2010,EU_LE_Y0,M,ES212,YR,79.42
2022,EU_LE_Y0,M,ES212,YR,80.22
