Year,Series,Sexo,Territorio,Units,Value
2017,SH_STA_TRAF,,,PER_100000_POP,3.1
2013,SH_STA_TRAF,,,PER_100000_POP,3.7
2010,SH_STA_TRAF,,,PER_100000_POP,4.1
2018,SH_STA_TRAF,,,PER_100000_POP,2.8
2011,SH_STA_TRAF,,,PER_100000_POP,3.7
2020,SH_STA_TRAF,,,PER_100000_POP,2.7
2019,SH_STA_TRAF,,,PER_100000_POP,3.1
2015,SH_STA_TRAF,,,PER_100000_POP,3.5
2012,SH_STA_TRAF,,,PER_100000_POP,4.0
2023,SH_STA_TRAF,,,PER_100000_POP,3.0
2021,SH_STA_TRAF,,,PER_100000_POP,2.9
2022,SH_STA_TRAF,,,PER_100000_POP,3.7
2014,SH_STA_TRAF,,,PER_100000_POP,2.6
2016,SH_STA_TRAF,,,PER_100000_POP,3.8
2015,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2012,SH_STA_TRAF,,ES211,PER_100000_POP,4.4
2022,SH_STA_TRAF,,ES211,PER_100000_POP,3.9
2021,SH_STA_TRAF,,ES211,PER_100000_POP,2.4
2011,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2014,SH_STA_TRAF,,ES211,PER_100000_POP,3.7
2023,SH_STA_TRAF,,ES211,PER_100000_POP,2.1
2016,SH_STA_TRAF,,ES211,PER_100000_POP,2.2
2013,SH_STA_TRAF,,ES211,PER_100000_POP,4.1
2018,SH_STA_TRAF,,ES211,PER_100000_POP,3.4
2010,SH_STA_TRAF,,ES211,PER_100000_POP,3.1
2020,SH_STA_TRAF,,ES211,PER_100000_POP,1.5
2019,SH_STA_TRAF,,ES211,PER_100000_POP,5.2
2017,SH_STA_TRAF,,ES211,PER_100000_POP,3.4
2018,SH_STA_TRAF,,ES213,PER_100000_POP,2.5
2010,SH_STA_TRAF,,ES213,PER_100000_POP,4.1
2021,SH_STA_TRAF,,ES213,PER_100000_POP,3.1
2012,SH_STA_TRAF,,ES213,PER_100000_POP,4.4
2016,SH_STA_TRAF,,ES213,PER_100000_POP,4.1
2019,SH_STA_TRAF,,ES213,PER_100000_POP,3.0
2015,SH_STA_TRAF,,ES213,PER_100000_POP,2.6
2017,SH_STA_TRAF,,ES213,PER_100000_POP,1.9
2013,SH_STA_TRAF,,ES213,PER_100000_POP,3.2
2014,SH_STA_TRAF,,ES213,PER_100000_POP,2.4
2011,SH_STA_TRAF,,ES213,PER_100000_POP,3.6
2022,SH_STA_TRAF,,ES213,PER_100000_POP,3.4
2020,SH_STA_TRAF,,ES213,PER_100000_POP,2.9
2023,SH_STA_TRAF,,ES213,PER_100000_POP,2.2
2020,SH_STA_TRAF,,ES212,PER_100000_POP,2.9
2019,SH_STA_TRAF,,ES212,PER_100000_POP,2.5
2013,SH_STA_TRAF,,ES212,PER_100000_POP,4.2
2010,SH_STA_TRAF,,ES212,PER_100000_POP,4.4
2017,SH_STA_TRAF,,ES212,PER_100000_POP,4.9
2021,SH_STA_TRAF,,ES212,PER_100000_POP,2.8
2023,SH_STA_TRAF,,ES212,PER_100000_POP,4.7
2018,SH_STA_TRAF,,ES212,PER_100000_POP,3.1
2011,SH_STA_TRAF,,ES212,PER_100000_POP,4.4
2014,SH_STA_TRAF,,ES212,PER_100000_POP,2.4
2022,SH_STA_TRAF,,ES212,PER_100000_POP,4.2
2015,SH_STA_TRAF,,ES212,PER_100000_POP,5.3
2012,SH_STA_TRAF,,ES212,PER_100000_POP,3.1
2016,SH_STA_TRAF,,ES212,PER_100000_POP,3.9
2019,SH_STA_TRAF,F,,PER_100000_POP,1.1
2015,SH_STA_TRAF,F,,PER_100000_POP,1.4
2013,SH_STA_TRAF,F,,PER_100000_POP,1.4
2023,SH_STA_TRAF,F,,PER_100000_POP,1.0
2020,SH_STA_TRAF,F,,PER_100000_POP,1.5
2021,SH_STA_TRAF,F,,PER_100000_POP,1.0
2012,SH_STA_TRAF,F,,PER_100000_POP,1.9
2016,SH_STA_TRAF,F,,PER_100000_POP,1.3
2022,SH_STA_TRAF,F,,PER_100000_POP,1.6
2014,SH_STA_TRAF,F,,PER_100000_POP,1.2
2017,SH_STA_TRAF,F,,PER_100000_POP,1.8
2018,SH_STA_TRAF,F,,PER_100000_POP,1.4
2011,SH_STA_TRAF,F,,PER_100000_POP,1.9
2010,SH_STA_TRAF,F,,PER_100000_POP,1.6
2022,SH_STA_TRAF,F,ES211,PER_100000_POP,1.8
2015,SH_STA_TRAF,F,ES211,PER_100000_POP,1.2
2019,SH_STA_TRAF,F,ES211,PER_100000_POP,1.8
2018,SH_STA_TRAF,F,ES211,PER_100000_POP,1.2
2017,SH_STA_TRAF,F,ES211,PER_100000_POP,3.0
2023,SH_STA_TRAF,F,ES211,PER_100000_POP,1.2
2020,SH_STA_TRAF,F,ES211,PER_100000_POP,0.6
2011,SH_STA_TRAF,F,ES211,PER_100000_POP,0.6
2013,SH_STA_TRAF,F,ES211,PER_100000_POP,1.9
2016,SH_STA_TRAF,F,ES211,PER_100000_POP,0.0
2021,SH_STA_TRAF,F,ES211,PER_100000_POP,2.4
2012,SH_STA_TRAF,F,ES211,PER_100000_POP,2.5
2010,SH_STA_TRAF,F,ES211,PER_100000_POP,1.9
2014,SH_STA_TRAF,F,ES211,PER_100000_POP,1.2
2010,SH_STA_TRAF,F,ES213,PER_100000_POP,1.7
2017,SH_STA_TRAF,F,ES213,PER_100000_POP,1.5
2022,SH_STA_TRAF,F,ES213,PER_100000_POP,1.7
2014,SH_STA_TRAF,F,ES213,PER_100000_POP,1.0
2020,SH_STA_TRAF,F,ES213,PER_100000_POP,2.2
2016,SH_STA_TRAF,F,ES213,PER_100000_POP,1.7
2018,SH_STA_TRAF,F,ES213,PER_100000_POP,1.4
2012,SH_STA_TRAF,F,ES213,PER_100000_POP,1.8
2015,SH_STA_TRAF,F,ES213,PER_100000_POP,1.5
2011,SH_STA_TRAF,F,ES213,PER_100000_POP,1.8
2019,SH_STA_TRAF,F,ES213,PER_100000_POP,0.8
2021,SH_STA_TRAF,F,ES213,PER_100000_POP,0.8
2023,SH_STA_TRAF,F,ES213,PER_100000_POP,0.8
2013,SH_STA_TRAF,F,ES213,PER_100000_POP,1.3
2011,SH_STA_TRAF,F,ES212,PER_100000_POP,2.5
2019,SH_STA_TRAF,F,ES212,PER_100000_POP,1.1
2020,SH_STA_TRAF,F,ES212,PER_100000_POP,0.8
2018,SH_STA_TRAF,F,ES212,PER_100000_POP,1.6
2016,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2022,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2023,SH_STA_TRAF,F,ES212,PER_100000_POP,1.1
2017,SH_STA_TRAF,F,ES212,PER_100000_POP,1.6
2014,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2012,SH_STA_TRAF,F,ES212,PER_100000_POP,1.7
2013,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2010,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2021,SH_STA_TRAF,F,ES212,PER_100000_POP,0.5
2015,SH_STA_TRAF,F,ES212,PER_100000_POP,1.4
2018,SH_STA_TRAF,M,,PER_100000_POP,4.3
2012,SH_STA_TRAF,M,,PER_100000_POP,6.2
2021,SH_STA_TRAF,M,,PER_100000_POP,4.9
2014,SH_STA_TRAF,M,,PER_100000_POP,4.1
2022,SH_STA_TRAF,M,,PER_100000_POP,6.0
2010,SH_STA_TRAF,M,,PER_100000_POP,6.6
2015,SH_STA_TRAF,M,,PER_100000_POP,5.6
2023,SH_STA_TRAF,M,,PER_100000_POP,5.2
2013,SH_STA_TRAF,M,,PER_100000_POP,6.0
2011,SH_STA_TRAF,M,,PER_100000_POP,5.6
2020,SH_STA_TRAF,M,,PER_100000_POP,3.9
2019,SH_STA_TRAF,M,,PER_100000_POP,5.4
2017,SH_STA_TRAF,M,,PER_100000_POP,4.5
2016,SH_STA_TRAF,M,,PER_100000_POP,6.3
2023,SH_STA_TRAF,M,ES211,PER_100000_POP,3.1
2011,SH_STA_TRAF,M,ES211,PER_100000_POP,3.8
2022,SH_STA_TRAF,M,ES211,PER_100000_POP,6.1
2012,SH_STA_TRAF,M,ES211,PER_100000_POP,6.3
2015,SH_STA_TRAF,M,ES211,PER_100000_POP,3.1
2017,SH_STA_TRAF,M,ES211,PER_100000_POP,3.8
2010,SH_STA_TRAF,M,ES211,PER_100000_POP,4.4
2016,SH_STA_TRAF,M,ES211,PER_100000_POP,4.4
2013,SH_STA_TRAF,M,ES211,PER_100000_POP,6.3
2019,SH_STA_TRAF,M,ES211,PER_100000_POP,8.7
2014,SH_STA_TRAF,M,ES211,PER_100000_POP,6.3
2020,SH_STA_TRAF,M,ES211,PER_100000_POP,2.5
2021,SH_STA_TRAF,M,ES211,PER_100000_POP,2.5
2018,SH_STA_TRAF,M,ES211,PER_100000_POP,5.6
2010,SH_STA_TRAF,M,ES213,PER_100000_POP,6.6
2013,SH_STA_TRAF,M,ES213,PER_100000_POP,5.2
2022,SH_STA_TRAF,M,ES213,PER_100000_POP,5.3
2023,SH_STA_TRAF,M,ES213,PER_100000_POP,3.6
2020,SH_STA_TRAF,M,ES213,PER_100000_POP,3.6
2018,SH_STA_TRAF,M,ES213,PER_100000_POP,3.8
2019,SH_STA_TRAF,M,ES213,PER_100000_POP,5.3
2016,SH_STA_TRAF,M,ES213,PER_100000_POP,6.7
2014,SH_STA_TRAF,M,ES213,PER_100000_POP,3.8
2021,SH_STA_TRAF,M,ES213,PER_100000_POP,5.5
2017,SH_STA_TRAF,M,ES213,PER_100000_POP,2.4
2015,SH_STA_TRAF,M,ES213,PER_100000_POP,3.8
2012,SH_STA_TRAF,M,ES213,PER_100000_POP,7.2
2011,SH_STA_TRAF,M,ES213,PER_100000_POP,5.6
2023,SH_STA_TRAF,M,ES212,PER_100000_POP,8.5
2021,SH_STA_TRAF,M,ES212,PER_100000_POP,5.1
2020,SH_STA_TRAF,M,ES212,PER_100000_POP,5.1
2018,SH_STA_TRAF,M,ES212,PER_100000_POP,4.6
2011,SH_STA_TRAF,M,ES212,PER_100000_POP,6.4
2016,SH_STA_TRAF,M,ES212,PER_100000_POP,6.6
2019,SH_STA_TRAF,M,ES212,PER_100000_POP,4.0
2013,SH_STA_TRAF,M,ES212,PER_100000_POP,7.2
2017,SH_STA_TRAF,M,ES212,PER_100000_POP,8.3
2014,SH_STA_TRAF,M,ES212,PER_100000_POP,3.5
2015,SH_STA_TRAF,M,ES212,PER_100000_POP,9.5
2012,SH_STA_TRAF,M,ES212,PER_100000_POP,4.6
2010,SH_STA_TRAF,M,ES212,PER_100000_POP,7.6
2022,SH_STA_TRAF,M,ES212,PER_100000_POP,7.1
