Year,Profesion,Sexo,Territorio,Units,Value
2018,,,,PER_10000_POP,164.2
2013,,,,PER_10000_POP,150.8
2011,,,,PER_10000_POP,147.2
2023,,,,PER_10000_POP,187.6
2015,,,,PER_10000_POP,156.7
2022,,,,PER_10000_POP,176.4
2016,,,,PER_10000_POP,159.5
2021,,,,PER_10000_POP,173.2
2017,,,,PER_10000_POP,161.6
2024,,,,PER_10000_POP,188.3
2014,,,,PER_10000_POP,154.1
2010,,,,PER_10000_POP,143.5
2012,,,,PER_10000_POP,149.0
2020,,,,PER_10000_POP,170.3
2019,,,,PER_10000_POP,167.0
2010,,,ES211,PER_10000_POP,146.7
2020,,,ES211,PER_10000_POP,172.1
2023,,,ES211,PER_10000_POP,178.1
2021,,,ES211,PER_10000_POP,174.4
2018,,,ES211,PER_10000_POP,169.5
2013,,,ES211,PER_10000_POP,155.6
2019,,,ES211,PER_10000_POP,170.0
2024,,,ES211,PER_10000_POP,180.0
2017,,,ES211,PER_10000_POP,167.5
2011,,,ES211,PER_10000_POP,151.0
2012,,,ES211,PER_10000_POP,152.9
2022,,,ES211,PER_10000_POP,176.6
2016,,,ES211,PER_10000_POP,165.2
2014,,,ES211,PER_10000_POP,160.3
2015,,,ES211,PER_10000_POP,162.3
2020,,,ES213,PER_10000_POP,175.3
2010,,,ES213,PER_10000_POP,144.4
2015,,,ES213,PER_10000_POP,159.0
2022,,,ES213,PER_10000_POP,181.8
2013,,,ES213,PER_10000_POP,152.4
2012,,,ES213,PER_10000_POP,150.5
2017,,,ES213,PER_10000_POP,165.2
2011,,,ES213,PER_10000_POP,148.4
2021,,,ES213,PER_10000_POP,178.4
2016,,,ES213,PER_10000_POP,162.4
2019,,,ES213,PER_10000_POP,171.8
2014,,,ES213,PER_10000_POP,155.6
2018,,,ES213,PER_10000_POP,168.6
2024,,,ES213,PER_10000_POP,188.1
2023,,,ES213,PER_10000_POP,185.3
2010,,,ES212,PER_10000_POP,140.5
2020,,,ES212,PER_10000_POP,161.6
2021,,,ES212,PER_10000_POP,164.2
2015,,,ES212,PER_10000_POP,150.4
2022,,,ES212,PER_10000_POP,167.7
2017,,,ES212,PER_10000_POP,153.3
2013,,,ES212,PER_10000_POP,145.9
2016,,,ES212,PER_10000_POP,152.3
2012,,,ES212,PER_10000_POP,144.8
2023,,,ES212,PER_10000_POP,195.5
2018,,,ES212,PER_10000_POP,154.9
2014,,,ES212,PER_10000_POP,148.7
2024,,,ES212,PER_10000_POP,192.3
2019,,,ES212,PER_10000_POP,158.0
2011,,,ES212,PER_10000_POP,143.4
2021,,F,,PER_10000_POP,249.0
2013,,F,,PER_10000_POP,214.9
2010,,F,,PER_10000_POP,201.8
2024,,F,,PER_10000_POP,274.4
2012,,F,,PER_10000_POP,211.2
2022,,F,,PER_10000_POP,253.9
2011,,F,,PER_10000_POP,206.4
2020,,F,,PER_10000_POP,244.5
2023,,F,,PER_10000_POP,272.7
2015,,F,,PER_10000_POP,224.4
2014,,F,,PER_10000_POP,219.9
2017,,F,,PER_10000_POP,232.0
2018,,F,,PER_10000_POP,235.7
2019,,F,,PER_10000_POP,239.4
2016,,F,,PER_10000_POP,228.7
2023,,F,ES211,PER_10000_POP,266.3
2012,,F,ES211,PER_10000_POP,229.5
2014,,F,ES211,PER_10000_POP,239.9
2013,,F,ES211,PER_10000_POP,233.4
2015,,F,ES211,PER_10000_POP,243.6
2024,,F,ES211,PER_10000_POP,269.6
2011,,F,ES211,PER_10000_POP,224.6
2010,,F,ES211,PER_10000_POP,217.6
2017,,F,ES211,PER_10000_POP,250.5
2020,,F,ES211,PER_10000_POP,256.1
2018,,F,ES211,PER_10000_POP,253.1
2019,,F,ES211,PER_10000_POP,253.0
2016,,F,ES211,PER_10000_POP,247.5
2021,,F,ES211,PER_10000_POP,259.5
2022,,F,ES211,PER_10000_POP,263.9
2013,,F,ES213,PER_10000_POP,210.4
2018,,F,ES213,PER_10000_POP,234.7
2021,,F,ES213,PER_10000_POP,248.8
2019,,F,ES213,PER_10000_POP,239.2
2011,,F,ES213,PER_10000_POP,202.6
2017,,F,ES213,PER_10000_POP,230.0
2012,,F,ES213,PER_10000_POP,207.8
2016,,F,ES213,PER_10000_POP,225.9
2014,,F,ES213,PER_10000_POP,215.0
2022,,F,ES213,PER_10000_POP,253.7
2010,,F,ES213,PER_10000_POP,196.1
2023,,F,ES213,PER_10000_POP,258.6
2024,,F,ES213,PER_10000_POP,263.3
2015,,F,ES213,PER_10000_POP,220.7
2020,,F,ES213,PER_10000_POP,244.0
2019,,F,ES212,PER_10000_POP,233.7
2024,,F,ES212,PER_10000_POP,294.7
2021,,F,ES212,PER_10000_POP,244.7
2011,,F,ES212,PER_10000_POP,204.6
2012,,F,ES212,PER_10000_POP,208.5
2018,,F,ES212,PER_10000_POP,229.3
2014,,F,ES212,PER_10000_POP,219.0
2016,,F,ES212,PER_10000_POP,224.7
2022,,F,ES212,PER_10000_POP,249.6
2023,,F,ES212,PER_10000_POP,298.4
2013,,F,ES212,PER_10000_POP,214.0
2015,,F,ES212,PER_10000_POP,222.0
2020,,F,ES212,PER_10000_POP,240.1
2010,,F,ES212,PER_10000_POP,204.2
2017,,F,ES212,PER_10000_POP,227.0
2017,,M,,PER_10000_POP,87.0
2024,,M,,PER_10000_POP,96.8
2022,,M,,PER_10000_POP,94.1
2011,,M,,PER_10000_POP,85.0
2020,,M,,PER_10000_POP,91.6
2018,,M,,PER_10000_POP,88.5
2013,,M,,PER_10000_POP,83.3
2012,,M,,PER_10000_POP,83.7
2014,,M,,PER_10000_POP,84.6
2010,,M,,PER_10000_POP,82.4
2015,,M,,PER_10000_POP,85.1
2016,,M,,PER_10000_POP,86.4
2023,,M,,PER_10000_POP,97.1
2019,,M,,PER_10000_POP,90.2
2021,,M,,PER_10000_POP,92.6
2016,,M,ES211,PER_10000_POP,80.8
2019,,M,ES211,PER_10000_POP,84.4
2022,,M,ES211,PER_10000_POP,86.2
2023,,M,ES211,PER_10000_POP,86.7
2015,,M,ES211,PER_10000_POP,79.4
2013,,M,ES211,PER_10000_POP,76.7
2021,,M,ES211,PER_10000_POP,86.4
2014,,M,ES211,PER_10000_POP,79.0
2010,,M,ES211,PER_10000_POP,75.5
2011,,M,ES211,PER_10000_POP,77.0
2012,,M,ES211,PER_10000_POP,75.7
2018,,M,ES211,PER_10000_POP,83.2
2020,,M,ES211,PER_10000_POP,85.1
2017,,M,ES211,PER_10000_POP,82.1
2024,,M,ES211,PER_10000_POP,87.1
2021,,M,ES213,PER_10000_POP,102.5
2020,,M,ES213,PER_10000_POP,101.2
2024,,M,ES213,PER_10000_POP,107.2
2023,,M,ES213,PER_10000_POP,106.4
2017,,M,ES213,PER_10000_POP,95.2
2013,,M,ES213,PER_10000_POP,90.2
2011,,M,ES213,PER_10000_POP,90.6
2022,,M,ES213,PER_10000_POP,104.2
2016,,M,ES213,PER_10000_POP,94.1
2019,,M,ES213,PER_10000_POP,99.0
2012,,M,ES213,PER_10000_POP,89.2
2010,,M,ES213,PER_10000_POP,89.3
2015,,M,ES213,PER_10000_POP,92.7
2018,,M,ES213,PER_10000_POP,97.2
2014,,M,ES213,PER_10000_POP,91.9
2013,,M,ES212,PER_10000_POP,75.1
2018,,M,ES212,PER_10000_POP,77.1
2012,,M,ES212,PER_10000_POP,78.6
2015,,M,ES212,PER_10000_POP,75.8
2020,,M,ES212,PER_10000_POP,79.4
2023,,M,ES212,PER_10000_POP,87.5
2014,,M,ES212,PER_10000_POP,75.6
2019,,M,ES212,PER_10000_POP,78.9
2017,,M,ES212,PER_10000_POP,76.2
2021,,M,ES212,PER_10000_POP,80.0
2022,,M,ES212,PER_10000_POP,82.0
2010,,M,ES212,PER_10000_POP,74.4
2024,,M,ES212,PER_10000_POP,84.9
2011,,M,ES212,PER_10000_POP,79.7
2016,,M,ES212,PER_10000_POP,76.6
2019,ISCO08_221,,,PER_10000_POP,65.4
2018,ISCO08_221,,,PER_10000_POP,63.6
2011,ISCO08_221,,,PER_10000_POP,55.8
2021,ISCO08_221,,,PER_10000_POP,68.7
2017,ISCO08_221,,,PER_10000_POP,62.2
2023,ISCO08_221,,,PER_10000_POP,72.1
2010,ISCO08_221,,,PER_10000_POP,54.5
2022,ISCO08_221,,,PER_10000_POP,70.6
2015,ISCO08_221,,,PER_10000_POP,60.0
2013,ISCO08_221,,,PER_10000_POP,58.1
2020,ISCO08_221,,,PER_10000_POP,66.9
2024,ISCO08_221,,,PER_10000_POP,73.6
2016,ISCO08_221,,,PER_10000_POP,61.1
2014,ISCO08_221,,,PER_10000_POP,59.3
2012,ISCO08_221,,,PER_10000_POP,57.0
2022,ISCO08_221,,ES211,PER_10000_POP,63.9
2020,ISCO08_221,,ES211,PER_10000_POP,61.3
2010,ISCO08_221,,ES211,PER_10000_POP,51.9
2021,ISCO08_221,,ES211,PER_10000_POP,62.7
2019,ISCO08_221,,ES211,PER_10000_POP,60.7
2011,ISCO08_221,,ES211,PER_10000_POP,54.0
