Year,Series,Sexo,Edad,Territorio,Units,Value
2022,SE_ADT_EDUCTRN,,Y15T24,,PT,79.3
2024,SE_ADT_EDUCTRN,,Y15T24,,PT,80.6
2015,SE_ADT_EDUCTRN,,Y15T24,,PT,83.0
2019,SE_ADT_EDUCTRN,,Y15T24,,PT,81.3
2012,SE_ADT_EDUCTRN,,Y15T24,,PT,75.7
2023,SE_ADT_EDUCTRN,,Y15T24,,PT,80.0
2014,SE_ADT_EDUCTRN,,Y15T24,,PT,79.3
2011,SE_ADT_EDUCTRN,,Y15T24,,PT,72.2
2010,SE_ADT_EDUCTRN,,Y15T24,,PT,71.9
2020,SE_ADT_EDUCTRN,,Y15T24,,PT,80.5
2016,SE_ADT_EDUCTRN,,Y15T24,,PT,81.3
2021,SE_ADT_EDUCTRN,,Y15T24,,PT,81.1
2013,SE_ADT_EDUCTRN,,Y15T24,,PT,75.3
2018,SE_ADT_EDUCTRN,,Y15T24,,PT,79.1
2017,SE_ADT_EDUCTRN,,Y15T24,,PT,79.2
2024,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,80.2
2017,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,76.6
2019,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,81.7
2015,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,81.3
2021,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,79.4
2012,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,71.7
2013,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,76.5
2014,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,80.9
2010,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,69.2
2023,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,76.9
2020,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,78.1
2011,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,68.0
2016,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,80.8
2022,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,79.3
2018,SE_ADT_EDUCTRN,,Y15T24,ES211,PT,76.2
2010,SE_ADT_EDUCTRN,,Y15T24,ES213,PT,71.3
2019,SE_ADT_EDUCTRN,,Y15T24,ES213,PT,81.7
2014,SE_ADT_EDUCTRN,,Y15T24,ES213,PT,79.7
2018,SE_ADT_EDUCTRN,,Y15T24,ES213,PT,79.5
2012,SE_ADT_EDUCTRN,,Y15T24,ES213,PT,77.7
