Year,Habilidad_IT,Edad,Sexo,Territorio,Units,Value
2022,,,,,PT,68.8
2021,,,,,PT,75.0
2019,,,,,PT,67.0
2020,,,,,PT,69.8
2023,,,,,PT,71.5
2024,,,,,PT,69.8
2019,,,,ES211,PT,68.5
2024,,,,ES211,PT,69.6
2020,,,,ES211,PT,70.1
2021,,,,ES211,PT,75.4
2023,,,,ES211,PT,71.3
2022,,,,ES211,PT,68.3
2020,,,,ES213,PT,69.5
2019,,,,ES213,PT,67.7
2023,,,,ES213,PT,71.3
2024,,,,ES213,PT,70.8
2021,,,,ES213,PT,74.6
2022,,,,ES213,PT,68.5
2019,,,,ES212,PT,65.2
2023,,,,ES212,PT,72.0
2024,,,,ES212,PT,68.4
2021,,,,ES212,PT,75.4
2020,,,,ES212,PT,70.2
2022,,,,ES212,PT,69.4
2019,,,F,,PT,64.5
2022,,,F,,PT,68.2
2020,,,F,,PT,68.3
2024,,,F,,PT,68.4
2021,,,F,,PT,73.8
2023,,,F,,PT,70.5
2023,,,F,ES211,PT,72.8
2019,,,F,ES211,PT,66.1
2021,,,F,ES211,PT,74.4
2022,,,F,ES211,PT,67.8
2024,,,F,ES211,PT,67.0
2020,,,F,ES211,PT,70.8
2022,,,F,ES213,PT,67.3
2023,,,F,ES213,PT,69.6
2024,,,F,ES213,PT,69.1
2021,,,F,ES213,PT,72.8
2019,,,F,ES213,PT,64.6
2020,,,F,ES213,PT,67.7
2021,,,F,ES212,PT,75.0
2020,,,F,ES212,PT,68.1
2024,,,F,ES212,PT,67.8
2019,,,F,ES212,PT,63.6
2023,,,F,ES212,PT,70.9
2022,,,F,ES212,PT,70.0
2023,,,M,,PT,72.5
2024,,,M,,PT,71.4
2019,,,M,,PT,69.7
2021,,,M,,PT,76.2
2022,,,M,,PT,69.4
2020,,,M,,PT,71.4
2023,,,M,ES211,PT,69.8
2021,,,M,ES211,PT,76.4
2024,,,M,ES211,PT,72.3
2020,,,M,ES211,PT,69.5
2019,,,M,ES211,PT,71.0
2022,,,M,ES211,PT,68.9
2023,,,M,ES213,PT,73.0
2022,,,M,ES213,PT,69.9
2024,,,M,ES213,PT,72.6
2019,,,M,ES213,PT,71.0
2020,,,M,ES213,PT,71.4
2021,,,M,ES213,PT,76.5
2023,,,M,ES212,PT,73.0
2020,,,M,ES212,PT,72.3
2021,,,M,ES212,PT,75.8
2024,,,M,ES212,PT,69.0
2022,,,M,ES212,PT,68.8
2019,,,M,ES212,PT,66.9
2022,,Y16T24,,,PT,95.5
2024,,Y16T24,,,PT,93.9
2020,,Y16T24,,,PT,95.9
2023,,Y16T24,,,PT,95.9
2019,,Y16T24,,,PT,95.7
2021,,Y16T24,,,PT,96.2
2019,,Y16T24,,ES211,PT,95.6
2021,,Y16T24,,ES211,PT,96.8
2024,,Y16T24,,ES211,PT,95.8
2022,,Y16T24,,ES211,PT,94.6
2020,,Y16T24,,ES211,PT,98.4
2023,,Y16T24,,ES211,PT,99.5
2021,,Y16T24,,ES213,PT,94.4
2020,,Y16T24,,ES213,PT,94.2
2023,,Y16T24,,ES213,PT,93.8
2024,,Y16T24,,ES213,PT,92.0
2022,,Y16T24,,ES213,PT,95.4
2019,,Y16T24,,ES213,PT,97.1
2023,,Y16T24,,ES212,PT,97.3
2022,,Y16T24,,ES212,PT,96.1
2021,,Y16T24,,ES212,PT,98.4
2020,,Y16T24,,ES212,PT,97.2
2019,,Y16T24,,ES212,PT,94.0
2024,,Y16T24,,ES212,PT,95.8
2019,,Y16T24,F,,PT,97.9
2024,,Y16T24,F,,PT,95.5
2022,,Y16T24,F,,PT,97.5
2021,,Y16T24,F,,PT,96.7
2020,,Y16T24,F,,PT,96.5
2023,,Y16T24,F,,PT,98.8
2019,,Y16T24,F,ES211,PT,98.8
2024,,Y16T24,F,ES211,PT,98.9
2022,,Y16T24,F,ES211,PT,96.5
2020,,Y16T24,F,ES211,PT,96.6
2023,,Y16T24,F,ES211,PT,98.8
2021,,Y16T24,F,ES211,PT,96.3
2022,,Y16T24,F,ES213,PT,99.0
2024,,Y16T24,F,ES213,PT,92.8
2021,,Y16T24,F,ES213,PT,95.5
2019,,Y16T24,F,ES213,PT,97.0
2020,,Y16T24,F,ES213,PT,96.6
2023,,Y16T24,F,ES213,PT,97.9
2021,,Y16T24,F,ES212,PT,98.7
2019,,Y16T24,F,ES212,PT,98.7
2020,,Y16T24,F,ES212,PT,96.3
2024,,Y16T24,F,ES212,PT,97.8
2023,,Y16T24,F,ES212,PT,100.0
2022,,Y16T24,F,ES212,PT,95.8
2024,,Y16T24,M,,PT,92.5
2022,,Y16T24,M,,PT,93.5
2019,,Y16T24,M,,PT,93.6
2023,,Y16T24,M,,PT,93.1
2021,,Y16T24,M,,PT,95.7
2020,,Y16T24,M,,PT,95.3
2024,,Y16T24,M,ES211,PT,92.8
2019,,Y16T24,M,ES211,PT,91.9
2020,,Y16T24,M,ES211,PT,100.0
2023,,Y16T24,M,ES211,PT,100.0
2021,,Y16T24,M,ES211,PT,97.2
2022,,Y16T24,M,ES211,PT,92.7
2021,,Y16T24,M,ES213,PT,93.3
2024,,Y16T24,M,ES213,PT,91.3
2023,,Y16T24,M,ES213,PT,89.7
2019,,Y16T24,M,ES213,PT,97.2
2022,,Y16T24,M,ES213,PT,91.8
2020,,Y16T24,M,ES213,PT,92.0
2020,,Y16T24,M,ES212,PT,98.1
2024,,Y16T24,M,ES212,PT,94.0
2023,,Y16T24,M,ES212,PT,94.6
2021,,Y16T24,M,ES212,PT,98.3
2019,,Y16T24,M,ES212,PT,89.4
2022,,Y16T24,M,ES212,PT,96.4
2022,,Y25T74,,,PT,65.3
2021,,Y25T74,,,PT,72.2
2023,,Y25T74,,,PT,68.3
2024,,Y25T74,,,PT,66.5
2019,,Y25T74,,,PT,63.8
2020,,Y25T74,,,PT,66.6
2021,,Y25T74,,ES211,PT,72.5
2023,,Y25T74,,ES211,PT,67.4
2019,,Y25T74,,ES211,PT,65.5
2020,,Y25T74,,ES211,PT,66.6
2022,,Y25T74,,ES211,PT,65.2
2024,,Y25T74,,ES211,PT,66.1
2021,,Y25T74,,ES213,PT,72.1
2024,,Y25T74,,ES213,PT,68.0
2019,,Y25T74,,ES213,PT,64.7
2020,,Y25T74,,ES213,PT,66.6
2023,,Y25T74,,ES213,PT,68.4
2022,,Y25T74,,ES213,PT,65.0
2020,,Y25T74,,ES212,PT,66.6
2023,,Y25T74,,ES212,PT,68.4
2022,,Y25T74,,ES212,PT,65.7
2021,,Y25T74,,ES212,PT,72.1
2024,,Y25T74,,ES212,PT,64.2
2019,,Y25T74,,ES212,PT,61.7
2019,,Y25T74,F,,PT,60.8
2024,,Y25T74,F,,PT,64.9
2021,,Y25T74,F,,PT,70.9
2020,,Y25T74,F,,PT,65.0
2023,,Y25T74,F,,PT,67.0
2022,,Y25T74,F,,PT,64.5
2022,,Y25T74,F,ES211,PT,64.5
2021,,Y25T74,F,ES211,PT,71.8
2019,,Y25T74,F,ES211,PT,62.2
2023,,Y25T74,F,ES211,PT,69.8
2020,,Y25T74,F,ES211,PT,67.8
2024,,Y25T74,F,ES211,PT,62.9
2020,,Y25T74,F,ES213,PT,64.4
2023,,Y25T74,F,ES213,PT,66.2
2019,,Y25T74,F,ES213,PT,61.3
2021,,Y25T74,F,ES213,PT,70.0
2022,,Y25T74,F,ES213,PT,63.3
2024,,Y25T74,F,ES213,PT,66.3
2019,,Y25T74,F,ES212,PT,59.3
2021,,Y25T74,F,ES212,PT,72.0
2020,,Y25T74,F,ES212,PT,64.6
2024,,Y25T74,F,ES212,PT,63.6
2023,,Y25T74,F,ES212,PT,67.0
2022,,Y25T74,F,ES212,PT,66.5
2019,,Y25T74,M,,PT,66.9
2022,,Y25T74,M,,PT,66.1
2023,,Y25T74,M,,PT,69.6
2020,,Y25T74,M,,PT,68.3
2024,,Y25T74,M,,PT,68.1
2021,,Y25T74,M,,PT,73.4
2021,,Y25T74,M,ES211,PT,73.2
2023,,Y25T74,M,ES211,PT,65.0
2022,,Y25T74,M,ES211,PT,65.9
2020,,Y25T74,M,ES211,PT,65.3
2024,,Y25T74,M,ES211,PT,69.4
2019,,Y25T74,M,ES211,PT,68.8
2024,,Y25T74,M,ES213,PT,69.8
2020,,Y25T74,M,ES213,PT,68.8
2023,,Y25T74,M,ES213,PT,70.8
2021,,Y25T74,M,ES213,PT,74.3
2022,,Y25T74,M,ES213,PT,66.9
2019,,Y25T74,M,ES213,PT,68.2
2022,,Y25T74,M,ES212,PT,64.8
2023,,Y25T74,M,ES212,PT,69.9
2021,,Y25T74,M,ES212,PT,72.1
2024,,Y25T74,M,ES212,PT,64.9
2019,,Y25T74,M,ES212,PT,64.0
2020,,Y25T74,M,ES212,PT,68.8
2021,ICTSFWR,,,,PT,64.6
2022,ICTSFWR,,,,PT,54.0
2024,ICTSFWR,,,,PT,47.8
2019,ICTSFWR,,,,PT,53.9
2023,ICTSFWR,,,,PT,51.6
2020,ICTSFWR,,,,PT,58.8
2021,ICTSFWR,,,ES211,PT,65.8
2020,ICTSFWR,,,ES211,PT,57.3
2022,ICTSFWR,,,ES211,PT,53.0
2024,ICTSFWR,,,ES211,PT,48.8
2023,ICTSFWR,,,ES211,PT,52.5
2019,ICTSFWR,,,ES211,PT,54.5
2023,ICTSFWR,,,ES213,PT,51.9
2020,ICTSFWR,,,ES213,PT,58.3
2022,ICTSFWR,,,ES213,PT,54.5
2019,ICTSFWR,,,ES213,PT,55.2
2021,ICTSFWR,,,ES213,PT,64.3
2024,ICTSFWR,,,ES213,PT,48.4
2021,ICTSFWR,,,ES212,PT,64.6
2020,ICTSFWR,,,ES212,PT,60.2
2023,ICTSFWR,,,ES212,PT,50.7
2024,ICTSFWR,,,ES212,PT,46.4
2022,ICTSFWR,,,ES212,PT,53.6
2019,ICTSFWR,,,ES212,PT,51.6
2020,ICTSFWR,,F,,PT,56.7
2023,ICTSFWR,,F,,PT,49.0
2022,ICTSFWR,,F,,PT,51.9
2024,ICTSFWR,,F,,PT,44.6
2021,ICTSFWR,,F,,PT,61.2
2019,ICTSFWR,,F,,PT,50.6
2019,ICTSFWR,,F,ES211,PT,49.8
