Year,Sexo,Territorio,Units,Value
2010,,,PT,89.5
2013,,,PT,93.3
2018,,,PT,95.8
2021,,,PT,97.2
2024,,,PT,99.2
2008,,,PT,87.8
2014,,,PT,93.6
2016,,,PT,95.8
2023,,,PT,99.0
2020,,,PT,96.9
2015,,,PT,96.0
2022,,,PT,97.6
2017,,,PT,96.1
2019,,,PT,97.0
2012,,,PT,92.4
2011,,,PT,91.7
2009,,,PT,87.6
2025,,,PT,99.1
2020,,ES211,PT,97.5
2010,,ES211,PT,88.4
2017,,ES211,PT,97.2
2013,,ES211,PT,93.0
2018,,ES211,PT,96.8
2025,,ES211,PT,99.4
2009,,ES211,PT,83.9
2011,,ES211,PT,90.7
2008,,ES211,PT,86.8
2024,,ES211,PT,99.5
2022,,ES211,PT,97.5
2021,,ES211,PT,97.7
2014,,ES211,PT,94.1
2023,,ES211,PT,98.1
2019,,ES211,PT,97.2
2015,,ES211,PT,96.7
2016,,ES211,PT,96.5
2012,,ES211,PT,91.0
2023,,ES213,PT,99.3
2012,,ES213,PT,93.1
2009,,ES213,PT,88.1
2015,,ES213,PT,95.8
2011,,ES213,PT,92.8
2024,,ES213,PT,99.5
2013,,ES213,PT,93.3
2017,,ES213,PT,96.3
2008,,ES213,PT,88.5
2025,,ES213,PT,99.1
2022,,ES213,PT,97.5
2018,,ES213,PT,95.8
2014,,ES213,PT,93.8
2020,,ES213,PT,96.9
2019,,ES213,PT,97.3
2010,,ES213,PT,89.8
2021,,ES213,PT,96.7
2016,,ES213,PT,96.5
2011,,ES212,PT,90.6
2015,,ES212,PT,96.1
2024,,ES212,PT,98.7
2021,,ES212,PT,97.8
2016,,ES212,PT,94.3
2010,,ES212,PT,89.4
2013,,ES212,PT,93.4
2022,,ES212,PT,97.9
2014,,ES212,PT,93.3
2017,,ES212,PT,95.1
2025,,ES212,PT,99.1
2008,,ES212,PT,86.9
2009,,ES212,PT,88.4
2012,,ES212,PT,91.9
2020,,ES212,PT,96.5
2018,,ES212,PT,95.3
2019,,ES212,PT,96.5
2023,,ES212,PT,99.0
2022,F,,PT,98.3
2014,F,,PT,94.2
2013,F,,PT,94.1
2020,F,,PT,97.1
2025,F,,PT,99.3
2010,F,,PT,89.0
2009,F,,PT,87.9
2016,F,,PT,95.4
2023,F,,PT,99.1
2008,F,,PT,88.1
2024,F,,PT,99.4
2019,F,,PT,97.9
2015,F,,PT,96.4
2017,F,,PT,95.9
2021,F,,PT,97.4
2011,F,,PT,92.4
2012,F,,PT,93.0
2018,F,,PT,96.1
2017,F,ES211,PT,95.4
2016,F,ES211,PT,94.7
2015,F,ES211,PT,97.5
2014,F,ES211,PT,93.8
2013,F,ES211,PT,94.5
2012,F,ES211,PT,91.4
2009,F,ES211,PT,83.1
2010,F,ES211,PT,87.7
2011,F,ES211,PT,90.2
2019,F,ES211,PT,97.5
2025,F,ES211,PT,99.9
2008,F,ES211,PT,86.2
2023,F,ES211,PT,98.6
2018,F,ES211,PT,96.7
2024,F,ES211,PT,99.5
2022,F,ES211,PT,97.6
2020,F,ES211,PT,98.3
2021,F,ES211,PT,98.4
2025,F,ES213,PT,99.1
2024,F,ES213,PT,99.2
2023,F,ES213,PT,99.4
2021,F,ES213,PT,97.0
2020,F,ES213,PT,96.9
2019,F,ES213,PT,97.9
2017,F,ES213,PT,96.1
2016,F,ES213,PT,96.5
2014,F,ES213,PT,94.0
2013,F,ES213,PT,93.4
2012,F,ES213,PT,93.8
2009,F,ES213,PT,88.3
2008,F,ES213,PT,88.6
2015,F,ES213,PT,96.0
2010,F,ES213,PT,89.0
2018,F,ES213,PT,95.9
2022,F,ES213,PT,98.5
2011,F,ES213,PT,93.7
2014,F,ES212,PT,94.8
2013,F,ES212,PT,95.0
2020,F,ES212,PT,96.7
2024,F,ES212,PT,99.5
