Year,Series,CategoriaUra,Units,Value
2019,EN_H2O_WBAMBQ,,PT,60.9
2022,EN_H2O_WBAMBQ,,PT,57.1
2015,EN_H2O_WBAMBQ,,PT,46.8
2016,EN_H2O_WBAMBQ,,PT,58.2
2017,EN_H2O_WBAMBQ,,PT,64.4
2018,EN_H2O_WBAMBQ,,PT,65.8
2024,EN_H2O_WBAMBQ,,PT,59.6
2020,EN_H2O_WBAMBQ,,PT,59.4
2023,EN_H2O_WBAMBQ,,PT,55.7
2021,EN_H2O_WBAMBQ,,PT,62.4
2021,EN_H2O_OPAMBQ,,PT,56.6
2016,EN_H2O_OPAMBQ,,PT,50.6
2024,EN_H2O_OPAMBQ,,PT,53.3
2017,EN_H2O_OPAMBQ,,PT,58.4
2022,EN_H2O_OPAMBQ,,PT,50.3
2018,EN_H2O_OPAMBQ,,PT,60.8
2023,EN_H2O_OPAMBQ,,PT,48.5
2019,EN_H2O_OPAMBQ,,PT,54.8
2015,EN_H2O_OPAMBQ,,PT,36.0
2020,EN_H2O_OPAMBQ,,PT,53.0
2021,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,55.1
2015,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,35.3
2017,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,57.5
2023,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,43.0
2024,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,48.4
2018,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,60.6
2020,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,48.0
2019,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,52.8
2022,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,45.3
2016,EN_H2O_OPAMBQ,EN_H2O_RVAMBQ,PT,49.6
2019,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2017,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2016,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2023,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2021,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2020,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2015,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,75.0
2018,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2024,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2022,EN_H2O_OPAMBQ,EU_H2O_ITSASE,PT,100.0
2016,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,42.9
2015,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,21.4
2018,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,50.0
2019,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,50.0
2022,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,57.1
2017,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,50.0
2020,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,71.4
2023,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,57.1
2021,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,42.9
2024,EN_H2O_OPAMBQ,EU_H2O_TRANTS,PT,57.1
2019,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,100.0
2018,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,100.0
2015,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,100.0
2017,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,100.0
2022,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,91.7
2021,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,100.0
2023,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,91.7
2020,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,91.7
2024,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,91.7
2016,EN_H2O_OPAMBQ,EU_H2O_URTE,PT,75.0
2018,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,11.1
2015,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,22.2
2017,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,11.1
2020,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,22.2
2019,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,11.1
2022,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,33.3
2021,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,22.2
2024,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,44.4
2023,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,33.3
2016,EN_H2O_OPAMBQ,EU_H2O_AINTZ,PT,22.2
2016,EN_H2O_GRAMBQ,,PT,91.7
2023,EN_H2O_GRAMBQ,,PT,88.9
2019,EN_H2O_GRAMBQ,,PT,88.9
2017,EN_H2O_GRAMBQ,,PT,91.7
2020,EN_H2O_GRAMBQ,,PT,88.9
2024,EN_H2O_GRAMBQ,,PT,88.9
2021,EN_H2O_GRAMBQ,,PT,88.9
2022,EN_H2O_GRAMBQ,,PT,88.9
2015,EN_H2O_GRAMBQ,,PT,91.7
2018,EN_H2O_GRAMBQ,,PT,88.9
