Year,Territorio,Units,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,Value
2014,,PT,,,,,,,,,,,,1.8
2010,,PT,,,,,,,,,,,,0.3
2018,,PT,,,,,,,,,,,,2.8
2013,,PT,,,,,,,,,,,,-1.6
2023,,PT,,,,,,,,,,,,2.2
2019,,PT,,,,,,,,,,,,1.8
2015,,PT,,,,,,,,,,,,2.9
2011,,PT,,,,,,,,,,,,-0.1
2020,,PT,,,,,,,,,,,,-9.6
2022,,PT,,,,,,,,,,,,5.6
2017,,PT,,,,,,,,,,,,2.5
2021,,PT,,,,,,,,,,,,6.4
2016,,PT,,,,,,,,,,,,3.3
2016,ES211,PT,,,,,,,,,,,,2.8
2017,ES211,PT,,,,,,,,,,,,1.6
2014,ES211,PT,,,,,,,,,,,,1.8
2020,ES211,PT,,,,,,,,,,,,-10.7
2010,ES211,PT,,,,,,,,,,,,0.2
2018,ES211,PT,,,,,,,,,,,,1.5
2015,ES211,PT,,,,,,,,,,,,2.5
2019,ES211,PT,,,,,,,,,,,,1.3
2021,ES211,PT,,,,,,,,,,,,7.3
2023,ES211,PT,,,,,,,,,,,,2.2
2011,ES211,PT,,,,,,,,,,,,-0.1
2022,ES211,PT,,,,,,,,,,,,3.9
2013,ES211,PT,,,,,,,,,,,,-1.5
2011,ES213,PT,,,,,,,,,,,,0.0
2016,ES213,PT,,,,,,,,,,,,3.6
2018,ES213,PT,,,,,,,,,,,,2.8
2019,ES213,PT,,,,,,,,,,,,1.8
2020,ES213,PT,,,,,,,,,,,,-8.8
2022,ES213,PT,,,,,,,,,,,,6.9
2023,ES213,PT,,,,,,,,,,,,1.9
2010,ES213,PT,,,,,,,,,,,,0.4
2013,ES213,PT,,,,,,,,,,,,-1.2
2014,ES213,PT,,,,,,,,,,,,1.8
2015,ES213,PT,,,,,,,,,,,,2.8
2021,ES213,PT,,,,,,,,,,,,6.3
2017,ES213,PT,,,,,,,,,,,,2.9
2021,ES212,PT,,,,,,,,,,,,6.2
2022,ES212,PT,,,,,,,,,,,,4.6
2023,ES212,PT,,,,,,,,,,,,2.6
2010,ES212,PT,,,,,,,,,,,,0.3
2011,ES212,PT,,,,,,,,,,,,-0.3
2013,ES212,PT,,,,,,,,,,,,-2.2
2014,ES212,PT,,,,,,,,,,,,1.6
2015,ES212,PT,,,,,,,,,,,,3.3
2016,ES212,PT,,,,,,,,,,,,3.1
2017,ES212,PT,,,,,,,,,,,,2.4
2018,ES212,PT,,,,,,,,,,,,3.5
2019,ES212,PT,,,,,,,,,,,,2.2
2020,ES212,PT,,,,,,,,,,,,-10.1
