Year,Sexo,Edad,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,,Y_GE16,,,,,,PT,,15.7
2019,,Y_GE16,,,,,,PT,,9.8
2012,,Y_GE16,,,,,,PT,,11.8
2014,,Y_GE16,,,,,,PT,,16.1
2010,,Y_GE16,,,,,,PT,,9.2
2016,,Y_GE16,,,,,,PT,,13.8
2018,,Y_GE16,,,,,,PT,,10.5
2017,,Y_GE16,,,,,,PT,,11.6
2011,,Y_GE16,,,,,,PT,,10.8
2021,,Y_GE16,,,,,,PT,,10.0
2023,,Y_GE16,,,,,,PT,,7.8
2013,,Y_GE16,,,,,,PT,,15.1
2022,,Y_GE16,,,,,,PT,,8.6
2020,,Y_GE16,,,,,,PT,,10.6
2016,,Y_GE16,,,,,ES48001,PT,ES48001,12.0
2021,,Y_GE16,,,,,ES48001,PT,ES48001,10.7
2018,,Y_GE16,,,,,ES48001,PT,ES48001,9.7
2019,,Y_GE16,,,,,ES48001,PT,ES48001,9.1
2020,,Y_GE16,,,,,ES48001,PT,ES48001,8.7
2010,,Y_GE16,,,,,ES48001,PT,ES48001,9.2
2015,,Y_GE16,,,,,ES48001,PT,ES48001,13.9
2019,,Y_GE16,,,,,ES20001,PT,ES20001,5.0
2020,,Y_GE16,,,,,ES20001,PT,ES20001,2.9
2010,,Y_GE16,,,,,ES20001,PT,ES20001,7.1
2021,,Y_GE16,,,,,ES20001,PT,ES20001,3.0
2016,,Y_GE16,,,,,ES20001,PT,ES20001,7.5
2018,,Y_GE16,,,,,ES20001,PT,ES20001,10.1
2015,,Y_GE16,,,,,ES20001,PT,ES20001,6.6
2021,,Y_GE16,,,,,ES48002,PT,ES48002,14.3
2018,,Y_GE16,,,,,ES48002,PT,ES48002,14.1
2016,,Y_GE16,,,,,ES48002,PT,ES48002,18.7
2019,,Y_GE16,,,,,ES48002,PT,ES48002,12.5
2010,,Y_GE16,,,,,ES48002,PT,ES48002,9.8
2020,,Y_GE16,,,,,ES48002,PT,ES48002,13.0
2015,,Y_GE16,,,,,ES48002,PT,ES48002,17.8
2016,,Y_GE16,,,,,ES20002,PT,ES20002,8.5
2018,,Y_GE16,,,,,ES20002,PT,ES20002,4.0
2015,,Y_GE16,,,,,ES20002,PT,ES20002,11.4
2020,,Y_GE16,,,,,ES20002,PT,ES20002,3.6
2010,,Y_GE16,,,,,ES20002,PT,ES20002,5.4
2021,,Y_GE16,,,,,ES20002,PT,ES20002,1.2
2019,,Y_GE16,,,,,ES20002,PT,ES20002,2.8
2020,,Y_GE16,,,,,ES01051,PT,ES01051,14.7
2016,,Y_GE16,,,,,ES01051,PT,ES01051,16.6
2018,,Y_GE16,,,,,ES01051,PT,ES01051,14.5
2015,,Y_GE16,,,,,ES01051,PT,ES01051,18.6
2010,,Y_GE16,,,,,ES01051,PT,ES01051,10.4
2019,,Y_GE16,,,,,ES01051,PT,ES01051,13.1
2021,,Y_GE16,,,,,ES01051,PT,ES01051,14.9
2018,,Y_GE16,,,,,ES20016,PT,ES20016,8.3
2010,,Y_GE16,,,,,ES20016,PT,ES20016,8.0
2020,,Y_GE16,,,,,ES20016,PT,ES20016,5.8
2015,,Y_GE16,,,,,ES20016,PT,ES20016,11.2
2021,,Y_GE16,,,,,ES20016,PT,ES20016,6.5
2016,,Y_GE16,,,,,ES20016,PT,ES20016,10.2
2019,,Y_GE16,,,,,ES20016,PT,ES20016,6.5
2015,,Y_GE16,,,,,ES20003,PT,ES20003,17.0
2020,,Y_GE16,,,,,ES20003,PT,ES20003,9.7
2010,,Y_GE16,,,,,ES20003,PT,ES20003,11.0
2021,,Y_GE16,,,,,ES20003,PT,ES20003,11.6
2019,,Y_GE16,,,,,ES20003,PT,ES20003,11.7
