Year,Series,Units,Value
2016,SL_CPA_YEMP,IX,3.0
2017,SL_CPA_YEMP,IX,3.0
2018,SL_CPA_YEMP,IX,3.0
2014,SL_CPA_YEMP,IX,3.0
2020,SL_CPA_YEMP,IX,3.0
2019,SL_CPA_YEMP,IX,3.0
2015,SL_CPA_YEMP,IX,3.0
2012,SL_CPA_YEMP,IX,3.0
2013,SL_CPA_YEMP,IX,3.0
2024,SL_CPA_YEMP,IX,3.0
2011,SL_CPA_YEMP,IX,3.0
2022,SL_CPA_YEMP,IX,3.0
2021,SL_CPA_YEMP,IX,3.0
2023,SL_CPA_YEMP,IX,3.0
2010,SL_CPA_YEMP,IX,3.0
2025,SL_CPA_YEMP,IX,3.0
2011,EU_EXP_EMP,EUR_1000000,399.9
2013,EU_EXP_EMP,EUR_1000000,321.7
2020,EU_EXP_EMP,EUR_1000000,424.0
2014,EU_EXP_EMP,EUR_1000000,319.8
2012,EU_EXP_EMP,EUR_1000000,527.1
2015,EU_EXP_EMP,EUR_1000000,341.3
2022,EU_EXP_EMP,EUR_1000000,528.6
2023,EU_EXP_EMP,EUR_1000000,422.8
2010,EU_EXP_EMP,EUR_1000000,94.6
2021,EU_EXP_EMP,EUR_1000000,405.3
2017,EU_EXP_EMP,EUR_1000000,363.0
2016,EU_EXP_EMP,EUR_1000000,333.6
2019,EU_EXP_EMP,EUR_1000000,408.7
2018,EU_EXP_EMP,EUR_1000000,358.1
2010,EU_EXP_EMPGDP,PT,0.9
2011,EU_EXP_EMPGDP,PT,3.9
2012,EU_EXP_EMPGDP,PT,5.2
2013,EU_EXP_EMPGDP,PT,3.4
2016,EU_EXP_EMPGDP,PT,3.2
2014,EU_EXP_EMPGDP,PT,3.2
2022,EU_EXP_EMPGDP,PT,3.8
2015,EU_EXP_EMPGDP,PT,3.4
2017,EU_EXP_EMPGDP,PT,3.4
2018,EU_EXP_EMPGDP,PT,3.1
2019,EU_EXP_EMPGDP,PT,3.4
2020,EU_EXP_EMPGDP,PT,3.6
2021,EU_EXP_EMPGDP,PT,3.2
2023,EU_EXP_EMPGDP,PT,2.9
