Year,Sexo,Territorio,Units,Value
2019,,,PER_1000000_POP,6162.8
2021,,,PER_1000000_POP,6560.5
2023,,,PER_1000000_POP,7408.0
2020,,,PER_1000000_POP,6204.9
2022,,,PER_1000000_POP,6953.0
2010,,,PER_1000000_POP,5098.1
2016,,,PER_1000000_POP,5481.3
2013,,,PER_1000000_POP,5496.2
2014,,,PER_1000000_POP,5536.2
2017,,,PER_1000000_POP,5788.4
2015,,,PER_1000000_POP,5564.5
2011,,,PER_1000000_POP,5180.9
2012,,,PER_1000000_POP,5399.2
2018,,,PER_1000000_POP,6027.3
2010,,ES211,PER_1000000_POP,3631.3
2017,,ES211,PER_1000000_POP,5233.3
2019,,ES211,PER_1000000_POP,4782.0
2013,,ES211,PER_1000000_POP,4682.2
2012,,ES211,PER_1000000_POP,4148.7
2016,,ES211,PER_1000000_POP,4651.0
2023,,ES211,PER_1000000_POP,5378.3
2011,,ES211,PER_1000000_POP,3879.2
2018,,ES211,PER_1000000_POP,5238.7
2022,,ES211,PER_1000000_POP,5099.6
2014,,ES211,PER_1000000_POP,4613.2
2015,,ES211,PER_1000000_POP,4818.1
2020,,ES211,PER_1000000_POP,4863.1
2021,,ES211,PER_1000000_POP,4891.0
2011,,ES213,PER_1000000_POP,4782.9
2012,,ES213,PER_1000000_POP,5045.7
2013,,ES213,PER_1000000_POP,5116.9
2016,,ES213,PER_1000000_POP,4889.7
2022,,ES213,PER_1000000_POP,6289.1
2019,,ES213,PER_1000000_POP,5507.4
2014,,ES213,PER_1000000_POP,5167.9
2023,,ES213,PER_1000000_POP,6728.5
2020,,ES213,PER_1000000_POP,5535.1
2018,,ES213,PER_1000000_POP,5230.3
2010,,ES213,PER_1000000_POP,4751.5
2015,,ES213,PER_1000000_POP,5109.1
2021,,ES213,PER_1000000_POP,5837.9
2017,,ES213,PER_1000000_POP,4989.5
2017,,ES212,PER_1000000_POP,7317.1
2018,,ES212,PER_1000000_POP,7658.9
2022,,ES212,PER_1000000_POP,8865.0
2013,,ES212,PER_1000000_POP,6478.7
2021,,ES212,PER_1000000_POP,8478.4
2010,,ES212,PER_1000000_POP,6331.9
2019,,ES212,PER_1000000_POP,7839.7
2015,,ES212,PER_1000000_POP,6633.7
2016,,ES212,PER_1000000_POP,6805.1
2011,,ES212,PER_1000000_POP,6424.6
2012,,ES212,PER_1000000_POP,6543.7
2020,,ES212,PER_1000000_POP,7887.6
2023,,ES212,PER_1000000_POP,9429.7
2014,,ES212,PER_1000000_POP,6547.1
2016,F,,PER_1000000_POP,3765.8
2015,F,,PER_1000000_POP,3839.5
2013,F,,PER_1000000_POP,3752.6
2012,F,,PER_1000000_POP,3709.1
2014,F,,PER_1000000_POP,3768.1
2022,F,,PER_1000000_POP,4895.7
2021,F,,PER_1000000_POP,4618.4
2019,F,,PER_1000000_POP,4346.2
2017,F,,PER_1000000_POP,3992.2
2010,F,,PER_1000000_POP,3384.7
2020,F,,PER_1000000_POP,4380.2
2018,F,,PER_1000000_POP,4147.5
2023,F,,PER_1000000_POP,5187.1
2011,F,,PER_1000000_POP,3584.4
2022,F,ES211,PER_1000000_POP,3546.2
2018,F,ES211,PER_1000000_POP,3669.6
2020,F,ES211,PER_1000000_POP,3511.8
2010,F,ES211,PER_1000000_POP,2464.5
2021,F,ES211,PER_1000000_POP,3378.9
2019,F,ES211,PER_1000000_POP,3383.0
2017,F,ES211,PER_1000000_POP,3617.4
2015,F,ES211,PER_1000000_POP,3322.1
2016,F,ES211,PER_1000000_POP,3380.6
2013,F,ES211,PER_1000000_POP,3223.8
2012,F,ES211,PER_1000000_POP,3030.0
2011,F,ES211,PER_1000000_POP,2737.7
2014,F,ES211,PER_1000000_POP,3264.7
2023,F,ES211,PER_1000000_POP,3683.1
2022,F,ES213,PER_1000000_POP,4597.1
2023,F,ES213,PER_1000000_POP,4827.9
2019,F,ES213,PER_1000000_POP,4155.5
2018,F,ES213,PER_1000000_POP,3755.2
2016,F,ES213,PER_1000000_POP,3523.9
2017,F,ES213,PER_1000000_POP,3675.2
2014,F,ES213,PER_1000000_POP,3632.7
2021,F,ES213,PER_1000000_POP,4234.3
2013,F,ES213,PER_1000000_POP,3619.7
2012,F,ES213,PER_1000000_POP,3584.5
2015,F,ES213,PER_1000000_POP,3690.4
2011,F,ES213,PER_1000000_POP,3512.7
2010,F,ES213,PER_1000000_POP,3416.8
2020,F,ES213,PER_1000000_POP,4092.8
2022,F,ES212,PER_1000000_POP,5997.6
2021,F,ES212,PER_1000000_POP,5805.7
2020,F,ES212,PER_1000000_POP,5241.3
2019,F,ES212,PER_1000000_POP,5093.2
2018,F,ES212,PER_1000000_POP,4999.5
2017,F,ES212,PER_1000000_POP,4675.2
2023,F,ES212,PER_1000000_POP,6459.3
2016,F,ES212,PER_1000000_POP,4332.1
2015,F,ES212,PER_1000000_POP,4315.0
2014,F,ES212,PER_1000000_POP,4215.1
2013,F,ES212,PER_1000000_POP,4207.3
2012,F,ES212,PER_1000000_POP,4219.8
2011,F,ES212,PER_1000000_POP,4082.6
2010,F,ES212,PER_1000000_POP,3741.4
2021,M,,PER_1000000_POP,8621.8
2023,M,,PER_1000000_POP,9765.4
2019,M,,PER_1000000_POP,8090.4
2013,M,,PER_1000000_POP,7333.0
2020,M,,PER_1000000_POP,8141.1
2016,M,,PER_1000000_POP,7297.3
2015,M,,PER_1000000_POP,7387.6
2010,M,,PER_1000000_POP,6893.1
2018,M,,PER_1000000_POP,8021.9
2017,M,,PER_1000000_POP,7693.1
2012,M,,PER_1000000_POP,7175.1
2022,M,,PER_1000000_POP,9138.4
2014,M,,PER_1000000_POP,7402.4
2011,M,,PER_1000000_POP,6855.6
2021,M,ES211,PER_1000000_POP,6457.5
2022,M,ES211,PER_1000000_POP,6710.7
2012,M,ES211,PER_1000000_POP,5279.9
2015,M,ES211,PER_1000000_POP,6350.1
2013,M,ES211,PER_1000000_POP,6165.4
2020,M,ES211,PER_1000000_POP,6262.0
2011,M,ES211,PER_1000000_POP,5028.8
2018,M,ES211,PER_1000000_POP,6858.8
2016,M,ES211,PER_1000000_POP,5955.8
2014,M,ES211,PER_1000000_POP,5990.1
2010,M,ES211,PER_1000000_POP,4804.1
2023,M,ES211,PER_1000000_POP,7137.2
2017,M,ES211,PER_1000000_POP,6899.4
2019,M,ES211,PER_1000000_POP,6228.3
2023,M,ES213,PER_1000000_POP,8775.0
2022,M,ES213,PER_1000000_POP,8114.2
2021,M,ES213,PER_1000000_POP,7567.0
2020,M,ES213,PER_1000000_POP,7090.2
2019,M,ES213,PER_1000000_POP,6965.8
2018,M,ES213,PER_1000000_POP,6821.3
2016,M,ES213,PER_1000000_POP,6360.0
2017,M,ES213,PER_1000000_POP,6406.4
2015,M,ES213,PER_1000000_POP,6635.1
2014,M,ES213,PER_1000000_POP,6817.3
2013,M,ES213,PER_1000000_POP,6721.9
2012,M,ES213,PER_1000000_POP,6607.9
2011,M,ES213,PER_1000000_POP,6138.2
2010,M,ES213,PER_1000000_POP,6173.4
2020,M,ES212,PER_1000000_POP,10657.0
2019,M,ES212,PER_1000000_POP,10713.1
2018,M,ES212,PER_1000000_POP,10442.2
2017,M,ES212,PER_1000000_POP,10081.3
2016,M,ES212,PER_1000000_POP,9388.3
2015,M,ES212,PER_1000000_POP,9051.2
2011,M,ES212,PER_1000000_POP,8859.0
2014,M,ES212,PER_1000000_POP,8975.4
2012,M,ES212,PER_1000000_POP,8960.0
2013,M,ES212,PER_1000000_POP,8841.7
2010,M,ES212,PER_1000000_POP,9021.4
2023,M,ES212,PER_1000000_POP,12544.4
2022,M,ES212,PER_1000000_POP,11871.3
2021,M,ES212,PER_1000000_POP,11275.8
