Year,Series,Units,Value
2016,_L_ES_080901_3C,PT,49.3
2017,_L_ES_080901_3C,PT,46.7
2018,_L_ES_080901_3C,PT,36.1
2019,_L_ES_080901_3C,PT,31.6
2020,_L_ES_080901_3C,PT,28.5
2021,_L_ES_080901_3C,PT,32.5
2022,_L_ES_080901_3C,PT,36.5
2023,_L_ES_080901_3C,PT,42.0
2024,_L_ES_080901_3C,PT,49.6
2016,_L_ES_080901_3D,PT,26.7
2017,_L_ES_080901_3D,PT,26.5
2018,_L_ES_080901_3D,PT,21.6
2019,_L_ES_080901_3D,PT,19.4
2020,_L_ES_080901_3D,PT,13.5
2021,_L_ES_080901_3D,PT,18.3
2022,_L_ES_080901_3D,PT,20.8
2023,_L_ES_080901_3D,PT,25.0
2024,_L_ES_080901_3D,PT,28.9
