Year,Value,Units,Series
2017,100,PT,EU_SAN_PARTIC
2019,100,PT,EU_SAN_PARTIC
2018,100,PT,EU_SAN_PARTIC
2015,100,PT,EU_SAN_PARTIC
2022,100,PT,EU_SAN_PARTIC
2013,100,PT,EU_SAN_PARTIC
2021,100,PT,EU_SAN_PARTIC
2023,100,PT,EU_SAN_PARTIC
2014,100,PT,EU_SAN_PARTIC
2011,100,PT,EU_SAN_PARTIC
2020,100,PT,EU_SAN_PARTIC
2016,100,PT,EU_SAN_PARTIC
2012,100,PT,EU_SAN_PARTIC
2010,100,PT,EU_SAN_PARTIC
2024,100,PT,EU_SAN_PARTIC
2017,100,PT,EU_BATH_PARTIC
2020,100,PT,EU_BATH_PARTIC
2011,100,PT,EU_BATH_PARTIC
2016,100,PT,EU_BATH_PARTIC
2014,100,PT,EU_BATH_PARTIC
2023,100,PT,EU_BATH_PARTIC
2022,100,PT,EU_BATH_PARTIC
2010,100,PT,EU_BATH_PARTIC
2018,100,PT,EU_BATH_PARTIC
2024,100,PT,EU_BATH_PARTIC
2015,100,PT,EU_BATH_PARTIC
2021,100,PT,EU_BATH_PARTIC
2019,100,PT,EU_BATH_PARTIC
2012,100,PT,EU_BATH_PARTIC
2013,100,PT,EU_BATH_PARTIC
