Year,Value,Units
2007,2.59,MJ_PER_GDP_CON_PPP_USD
2008,2.59,MJ_PER_GDP_CON_PPP_USD
2009,2.51,MJ_PER_GDP_CON_PPP_USD
2010,2.43,MJ_PER_GDP_CON_PPP_USD
2011,2.24,MJ_PER_GDP_CON_PPP_USD
2012,2.31,MJ_PER_GDP_CON_PPP_USD
2013,2.25,MJ_PER_GDP_CON_PPP_USD
2014,2.16,MJ_PER_GDP_CON_PPP_USD
2015,2.13,MJ_PER_GDP_CON_PPP_USD
2016,2.05,MJ_PER_GDP_CON_PPP_USD
2017,2.05,MJ_PER_GDP_CON_PPP_USD
2018,1.99,MJ_PER_GDP_CON_PPP_USD
2019,1.97,MJ_PER_GDP_CON_PPP_USD
2020,1.96,MJ_PER_GDP_CON_PPP_USD
2021,1.99,MJ_PER_GDP_CON_PPP_USD
2022,1.95,MJ_PER_GDP_CON_PPP_USD
2023,1.7,MJ_PER_GDP_CON_PPP_USD
