Year,Value,Units,Series,GeoCode
2011,67.7,PT,EU_EMP_LFS,
2020,70.9,PT,EU_EMP_LFS,
2010,68.3,PT,EU_EMP_LFS,
2017,70.0,PT,EU_EMP_LFS,
2022,74.0,PT,EU_EMP_LFS,
2012,66.3,PT,EU_EMP_LFS,
2016,68.9,PT,EU_EMP_LFS,
2013,66.0,PT,EU_EMP_LFS,
2019,72.6,PT,EU_EMP_LFS,
2018,72.0,PT,EU_EMP_LFS,
2021,72.2,PT,EU_EMP_LFS,
2015,67.6,PT,EU_EMP_LFS,
2023,74.6,PT,EU_EMP_LFS,
2014,66.4,PT,EU_EMP_LFS,
2023,6.8,PP,EU_EMP_LFS_GAP,
2019,8.3,PP,EU_EMP_LFS_GAP,
2021,6.3,PP,EU_EMP_LFS_GAP,
2017,8.0,PP,EU_EMP_LFS_GAP,
2013,8.4,PP,EU_EMP_LFS_GAP,
2015,7.7,PP,EU_EMP_LFS_GAP,
2018,8.8,PP,EU_EMP_LFS_GAP,
2014,7.6,PP,EU_EMP_LFS_GAP,
2020,6.8,PP,EU_EMP_LFS_GAP,
2011,10.8,PP,EU_EMP_LFS_GAP,
2012,8.8,PP,EU_EMP_LFS_GAP,
2016,7.7,PP,EU_EMP_LFS_GAP,
2010,13.7,PP,EU_EMP_LFS_GAP,
2022,7.2,PP,EU_EMP_LFS_GAP,
