Year,Value,Units,Series
2016,12.2,OVERNIGHT_STAY,_L_ES_080901_3A
2017,10.8,OVERNIGHT_STAY,_L_ES_080901_3A
2018,10.4,OVERNIGHT_STAY,_L_ES_080901_3A
2019,10.0,OVERNIGHT_STAY,_L_ES_080901_3A
2020,6.0,OVERNIGHT_STAY,_L_ES_080901_3A
2021,7.3,OVERNIGHT_STAY,_L_ES_080901_3A
2022,9.3,OVERNIGHT_STAY,_L_ES_080901_3A
2023,10.5,OVERNIGHT_STAY,_L_ES_080901_3A
2024,11.0,OVERNIGHT_STAY,_L_ES_080901_3A
2016,9.3,OVERNIGHT_STAY,_L_ES_080901_3B
2017,8.5,OVERNIGHT_STAY,_L_ES_080901_3B
2018,8.0,OVERNIGHT_STAY,_L_ES_080901_3B
2019,7.4,OVERNIGHT_STAY,_L_ES_080901_3B
2020,3.6,OVERNIGHT_STAY,_L_ES_080901_3B
2021,4.7,OVERNIGHT_STAY,_L_ES_080901_3B
2022,7.6,OVERNIGHT_STAY,_L_ES_080901_3B
2023,8.7,OVERNIGHT_STAY,_L_ES_080901_3B
2024,8.9,OVERNIGHT_STAY,_L_ES_080901_3B
2016,33.7,PT,_L_ES_080901_4A
2017,30.7,PT,_L_ES_080901_4A
2018,31.2,PT,_L_ES_080901_4A
2019,27.8,PT,_L_ES_080901_4A
2020,36.8,PT,_L_ES_080901_4A
2021,40.6,PT,_L_ES_080901_4A
2022,27.9,PT,_L_ES_080901_4A
2023,28.6,PT,_L_ES_080901_4A
2024,28.0,PT,_L_ES_080901_4A
2016,32.1,PT,_L_ES_080901_4B
2017,30.5,PT,_L_ES_080901_4B
2018,30.6,PT,_L_ES_080901_4B
2019,27.4,PT,_L_ES_080901_4B
2020,40.0,PT,_L_ES_080901_4B
2021,40.9,PT,_L_ES_080901_4B
2022,29.8,PT,_L_ES_080901_4B
2023,26.6,PT,_L_ES_080901_4B
2024,27.1,PT,_L_ES_080901_4B
