Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES01001,Alegría-Dulantzi,Alegría-Dulantzi,Alegría-Dulantzi,40,17
ES01002,Amurrio,Amurrio,Amurrio,40,17
ES01003,Aramaio,Aramaio,Aramaio,40,17
ES01004,Artziniega,Artziniega,Artziniega,40,17
ES01006,Armiñón,Armiñón,Armiñón,40,17
ES01008,Arratzua-Ubarrundia,Arratzua-Ubarrundia,Arratzua-Ubarrundia,40,17
ES01009,Asparrena,Asparrena,Asparrena,40,17
ES01010,Ayala / Aiara,Ayala/Aiara,Ayala/Aiara,40,17
ES01011,Baños de Ebro / Mañueta,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,40,17
ES01013,Barrundia,Barrundia,Barrundia,40,17
ES01014,Berantevilla,Berantevilla,Berantevilla,40,17
ES01016,Bernedo,Bernedo,Bernedo,40,17
ES01017,Campezo / Kanpezu,Campezo/Kanpezu,Campezo/Kanpezu,40,17
ES01018,Zigoitia,Zigoitia,Zigoitia,40,17
ES01019,Kripan,Kripan,Kripan,40,17
ES01020,Kuartango,Kuartango,Kuartango,40,17
ES01021,Elburgo / Burgelu,Elburgo/Burgelu,Elburgo/Burgelu,40,17
ES01022,Elciego,Elciego,Elciego,40,17
ES01023,Elvillar / Bilar,Elvillar/Bilar,Elvillar/Bilar,40,17
ES01027,Iruraiz-Gauna,Iruraiz-Gauna,Iruraiz-Gauna,40,17
ES01028,Labastida / Bastida,Labastida/Bastida,Labastida/Bastida,40,17
ES01030,Lagrán,Lagrán,Lagrán,40,17
ES01031,Laguardia,Laguardia,Laguardia,40,17
ES01032,Lanciego / Lantziego,Lanciego/Lantziego,Lanciego/Lantziego,40,17
ES01033,Lapuebla de Labarca,Lapuebla de Labarca,Lapuebla de Labarca,40,17
ES01034,Leza,Leza,Leza,40,17
ES01036,Laudio / Llodio,Laudio/Llodio,Laudio/Llodio,40,17
ES01037,Arraia-Maeztu,Arraia-Maeztu,Arraia-Maeztu,40,17
ES01039,Moreda de Álava / Moreda Araba,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,40,17
ES01041,Navaridas,Navaridas,Navaridas,40,17
ES01042,Okondo,Okondo,Okondo,40,17
ES01043,Oyón-Oion,Oyón-Oion,Oyón-Oion,40,17
ES01044,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,40,17
