Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
BOOL_YES_NO,"Logika (1 = Bai, 0 = Ez)","Lógica (1=Sí, 0=No)","Logic (1=Yes, 0=No)",6,5
CON_EUR,Euro konstanteak,Euros constantes,Constant euros,16,2
EUR,Eurotan,Euros,Euros,5,1
EUR_1000000,Milioi eurotan,Millones de euros,Millions of euros,4,4
EUR_PER_CAPITA,Euro per capita,Euro per cápita,Euro per capita,7,2
G_PER_GDP_EUR,Gramoa BPGaren euro bakoitzeko,Gramo por euro de PIB,Grams per euro of GDP,2,1
GPERM3,Mikrogramoak metro kubikoko,Microgramos por metro cúbico,Micrograms per cubic meter,2,1
HA,Hektareak,Hectáreas,Hectares,2,2
IX,Aurkibidea,Índice,Index,14,2
KG_CO2_PER_GDP_EUR,Kg CO2 baliokide BPGd-ko,Kg de CO2 equivalente por euro de PIB,Kg of CO2 equivalent per euro of GDP,3,2
KG_PER_CAPITA,Kg per capita,Kg per cápita,Kg per capita,8,2
KG_PER_GDP_1000_EUR,Kg BPGd-ko euro bakoitzeko,Kg por euro de PIB,Kg per euro of GDP,1,1
KG_PER_HA,Kg hektareako,Kg por hectárea,Kg per hectare,3,1
KM2,Kilometro koadroak,Kilómetros cuadrados,Square kilometers,7,1
KT,Kilotonelatuak,Kilotoneladas,Kilotons,5,3
LICENCES,Lizentziak,Licencias,Licenses,4,1
LITRES_PURE_ALCOHOL,Alkohol puruaren litroak,Litros de alcohol puro,Liters of pure alcohol,1,1
M3,M3,M3,M3,4,1
MJ_PER_GDP_CON_PPP_USD,PPAren USD konstantearen bidezko megajulioak (BPG),Megajulios por USD constante de PPA (PIB),Megajoules per constant USD PPP (GDP),1,1
MN,Minutuak,Minutos,Minutes,12,1
ORGANISATIONS,Erakundeak,Organizaciones,Organizations,4,1
PER_1000,1.000 biztanleko,Por 1.000,"Per 1,000",6,2
PER_10000,10.000 biztanleko,Por 10.000,"Per 10,000",550,2
PER_100000,100.000 biztanleko,Por 100.000,"Per 100,000",33,8
PER_1000000_POP,Milioi biztanleko,Por millón de habitantes,Per million inhabitants,4,1
PER_100000_EMP,PER_100000_EMP,PER_100000_EMP,PER_100000_EMP,24,1
PER_100000_POP,100.000 biztanleko,Por 100.000 habitantes,"Per 100,000 inhabitants",2580,7
PER_10000_POP,10.000 biztanleko,Por 10.000 habitantes,"Per 10,000 inhabitants",48,1
PER_1000_LIVE_BIRTHS,Bizirik jaiotako 1.000 umeko,Por 1.000 nacidos vivos,"Per 1,000 live births",24,2
PER_1000_POP,1.000 biztanleko,Por 1.000 habitantes,"Per 1,000 inhabitants",2,1
PER_100_POP,100 pertsonako,Por 100 personas,Per 100 people,20,1
PH,pH-a,pH,pH,1,1
PP,Ehuneko puntuak,Puntos porcentuales,Percentage points,12,1
PT,%,%,PT,6122,97
RO,Ratioa,Ratio,Ratio,72,2
T_CO2_PER_CAPITA,Biztanle bakoitzeko CO2 baliokidearen tonak,Toneladas de CO2 equivalente per cápita,Tons of CO2 equivalent per capita,1,1
T_MILLON_EUR,T_MILLON_EUR,T_MILLON_EUR,T_MILLON_EUR,1,1
T_PER_CAPITA,Tonak per capita,Toneladas per cápita,Tons per capita,2,2
TCO2E,CO2 tonak - baliokidea,Toneladas de CO2 - equivalente,Tons of CO2 equivalent,1,1
W_PER_CAPITA,Watts per capita,Watts per cápita,Watts per capita,2750,2
YR,Urteak,Años,Years,12,1
