Value,Number of indicators
Adierazleak Nazio Batuen metadatuak betetzen ditu.,1
"

Adierazleak partzialki betetzen ditu Nazio Batuen adierazlearen metadatuak. Zergen ondoko Gini  indizeari dagokion seriea aurkezten da, baina ez zergen aurreko Gini indizeari dagokiona. ",1
"""Berotegi-efektua eragiten duten gasen urteko guztizko isurketak"" serieak Nazio Batuen metadatuak betetzen ditu.  Horrez gain, Europako helburuekin zerikusia duten beste serie batzuk aurkezten dira. ",1
"EAEko adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen, baina  antzeko informazioa ematen du. Datuak eurotan aurkezten dira, ez dolar estatubatuarretan. ",1
EAEko adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu. ,1
EAEko adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu.,8
"EAEn ekuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina antzeko informazioa ematen du.",1
EAEn erabilgarri dagoen adierazleak EBko adierazlearen metadatuak betetzen ditu.,1
EAEn erabilgarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu.,4
EAEn erabilgarri dagoen adierazleak Nazio Batuen adierazlearen metadatuak betetzen ditu,1
EAEn erabilgarri dagoen adierazleak partzialki betetzen ditu Nazio Batuen metadatuak. Sexuaren araberako ezberdintasunetan zentratzen da,1
"EAEn eskuragarri dagoen adierazlea ""Enplegu-tasa sexuaren arabera (sdg_08_30)"" Europako adierazlearekin aldera daiteke",1
"EAEn eskuragarri dagoen adierazlea Europako adierazlearekin aldera daiteke.
",3
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, 
baina informazio osagarria ematen du. Nazio Batuen adierazleak biztanlerian jazarpenak duen prebalentzia neurtzen du, 
biztanleriari egindako inkesta batetik abiatuta; EAEn eskuragarri dagoen adierazlea, berriz, 
erregistro administratiboetan oinarritzen da, eta errealitatea gutxietsi dezake.
",1
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina 
antzeko informazioa ematen du. 
",1
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina  informazio osagarria ematen du.",1
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina antzeko informazioa ematen du. ",1
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina antzeko informazioa ematen du.",2
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina informazio  osagarria ematen du.",3
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak, baina informazio osagarria ematen du.",4
"EAEn eskuragarri dagoen adierazleak ez ditu betetzen Nazio Batuen adierazlearen metadatuak.  Kultura-ondarea bakarrik hartzen da kontuan, eta ez natura-ondarea.",1
"EAEn eskuragarri dagoen adierazleak ez ditu Nazio Batuen adierazlearen metadatuak betetzen,  ez baitu gehiegizko pisua kalkulatzeko modu bera erabiltzen, ezta adin-talde bera ere.",1
