Value,Number of indicators
2025-04-22,8
2025-05-08,35
2025-05-12,1
2025-06-06,1
2025-06-09,2
2025-06-10,1
2025-06-11,3
2025-06-12,1
2025-06-16,2
2025-06-17,1
2025-06-18,2
2025-06-19,1
2025-06-23,1
2025-07-07,1
2025-07-11,1
2025-07-14,1
2025-07-17,6
2025-07-22,1
2025-08-04,27
2025-08-14,18
2025-08-19,9
2025-09-08,1
2025-09-11,3
2025-09-16,1
2025-09-17,2
2025-09-22,1
2025-09-25,1
2025-09-26,1
2025-09-29,1
2025-10-20,1
2025-10-21,4
2025-10-22,2
2025-10-24,3
2025-10-27,2
2025-10-28,3
2025-11-05,1
2025-11-07,3
